EC-Lab ASCII FILE
Nb header lines : 59                          

Cyclic Voltammetry

Run on channel : 3 (SN 6987)
Grouped channel(s) : 3
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Ewe ctrl range : min = 0,00 V, max = 5,00 V
Acquisition started on : 08.07.2015 14:47:55
Saved on :
	File : 150807_LTO_LLTO_Li_05_CV_C03.mpr
	Directory : C:\Gielisch\ASS\LTO_LLTO_Li\02\
	Host : 192.168.0.2
Device : VMP3 (SN 03240324)
Address : 192.168.0.1
EC-Lab for windows v10.33 (software)
Internet server v10.33 (firmware)
Command interpretor v10.32 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Mass of active material : 0,001 mg
 at x = 0,000
Molecular weight of active material (at x = 0) : 0,001 g/mol
Atomic weight of intercalated ion : 0,001 g/mol
Acquisition started at : xo = 0,000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26,801 mA.h
Battery capacity : 0,000 A.h
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
Ei (V)              0,000               
vs.                 Eoc                 
dE/dt               20,000              
dE/dt unit          mV/s                
E1 (V)              4,000               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     0,000               
E range max (V)     5,000               
I Range             Auto                
Bandwidth           5                   
E2 (V)              1,000               
vs.                 Ref                 
nc cycles           0                   
Reverse Scan        1                   
Ef (V)              0,000               
vs.                 Eoc                 

Number of loops : 2
Loop 0 from point number 0 to 6229
Loop 1 from point number 6230 to 12501

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	P/W
2	1	0	1	0	6657,7151	0,887458086	0,888116121	5,6868901765483315E-007	1	0	5,05061881E-010
2	1	0	0	0	6657,7426	0,888008773	0,888681948	1,0919600586021358E-007	1	1,04945662E-011	9,70405215E-011
2	1	0	0	0	6657,7925	0,889007449	0,889708638	-2,8703712482774467E-007	1	-2,52485316E-012	2,55379412E-010
2	1	0	0	0	6657,8426	0,890008807	0,890701175	-6,146691470143479E-009	1	6,83863177E-013	5,47486535E-012
2	1	0	0	0	6657,8926	0,891008317	0,891795576	-2,9314751169829888E-007	1	-1,53029221E-011	2,61427657E-010
2	1	0	1	0	6657,9425	0,89200747	0,89265132	4,231947716389159E-008	1	-1,26217864E-011	3,77765388E-011
2	1	0	0	0	6657,9926	0,893008709	0,893854022	-3,2484435736201818E-007	1	-2,67307964E-011	2,90363428E-010
2	1	0	0	0	6658,0425	0,894006491	0,894763708	7,2734364206475392E-008	1	-2,2349721E-011	6,50800663E-011
2	1	0	0	0	6658,0926	0,895008802	0,895727754	-2,7521985610241766E-007	1	-3,76047561E-011	2,46522053E-010
2	1	0	0	0	6658,1426	0,89600873	0,896766305	-7,4693440347015795E-009	1	-3,57071733E-011	6,6982561E-012
2	1	0	0	0	6658,1926	0,897008717	0,897666752	-3,5143300825101229E-007	1	-5,09808758E-011	3,15469734E-010
2	1	0	0	0	6658,2426	0,898008227	0,898571014	6,3948085324216026E-008	1	-4,85548442E-011	5,74618964E-011
2	1	0	0	0	6658,2926	0,899007857	0,89974016	-3,1559037279150995E-007	1	-6,29244573E-011	2,83949336E-010
2	1	0	1	0	6658,3425	0,900006533	0,900572598	4,3181334830417459E-008	1	-6,06253311E-011	3,88879276E-011
2	1	0	0	0	6658,3926	0,901008308	0,901791632	-2,7079595763078592E-007	1	-7,55110904E-011	2,4420152E-010
2	1	0	0	0	6658,4426	0,902007878	0,902711689	-9,3349726878513178E-009	1	-7,30213945E-011	8,42678878E-012
2	1	0	0	0	6658,4926	0,903008223	0,903712869	-2,9420865691028653E-007	1	-8,77921208E-011	2,65880151E-010
2	1	0	0	0	6658,5426	0,904008269	0,904815853	8,7809003540359565E-008	1	-8,42136985E-011	7,94509805E-011
2	1	0	0	0	6658,5926	0,905007899	0,905785799	-2,6783928353391725E-007	1	-9,71698833E-011	2,42605019E-010
2	1	0	0	0	6658,6426	0,906007946	0,906751096	5,2859357121855437E-008	1	-9,33940841E-011	4,79302813E-011
2	1	0	0	0	6658,6926	0,907007933	0,907711923	-2,5545938383594493E-007	1	-1,06942386E-010	2,31883526E-010
2	1	0	0	0	6658,7426	0,90800792	0,908801913	1,118113270633147E-007	1	-1,01593983E-010	1,01614349E-010
2	1	0	0	0	6658,7926	0,909007847	0,909811676	-2,1537206464341213E-007	1	-1,11672373E-010	1,95948022E-010
2	1	0	0	0	6658,8426	0,910007894	0,910661459	1,6457329259860621E-007	1	-1,06018368E-010	1,4987056E-010
2	1	0	0	0	6658,8926	0,911007941	0,911702335	-1,8530654198343878E-007	1	-1,15313634E-010	1,689444E-010
2	1	0	0	0	6658,9426	0,912007928	0,9126454	1,6015193103778611E-007	1	-1,08182532E-010	1,4616193E-010
2	1	0	0	0	6658,9926	0,913007915	0,91373539	-1,1898560838254456E-007	1	-1,15994332E-010	1,08721358E-010
2	1	0	0	0	6659,0426	0,914007843	0,914727509	3,0369992836203277E-007	1	-1,06221004E-010	2,7780267E-010
