EC-Lab ASCII FILE
Nb header lines : 68                          

Cyclic Voltammetry

Run on channel : 2 (SN 6986)
Grouped channel(s) : 2
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Ewe ctrl range : min = 0,00 V, max = 5,00 V
Acquisition started on : 09/02/2015 11:42:26
Saved on :
	File : LATP_Korrosion_08_CV_C02.mpr
	Directory : C:\Hupfer\Stabilitätstest Folie gegen Li\
	Host : 192.168.0.2
Device : VMP3 (SN 0324)
Address : 192.168.0.1
EC-Lab for windows v10.33 (software)
Internet server v10.33 (firmware)
Command interpretor v10.32 (firmware)
Electrode material : LATP
Initial state : 
Electrolyte : LP-30
Comments : 
Mass of active material : 0,001 mg
 at x = 0,000
Molecular weight of active material (at x = 0) : 0,001 g/mol
Atomic weight of intercalated ion : 0,001 g/mol
Acquisition started at : xo = 0,000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26,801 mA.h
Battery capacity : 0,000 A.h
Reference electrode : Li+/Li (-3,020 V)
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
Ei (V)              0,000               
vs.                 Eoc                 
dE/dt               10,000              
dE/dt unit          mV/s                
E1 (V)              4,000               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     0,000               
E range max (V)     5,000               
I Range             Auto                
Bandwidth           5                   
E2 (V)              0,500               
vs.                 Ref                 
nc cycles           0                   
Reverse Scan        1                   
Ef (V)              0,000               
vs.                 Eoc                 

Modify on : 09/02/2015 11:45
Electrode material : 
Electrolyte : 

Modify on : 09/02/2015 17:09
dE/dt               1,000               

Number of loops : 3
Loop 0 from point number 0 to 6916
Loop 1 from point number 6917 to 13817
Loop 2 from point number 13818 to 20712

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	P/W
2	1	0	0	0	75661,8434	1,51770663	1,51827168	-0,018127616494894029	1	0	2,75226466E-005
2	1	0	0	0	75662,3935	1,51825619	1,51888537	-0,028448390353588093	1	-1,48249137E-005	4,32098423E-005
2	1	0	1	0	75663,3937	1,51925647	1,51975775	-0,032437243273151782	1	-4,5479188E-005	4,9296752E-005
2	1	0	0	0	75664,3939	1,52025664	1,52088356	-0,034448913669021139	1	-7,88494144E-005	5,23927847E-005
2	1	0	1	0	75665,3941	1,5212568	1,52172029	-0,034324645428238874	1	-0,000112907554	5,22325099E-005
2	1	0	0	0	75666,3943	1,52225697	1,522735	-0,035115999344150106	1	-0,000147400599	5,34723622E-005
2	1	0	1	0	75667,3945	1,52325737	1,52386987	-0,034219250761254758	1	-0,000181768715	5,21456859E-005
2	1	0	0	0	75668,3947	1,52425742	1,52487135	-0,033748813138840787	1	-0,000215419539	5,14625972E-005
2	1	0	1	0	75669,3949	1,52525759	1,5257436	-0,034495234910100646	1	-0,000249458011	5,26308831E-005
2	1	0	0	0	75670,3951	1,52625787	1,52688742	-0,032558646556230586	1	-0,000282811117	4,97133879E-005
2	1	0	1	0	75671,3953	1,52725792	1,52785325	-0,032868068281611232	1	-0,000315440382	5,02175862E-005
2	1	0	1	0	75672,3956	1,52825832	1,52885032	-0,032771744009705811	1	-0,000348218513	5,01030918E-005
2	1	0	1	0	75673,3957	1,52925837	1,52975821	-0,032950471225775155	1	-0,000380863668	5,04062555E-005
2	1	0	0	0	75674,3960	1,53025854	1,53088427	-0,030825798444185926	1	-0,000412506546	4,71907297E-005
2	1	0	0	0	75675,3962	1,53125894	1,53199244	-0,03205779278177129	1	-0,000443740544	4,91122955E-005
2	1	0	0	0	75676,3963	1,53225899	1,53289115	-0,03211893794781223	1	-0,000475640583	4,92348372E-005
2	1	0	1	0	75677,3966	1,53325915	1,53393281	-0,032056421660541126	1	-0,00050748681	4,91723986E-005
2	1	0	1	0	75678,3968	1,53425956	1,53490281	-0,030464557305789395	1	-0,000538319873	4,67601349E-005
2	1	0	0	0	75679,3970	1,53525972	1,53580666	-0,031905219749903014	1	-0,000569251133	4,90002494E-005
2	1	0	0	0	75680,3972	1,53625989	1,5369724	-0,031652033121756282	1	-0,000600926869	4,86483004E-005
2	1	0	0	0	75681,3975	1,53726029	1,53788042	-0,031256959346839418	1	-0,000632076757	4,80694653E-005
2	1	0	1	0	75682,3976	1,53826046	1,53885078	-0,030168352933290483	1	-0,000662466802	4,64245932E-005
2	1	0	1	0	75683,3978	1,53926051	1,53985655	-0,030684128054561114	1	-0,000692693866	4,72491556E-005
2	1	0	1	0	75684,3981	1,54026091	1,54088914	-0,03021257764655737	1	-0,000722827797	4,65542325E-005
2	1	0	0	0	75685,3982	1,54126108	1,54181027	-0,029947455894718944	1	-0,000752611959	4,61732961E-005
2	1	0	1	0	75686,3985	1,54226112	1,54272687	-0,029598004381370778	1	-0,000782166317	4,56616362E-005
2	1	0	0	0	75687,3987	1,54326153	1,54364836	-0,029444664018433709	1	-0,000811694365	4,54522087E-005
2	1	0	1	0	75688,3989	1,54426169	1,5448947	-0,029010974597166893	1	-0,000840771536	4,48189021E-005
2	1	0	0	0	75689,3991	1,54526174	1,54580688	-0,029917514061151366	1	-0,000870147604	4,62466996E-005
2	1	0	1	0	75690,3993	1,54626203	1,54688847	-0,029880395236823974	1	-0,00089976826	4,62216376E-005
2	1	0	0	0	75691,3995	1,54726231	1,54787648	-0,029027014446176614	1	-0,000929035188	4,49302315E-005
2	1	0	1	0	75692,3997	1,54826236	1,54884648	-0,029334082339759872	1	-0,000957990822	4,54339897E-005
2	1	0	0	0	75693,3999	1,54926276	1,54987478	-0,028723116036300957	1	-0,000986421015	4,45172336E-005
2	1	0	1	0	75694,4001	1,55026293	1,55092525	-0,028252723662219203	1	-0,00101488084	4,38178613E-005
2	1	0	0	0	75695,4003	1,55126309	1,55177951	-0,027658475572578083	1	-0,00104270049	4,29198553E-005
2	1	0	1	0	75696,4005	1,55226326	1,55272305	-0,027767473299628477	1	-0,0010701823	4,31151966E-005
2	1	0	0	0	75697,4007	1,55326343	1,55387139	-0,026823400475657232	1	-0,00109726074	4,16801158E-005
2	1	0	1	0	75698,4009	1,55426359	1,55490828	-0,029193426523367482	1	-0,0011250854	4,53930988E-005
2	1	0	0	0	75699,4011	1,55526376	1,55596304	-0,027665083192263962	1	-0,00115341751	4,30458458E-005
2	1	0	1	0	75700,4013	1,55626392	1,55683994	-0,026794861584970464	1	-0,001180619	4,17153096E-005
2	1	0	0	0	75701,4015	1,55726421	1,55790782	-0,027534355452266458	1	-0,00120778661	4,28959866E-005
2	1	0	1	0	75702,4017	1,55826437	1,558887	-0,027828193014886093	1	-0,00123506319	4,33810092E-005
2	1	0	0	0	75703,4019	1,55926454	1,55992854	-0,026932777899616947	1	-0,00126221939	4,20132092E-005
2	1	0	1	0	75704,4021	1,56026483	1,5607965	-0,027149602015766493	1	-0,00128891121	4,23750025E-005
2	1	0	0	0	75705,4023	1,56126487	1,56177104	-0,02701832443281993	1	-0,001315595	4,2196436E-005
2	1	0	1	0	75706,4025	1,56226516	1,56283021	-0,026311592591549027	1	-0,00134194409	4,1120551E-005
2	1	0	0	0	75707,4027	1,56326544	1,56397855	-0,028015403960532205	1	-0,00136883056	4,38154893E-005
2	1	0	0	0	75708,4030	1,56426573	1,56475317	-0,025892940254402586	1	-0,00139548886	4,05160608E-005
2	1	0	0	0	75709,4031	1,56526577	1,56568325	-0,02640758059092961	1	-0,00142132572	4,13459056E-005
2	1	0	1	0	75710,4034	1,56626618	1,56687617	-0,025042899293218262	1	-0,00144677621	3,9239123E-005
2	1	0	1	0	75711,4036	1,56726635	1,56788635	-0,024735364387420912	1	-0,00147145905	3,87822402E-005
2	1	0	1	0	75712,4037	1,56826651	1,56884313	-0,025254272922119792	1	-0,00149607344	3,96199939E-005
2	1	0	0	0	75713,4040	1,56926668	1,56980026	-0,025832778776520237	1	-0,00152141717	4,05523024E-005
2	1	0	0	0	75714,4042	1,57026708	1,57082808	-0,025367786244242963	1	-0,00154672586	3,98484299E-005
2	1	0	1	0	75715,4044	1,57126725	1,57198095	-0,025158786740707539	1	-0,00157203688	3,95491334E-005
2	1	0	1	0	75716,4046	1,57226729	1,57284868	-0,02637665474731249	1	-0,00159745733	4,1486488E-005
2	1	0	1	0	75717,4049	1,57326758	1,57374775	-0,024306532652502099	1	-0,00162265927	3,82523504E-005
2	1	0	0	0	75718,4050	1,57426786	1,57487357	-0,02551413328806175	1	-0,00164715794	4,01815341E-005
2	1	0	0	0	75719,4052	1,57526791	1,57579052	-0,025924624847173293	1	-0,00167254603	4,08517772E-005
2	1	0	0	0	75720,4055	1,57626832	1,57677412	-0,025523570730113965	1	-0,00169812841	4,02449041E-005
2	1	0	1	0	75721,4056	1,57726848	1,57775772	-0,024151238416052045	1	-0,00172273419	3,81048012E-005
2	1	0	0	0	75722,4059	1,57826865	1,57881689	-0,025044016491689322	1	-0,0017470778	3,95399147E-005
2	1	0	1	0	75723,4061	1,57926893	1,57979155	-0,024527254759393437	1	-0,00177173433	3,87479486E-005
2	1	0	0	0	75724,4063	1,58026922	1,58068168	-0,025556447482565136	1	-0,00179656642	4,03966078E-005
2	1	0	1	0	75725,4065	1,58126915	1,58188772	-0,023779926001085917	1	-0,00182102388	3,76171738E-005
2	1	0	0	0	75726,4067	1,58226955	1,58274662	-0,02381802435931657	1	-0,00184467575	3,76978969E-005
2	1	0	1	0	75727,4069	1,58326972	1,58390391	-0,023983063280422918	1	-0,0018686176	3,79868688E-005
2	1	0	0	0	75728,4071	1,58426976	1,58494532	-0,023904211899186672	1	-0,00189243036	3,78868681E-005
2	1	0	1	0	75729,4073	1,58527005	1,58586657	-0,023761923705497789	1	-0,00191613915	3,76832395E-005
2	1	0	0	0	75730,4075	1,58627021	1,58688128	-0,023592436037369491	1	-0,00193971873	3,74383962E-005
2	1	0	1	0	75731,4077	1,58727026	1,58778024	-0,024351959566313642	1	-0,00196332461	3,86655593E-005
2	1	0	0	0	75732,4079	1,58827055	1,58886611	-0,024322623229521709	1	-0,00198739371	3,86453903E-005
2	1	0	1	0	75733,4081	1,58927083	1,59007692	-0,023383803611187882	1	-0,00201092847	3,71820461E-005
2	1	0	0	0	75734,4083	1,59027088	1,59090889	-0,023543081432897018	1	-0,0020342893	3,74548981E-005
2	1	0	1	0	75735,4085	1,59127116	1,59180343	-0,022734638624832938	1	-0,00205710856	3,61890743E-005
2	1	0	0	0	75736,4087	1,59227145	1,59278715	-0,022718294596014154	1	-0,00207968568	3,61854072E-005
2	1	0	1	0	75737,4089	1,59327149	1,59386432	-0,022776207961340166	1	-0,00210259762	3,63021863E-005
2	1	0	0	0	75738,4091	1,59427178	1,59492338	-0,022889092425172701	1	-0,0021252539	3,65063497E-005
2	1	0	1	0	75739,4093	1,59527194	1,59573793	-0,023229287564782736	1	-0,00214794325	3,70678536E-005
2	1	0	0	0	75740,4095	1,59627223	1,5967437	-0,022557017177993354	1	-0,00217064843	3,60177764E-005
2	1	0	1	0	75741,4097	1,5972724	1,59783411	-0,022256389977222512	1	-0,00219284371	3,55620177E-005
2	1	0	0	0	75742,4099	1,59827256	1,59893775	-0,021648978823000586	1	-0,00221470022	3,46153683E-005
2	1	0	1	0	75743,4101	1,59927285	1,59973454	-0,02295883258954312	1	-0,00223706197	3,67280372E-005
2	1	0	1	0	75744,4104	1,60027313	1,60070932	-0,021914772309716778	1	-0,0022594051	3,50791815E-005
2	1	0	1	0	75745,4105	1,6012733	1,60192418	-0,022223531829429683	1	-0,00228139921	3,5600413E-005
2	1	0	0	0	75746,4108	1,60227346	1,60285449	-0,022206598220157526	1	-0,00230333069	3,55939446E-005
2	1	0	0	0	75747,4110	1,60327375	1,6038202	-0,021674501672029334	1	-0,00232511503	3,47620044E-005
2	1	0	0	0	75748,4111	1,60427392	1,60488391	-0,022437279242584874	1	-0,00234700576	3,60092272E-005
