EC-Lab ASCII FILE
Nb header lines : 64                          

Cyclic Voltammetry

Run on channel : 3 (SN 6987)
Grouped channel(s) : 3
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Ewe ctrl range : min = -5,00 V, max = 5,00 V
Acquisition started on : 05.11.2015 15:06:40
Saved on :
	File : LTO_LP30_Li_Aufladen_03_CV_C03.mpr
	Directory : C:\Hupfer\150511_LLTO_LTO_Tests\LTO_Aufladen\
	Host : 192.168.0.2
Device : VMP3 (SN 0324)
Address : 192.168.0.1
EC-Lab for windows v10.33 (software)
Internet server v10.33 (firmware)
Command interpretor v10.32 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Mass of active material : 0,001 mg
 at x = 0,000
Molecular weight of active material (at x = 0) : 0,001 g/mol
Atomic weight of intercalated ion : 0,001 g/mol
Acquisition started at : xo = 0,000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26,801 mA.h
Battery capacity : 0,000 A.h
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
Ei (V)              0,000               
vs.                 Eoc                 
dE/dt               20,000              
dE/dt unit          mV/s                
E1 (V)              4,000               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -5,000              
E range max (V)     5,000               
I Range             Auto                
Bandwidth           5                   
E2 (V)              1,000               
vs.                 Ref                 
nc cycles           0                   
Reverse Scan        1                   
Ef (V)              0,000               
vs.                 Eoc                 

Number of loops : 7
Loop 0 from point number 0 to 3002
Loop 1 from point number 3003 to 6002
Loop 2 from point number 6003 to 9003
Loop 3 from point number 9004 to 12003
Loop 4 from point number 12004 to 15003
Loop 5 from point number 15004 to 18003
Loop 6 from point number 18004 to 21003

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	P/W
2	1	0	0	0	295223,9078	1,29745698	1,29819894	0,0087835211306810381	1	0	1,1402758E-005
2	1	0	0	0	295224,0027	1,29935646	1,30010712	0,025505807075533766	1	1,80436962E-006	3,31602823E-005
2	1	0	1	0	295224,1026	1,30135655	1,30223799	0,04161223508331424	1	5,25205587E-006	5,41890331E-005
2	1	0	1	0	295224,2026	1,30335629	1,30421758	0,056856994810339232	1	1,02664553E-005	7,41538897E-005
2	1	0	1	0	295224,3026	1,30535626	1,30618393	0,071076169661763264	1	1,67525686E-005	9,28385489E-005
2	1	0	1	0	295224,4026	1,30735624	1,30815911	0,084640003361360486	1	2,46251184E-005	0,000110722591
2	1	0	1	0	295224,5226	1,30975592	1,31051767	0,099959717466474253	1	3,59262376E-005	0,000130998975
2	1	0	1	0	295224,6426	1,31215596	1,31290579	0,11469953743464512	1	4,87557991E-005	0,00015058968
2	1	0	1	0	295224,7426	1,31415594	1,31500089	0,1263887154076413	1	6,08979608E-005	0,00016620128
2	1	0	1	0	295224,8426	1,31615579	1,31687832	0,13784463748473738	1	7,41963959E-005	0,000181524621
2	1	0	1	0	295224,9426	1,31815565	1,31897807	0,14895050194873277	1	8,8623623E-005	0,000196462439
2	1	0	1	0	295225,0426	1,3201555	1,32098436	0,15971776887912694	1	0,000104141334	0,000210984668
2	1	0	1	0	295225,1426	1,32215536	1,32291067	0,17020738554290826	1	0,000120723293	0,000225169162
2	1	0	1	0	295225,2426	1,32415533	1,32497048	0,18054794563255827	1	0,000138346179	0,000239220695
2	1	0	1	0	295225,3426	1,32615519	1,32702112	0,1904849794313943	1	0,000156980837	0,000252777594
2	1	0	1	0	295225,4426	1,32815516	1,32892954	0,20028167059300771	1	0,000176602931	0,000266160234
2	1	0	1	0	295225,5426	1,3301549	1,33093143	0,21012906029959133	1	0,000197207875	0,00027966738
