EC-Lab ASCII FILE
Nb header lines : 77                          

Cyclic Voltammetry

Run on channel : 1 (SN 6985)
Grouped channel(s) : 1
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Ewe ctrl range : min = 0,00 V, max = 5,00 V
Acquisition started on : 08/28/2015 15:57:10
Saved on :
	File : LiS_Klein_Vollprogramm_02_CV_C01.mpr
	Directory : C:\Gielisch\NeueZelle\LiS-Test\150828\
	Host : 192.168.0.2
Device : VMP3 (SN 0324)
Address : 192.168.0.1
EC-Lab for windows v10.33 (software)
Internet server v10.33 (firmware)
Command interpretor v10.32 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Mass of active material : 0,001 mg
 at x = 0,000
Molecular weight of active material (at x = 0) : 0,001 g/mol
Atomic weight of intercalated ion : 0,001 g/mol
Acquisition started at : xo = 0,000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26,801 mA.h
Battery capacity : 0,000 A.h
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
Ei (V)              0,000               
vs.                 Eoc                 
dE/dt               10,000              
dE/dt unit          mV/s                
E1 (V)              2,800               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     0,000               
E range max (V)     5,000               
I Range             Auto                
Bandwidth           5                   
E2 (V)              1,500               
vs.                 Ref                 
nc cycles           0                   
Reverse Scan        1                   
Ef (V)              0,000               
vs.                 Eoc                 

Modify on : 08/28/2015 15:59
E1 (V)              3,000               
E2 (V)              1,000               

Modify on : 08/28/2015 16:01
E1 (V)              3,500               

Modify on : 08/28/2015 16:07
E2 (V)              0,800               

Modify on : 08/28/2015 16:35
E1 (V)              3,800               

Number of loops : 7
Loop 0 from point number 0 to 2602
Loop 1 from point number 2603 to 7602
Loop 2 from point number 7603 to 13002
Loop 3 from point number 13003 to 18402
Loop 4 from point number 18403 to 23802
Loop 5 from point number 23803 to 29801
Loop 6 from point number 29802 to 35799

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	P/W
2	1	0	1	0	0,0508	2,73943591	2,74002028	-0,0013689417392015458	1	0	3,75092804E-006
2	1	0	1	0	0,1058	2,73998523	2,74022436	-0,00062695958808497472	1	-3,80448455E-008	1,71800991E-006
2	1	0	1	0	0,2058	2,74098516	2,74113774	0,00069189022138339661	1	-2,66732982E-008	1,89656635E-006
2	1	0	1	0	0,3058	2,74198532	2,74210453	0,0016564607511908371	1	9,82663195E-008	4,54218844E-006
2	1	0	1	0	0,4058	2,74298573	2,74308467	0,0023814047965936835	1	3,07011732E-007	6,53239476E-006
2	1	0	1	0	0,5058	2,74398589	2,74417639	0,0029267784390227674	1	5,78396566E-007	8,03159674E-006
2	1	0	1	0	0,6058	2,74498606	2,74510312	0,0033255517073148173	1	8,96889787E-007	9,12898213E-006
2	1	0	1	0	0,7058	2,74598575	2,74618578	0,003667670169508905	1	1,25239444E-006	1,00721036E-005
2	1	0	1	0	0,8058	2,74698615	2,7470901	0,0039136693166154925	1	1,63667278E-006	1,07512024E-005
2	1	0	1	0	0,9058	2,74798656	2,74808359	0,0041072951404472755	1	2,04287949E-006	1,12871903E-005
2	1	0	1	0	1,0058	2,74898648	2,74913073	0,0043049715642593126	1	2,46836885E-006	1,18349299E-005
2	1	0	1	0	1,1058	2,74998689	2,75024438	0,004425540489912089	1	2,91004289E-006	1,21713183E-005
2	1	0	1	0	1,2058	2,7509861	2,75105953	0,004529949123341287	1	3,36263588E-006	1,24621602E-005
2	1	0	0	0	1,3060	2,75198674	2,75192404	0,0046558514124868941	1	3,82756525E-006	1,28125494E-005
2	1	0	0	0	1,4060	2,75298715	2,75314045	0,0047437883433842784	1	4,30255659E-006	1,30603157E-005
2	1	0	0	0	1,5060	2,75398731	2,75415182	0,0048466041124710579	1	4,78710172E-006	1,33482836E-005
2	1	0	0	0	1,6060	2,75498772	2,75497603	0,0049307854243562861	1	5,28072587E-006	1,35841956E-005
2	1	0	0	0	1,7060	2,75598741	2,75609016	0,0050028459749969261	1	5,78240588E-006	1,37882944E-005
