EC-Lab ASCII FILE
Nb header lines : 81                          

Galvanostatic Cycling with Potential Limitation

Run on channel : 3 (SN 6987)
Grouped channel(s) : 3
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Ewe ctrl range : min = 0,00 V, max = 5,00 V
Acquisition started on : 01.23.2015 14:58:37
Saved on :
	File : LiCoO2 vs Li 200µm IS + GCPL_04_GCPL_C03.mpr
	Directory : C:\Hupfer\Studenten Batterietests\LiCoO2 vs Li 200µm IS + GCPL\
	Host : 192.168.0.2
Device : VMP3 (SN 0324)
Address : 192.168.0.1
EC-Lab for windows v10.33 (software)
Internet server v10.33 (firmware)
Command interpretor v10.32 (firmware)
Electrode material : LiCoO2 vs Li
Initial state : 
Electrolyte : LP30
Comments : 200µm
Mass of active material : 0,001 mg
 at x = 0,000
Molecular weight of active material (at x = 0) : 0,001 g/mol
Atomic weight of intercalated ion : 0,001 g/mol
Acquisition started at : xo = 0,000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26,801 mA.h
Battery capacity : 0,000 A.h
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
Ns                  0                   1                   2                   
Set I/C             I                   I                   I                   
Is                  0,000               -300,000            300,000             
unit Is             mA                  µA                  µA                  
vs.                 <None>              <None>              <None>              
N                   1                   1                   1                   
I sign              > 0                 > 0                 > 0                 
t1 (h:m:s)          0:00:0,0000         10:00:0,0000        10:00:0,0000        
I Range             1 mA                1 mA                1 mA                
Bandwidth           5                   5                   5                   
dE1 (mV)            0,00                0,00                0,00                
dt1 (s)             0,0000              10,0000             10,0000             
EM (V)              0,000               2,000               4,200               
tM (h:m:s)          0:00:0,0000         0:00:0,0000         0:00:0,0000         
Im                  0,000               0,000               0,000               
unit Im             mA                  mA                  mA                  
E range min (V)     0,000               0,000               0,000               
E range max (V)     5,000               5,000               5,000               
dq                  0,000               1,000               1,000               
unit dq             mA.h                mA.h                mA.h                
dtq (s)             0,0000              120,0000            120,0000            
dQM                 0,000               0,000               0,000               
unit dQM            mA.h                mA.h                mA.h                
dxM                 0,000               0,000               0,000               
tR (h:m:s)          0:00:0,0000         0:00:0,0000         0:00:0,0000         
dER/dt (mV/h)       0,0                 0,1                 0,1                 
dER (mV)            0,00                5,00                5,00                
dtR (s)             1,0000              120,0000            120,0000            
EL (V)              pass                4,200               4,200               
goto Ns'            0                   0                   0                   
nc cycles           0                   0                   0                   

Number of loops : 11
Loop 0 from point number 0 to 492
Loop 1 from point number 493 to 1357
Loop 2 from point number 1358 to 2194
Loop 3 from point number 2195 to 2995
Loop 4 from point number 2996 to 3757
Loop 5 from point number 3758 to 4469
Loop 6 from point number 4470 to 5091
Loop 7 from point number 5092 to 5568
Loop 8 from point number 5569 to 5916
Loop 9 from point number 5917 to 6204
Loop 10 from point number 6205 to 6453

mode	ox/red	error	control changes	Ns changes	counter inc.	Ns	time/s	control/V/mA	Ewe/V	dq/mA.h	<I>/mA	P/W	(Q-Qo)/mA.h	x	Capacity/mA.h
1	0	0	1	1	0	1	7216,8139	-0,300000012	2,89023805	0	0	0	0	0	0
1	0	0	1	0	0	1	7226,8139	-0,300000012	2,28369069	-0,00082898368205101325	-0,29843412915156454	0,000681531266	-0,00082898368205101325	3,0930495757737939E-005	0,00082898368205101325
1	0	0	1	0	0	1	7236,8139	-0,300000012	2,04432774	-0,00083309753297269338	-0,29991511550129997	0,000613124808	-0,0016620812150237066	6,2014484824495155E-005	0,0016620812150237066
1	0	0	1	0	0	1	7239,0543	-0,300000012	1,99994755	-0,0001866495025290383	-0,29991886147171379	0,000599821971	-0,001848730717552745	6,8978628716778726E-005	0,001848730717552745
1	1	0	0	1	0	2	7239,0549	0,300000012	2,02814794	1,6445851988262602E-008	0,098675114422318656	0,000200127732	-0,0018487142717007568	6,897801509992937E-005	1,6445851988262602E-008
1	1	0	0	0	0	2	7249,0549	0,300000012	2,69119453	0,00083366280276411098	0,30011861262867405	0,00080767757	-0,0010150514689366456	3,787293505724105E-005	0,00083367924861609933
1	1	0	0	0	0	2	7259,0549	0,300000012	3,22371793	0,00083366690647767642	0,30012008996557549	0,000967502536	-0,00018138456245896931	6,7677018994820941E-006	0,0016673461550937757
1	1	0	0	0	0	2	7269,0549	0,300000012	3,63448191	0,000833669059175584	0,30012086493683168	0,00109078386	0,00065228449671661466	-2,4337611578330125E-005	0,0025010152142693597
1	1	0	0	0	0	2	7279,0549	0,300000012	3,82738662	0,00083366893195609254	0,30012081913781414	0,00114867836	0,0014859534286727072	-5,544292030941207E-005	0,0033346841462254522
1	1	0	0	0	0	2	7289,0549	0,300000012	3,83451653	0,00083367569194071821	0,3001232527323088	0,00115082762	0,0023196291206134256	-8,6548481264609306E-005	0,0041683598381661709
1	1	0	0	0	0	2	7299,0549	0,300000012	3,83756661	0,00083367460395726886	0,30012286105826234	0,00115174148	0,003153303724570695	-0,00011765400162568123	0,00500203444212344
1	1	0	0	0	0	2	7309,0549	0,300000012	3,8402164	0,00083366930322017933	0,30012095279288698	0,00115252938	0,0039869730277908742	-0,00014875932420912541	0,0058357037453436198
1	1	0	0	0	0	2	7319,0549	0,300000012	3,84219909	0,00083366894341342976	0,30012082326245562	0,00115312391	0,004820641971204304	-0,00017986463336769603	0,0066693726887570496
1	1	0	0	0	0	2	7329,0549	0,300000012	3,84406734	0,00083366623846027584	0,30011984947930842	0,00115368096	0,0056543082096645805	-0,00021096984160082762	0,0075030389272173261
1	1	0	0	0	0	2	7339,0549	0,300000012	3,84593558	0,00083366594886117517	0,30011974522363091	0,00115424115	0,0064879741585257562	-0,00024207503902862739	0,0083367048760784998
1	1	0	0	0	0	2	7349,0549	0,300000012	3,84772754	0,00083366265787184243	0,3001185604674567	0,00115477445	0,0073216368163975987	-0,00027318011366519037	0,0091703675339503424
1	1	0	0	0	0	2	7359,0549	0,300000012	3,84791803	0,00083366733989285094	0,30012024599504026	0,00115483813	0,0081553041562904499	-0,00030428536299425222	0,010004034873843194
