EC-Lab ASCII FILE
Nb header lines : 46                          

Open Circuit Voltage

Run on channel : 3 (SN 6987)
Grouped channel(s) : 3
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Ewe ctrl range : min = 0,00 V, max = 5,00 V
Acquisition started on : 01.23.2015 14:58:37
Saved on :
	File : LiCoO2 vs Li 200µm IS + GCPL_01_OCV_C03.mpr
	Directory : C:\Hupfer\Studenten Batterietests\LiCoO2 vs Li 200µm IS + GCPL\
	Host : 192.168.0.2
Device : VMP3 (SN 0324)
Address : 192.168.0.1
EC-Lab for windows v10.33 (software)
Internet server v10.33 (firmware)
Command interpretor v10.32 (firmware)
Electrode material : LiCoO2 vs Li
Initial state : 
Electrolyte : LP30
Comments : 200µm
Mass of active material : 0,001 mg
 at x = 0,000
Molecular weight of active material (at x = 0) : 0,001 g/mol
Atomic weight of intercalated ion : 0,001 g/mol
Acquisition started at : xo = 0,000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26,801 mA.h
Battery capacity : 0,000 A.h
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
tR (h:m:s)          1:00:0,0000         
dER/dt (mV/h)       0,0                 
dER (mV)            0,00                
dtR (s)             5,0000              
E range min (V)     0,000               
E range max (V)     5,000               

Number of loops : 1
Loop 0 from point number 0 to 720

mode	error	time/s	Ewe/V
3	1	0,0000	2,85817289
3	0	5,0000	2,8579824
3	0	10,0000	2,8606894
3	0	15,0000	2,8621192
3	0	20,0000	2,86385393
3	0	25,0000	2,86516929
3	0	30,0000	2,86719012
3	0	35,0000	2,86875319
3	0	40,0000	2,86816216
3	0	45,0000	2,86799073
3	0	50,0000	2,86797166
3	0	55,0000	2,86703753
3	0	60,0000	2,86686587
3	0	65,0000	2,86678958
3	0	70,0000	2,86581755
3	0	75,0000	2,86568403
3	0	80,0000	2,86452103
3	0	85,0000	2,86377764
3	0	90,0000	2,8583827
3	0	95,0000	2,85756278
3	0	100,0000	2,85582805
3	0	105,0000	2,85628557
3	0	110,0000	2,85681939
3	0	115,0000	2,85699105
3	0	120,0000	2,85828733
3	0	125,0000	2,85872579
3	0	130,0000	2,85912609
3	0	135,0000	2,8595264
3	0	140,0000	2,86070848
3	0	145,0000	2,86027002
3	0	150,0000	2,86000299
3	0	155,0000	2,85996485
3	0	160,0000	2,85964084
3	0	165,0000	2,86101341
3	0	170,0000	2,86129928
3	0	175,0000	2,86330104
3	0	180,0000	2,8649404
3	0	185,0000	2,86574125
3	0	190,0000	2,86635113
3	0	195,0000	2,866256
3	0	200,0000	2,86341548
3	0	205,0000	2,86465454
3	0	210,0000	2,86452103
3	0	215,0000	2,86450195
3	0	220,0000	2,8639493
