EC-Lab ASCII FILE
Nb header lines : 82                          

Galvanostatic Cycling with Potential Limitation

Run on channel : 1 (SN 6985)
Grouped channel(s) : 1
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Ewe ctrl range : min = 0,00 V, max = 5,00 V
Acquisition started on : 10.28.2014 11:50:52
Saved on :
	File : LATP vs Li Batterietest Probe1_02_GCPL_C01.mpr
	Directory : C:\Hupfer\Batterietest Li vs LATP\
	Host : 192.168.0.2
Device : VMP3 (SN 0324)
Address : 192.168.0.1
EC-Lab for windows v10.33 (software)
Internet server v10.33 (firmware)
Command interpretor v10.32 (firmware)
Electrode material : Lithium - LATP folie
Initial state : unbekannt
Electrolyte : LP30
Comments : Batterietest
Mass of active material : 0,001 mg
 at x = 0,000
Molecular weight of active material (at x = 0) : 0,001 g/mol
Atomic weight of intercalated ion : 0,001 g/mol
Acquisition started at : xo = 0,000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26,801 mA.h
Battery capacity : 0,000 A.h
Reference electrode : Li+/Li (-3,020 V)
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
Ns                  0                   1                   2                   
Set I/C             I                   I                   I                   
Is                  0,000               100,000             -100,000            
unit Is             mA                  µA                  µA                  
vs.                 <None>              <None>              <None>              
N                   1                   1                   1                   
I sign              > 0                 > 0                 > 0                 
t1 (h:m:s)          0:00:0,0000         60:00:0,0000        60:00:0,0000        
I Range             100 µA              100 µA              100 µA              
Bandwidth           5                   5                   5                   
dE1 (mV)            0,00                0,00                0,00                
dt1 (s)             0,0000              2,0000              2,0000              
EM (V)              0,000               4,500               1,200               
tM (h:m:s)          0:00:0,0000         0:00:0,0000         0:00:0,0000         
Im                  0,000               0,000               0,000               
unit Im             mA                  mA                  mA                  
E range min (V)     0,000               0,000               0,000               
E range max (V)     5,000               5,000               5,000               
dq                  0,000               1,000               1,000               
unit dq             mA.h                mA.h                mA.h                
dtq (s)             0,0000              120,0000            120,0000            
dQM                 0,000               0,000               0,000               
unit dQM            mA.h                mA.h                mA.h                
dxM                 0,000               0,000               0,000               
tR (h:m:s)          0:00:0,0000         0:00:0,0000         0:00:0,0000         
dER/dt (mV/h)       0,0                 0,1                 0,1                 
dER (mV)            0,00                5,00                5,00                
dtR (s)             1,0000              120,0000            120,0000            
EL (V)              pass                3,500               3,500               
goto Ns'            0                   0                   0                   
nc cycles           0                   0                   0                   

Number of loops : 11
Loop 0 from point number 0 to 1297
Loop 1 from point number 1298 to 3017
Loop 2 from point number 3018 to 4693
Loop 3 from point number 4694 to 6333
Loop 4 from point number 6334 to 7945
Loop 5 from point number 7946 to 9554
Loop 6 from point number 9555 to 11158
Loop 7 from point number 11159 to 12751
Loop 8 from point number 12752 to 14335
Loop 9 from point number 14336 to 15911
Loop 10 from point number 15912 to 17481

mode	ox/red	error	control changes	Ns changes	counter inc.	Ns	time/s	control/V/mA	Ewe/V	dq/mA.h	<I>/mA	P/W	(Q-Qo)/mA.h	Capacity/mA.h	x
1	1	0	1	1	0	1	1800,0010	0,100000001	2,48391867	0	0	0	0	0	0
1	1	0	1	0	0	1	1802,0010	0,100000001	2,55208755	5,4190426902071219E-005	0,097542770887865856	0,000248937693	5,4190426902071219E-005	5,4190426902071219E-005	-2,0219176875201469E-006
1	1	0	1	0	0	1	1804,0010	0,100000001	2,58082533	5,5563053559097978E-005	0,10001349893292986	0,000258117361	0,0001097534804611692	0,0001097534804611692	-4,0950499211301306E-006
1	1	0	1	0	0	1	1806,0010	0,100000001	2,59747601	5,5563093742562669E-005	0,10001357126316813	0,000259782857	0,00016531657420373187	0,00016531657420373187	-6,168183654039209E-006
1	1	0	1	0	0	1	1808,0010	0,100000001	2,60843658	5,5563060596171354E-005	0,10001351159966224	0,000260878907	0,0002208796347999032	0,0002208796347999032	-8,2413161502118618E-006
1	1	0	1	0	0	1	1810,0010	0,100000001	2,61611271	5,5563016110410291E-005	0,10001343152529032	0,000261646404	0,0002764426509103135	0,0002764426509103135	-1,0314446986560957E-005
1	1	0	1	0	0	1	1812,0010	0,100000001	2,62186027	5,5563052249865402E-005	0,10001349657631115	0,000262221409	0,00033200570316017894	0,00033200570316017894	-1,2387579171321712E-005
1	1	0	1	0	0	1	1814,0010	0,100000001	2,62680578	5,5562985179738867E-005	0,10001337585008035	0,000262715708	0,00038756868833991782	0,00038756868833991782	-1,4460708853605872E-005
1	1	0	1	0	0	1	1816,0010	0,100000001	2,63083482	5,5562965438597734E-005	0,10001334031602541	0,000263118563	0,00044313165377851552	0,00044313165377851552	-1,653383779932151E-005
1	1	0	1	0	0	1	1818,0010	0,100000001	2,63429117	5,55629929991232E-005	0,10001338992497251	0,000263464404	0,00049869464677763878	0,00049869464677763878	-1,8606967773357414E-005
1	1	0	1	0	0	1	1820,0010	0,100000001	2,63728905	5,5563063884360928E-005	0,10001351751840363	0,000263764552	0,00055425771066199968	0,00055425771066199968	-2,0680100392216838E-005
1	1	0	1	0	0	1	1822,0010	0,100000001	2,64017224	5,5562973515441018E-005	0,1000133548543437	0,000264052476	0,00060982068417744064	0,00060982068417744064	-2,2753229639290362E-005
1	1	0	1	0	0	1	1824,0010	0,100000001	2,64261651	5,5562984662337434E-005	0,10001337491875773	0,000264297007	0,00066538366883977818	0,00066538366883977818	-2,4826359302269578E-005
1	1	0	1	0	0	1	1826,0010	0,100000001	2,64500332	5,5562963582575322E-005	0,10001333697518499	0,0002645356	0,00072094663242235354	0,00072094663242235354	-2,6899488178734528E-005
1	1	0	1	0	0	1	1828,0010	0,100000001	2,64706564	5,5562944887412922E-005	0,10001330332389181	0,000264741771	0,0007765095773097664	0,0007765095773097664	-2,897261635765783E-005
1	1	0	1	0	0	1	1830,0010	0,100000001	2,6492424	5,5562875570936339E-005	0,10001317855423082	0,000264959148	0,00083207245288070272	0,00083207245288070272	-3,1045741950290202E-005
1	1	0	1	0	0	1	1832,0010	0,100000001	2,6511519	5,5562917754881914E-005	0,10001325448533475	0,000265150331	0,00088763537063558477	0,00088763537063558477	-3,3118869116862291E-005
1	1	0	1	0	0	1	1834,0010	0,100000001	2,65308046	5,556283846704496E-005	0,10001311176722466	0,000265342824	0,00094319820910262963	0,00094319820910262963	-3,5191993325098586E-005
1	1	0	1	0	0	1	1836,0010	0,100000001	2,65477991	5,5562809452000595E-005	0,10001305954014346	0,000265512674	0,00099876101855463014	0,00099876101855463014	-3,726511645074455E-005
1	1	0	1	0	0	1	1838,0010	0,100000001	2,65661311	5,5562883582380083E-005	0,10001319297482992	0,000265696348	0,0010543239021370102	0,0010543239021370102	-3,9338242342294656E-005
1	1	0	1	0	0	1	1840,0010	0,100000001	2,65836978	5,5562858776085907E-005	0,10001314832349928	0,000265871931	0,0011098867609130962	0,0011098867609130962	-4,1411367308288576E-005
1	1	0	1	0	0	1	1842,0010	0,100000001	2,65995455	5,5562872666865587E-005	0,10001317332690333	0,000266030489	0,0011654496335799619	0,0011654496335799619	-4,348449279256615E-005
1	1	0	1	0	0	1	1844,0010	0,100000001	2,66163492	5,5562963785396678E-005	0,10001333734026344	0,000266199	0,0012210125973653584	0,0012210125973653584	-4,5557621676598637E-005
1	1	0	1	0	0	1	1846,0010	0,100000001	2,66329622	5,5563019562098714E-005	0,10001343773832963	0,000266365416	0,001276575616927457	0,001276575616927457	-4,7630752641734867E-005
1	1	0	1	0	0	1	1848,0010	0,100000001	2,66476655	5,5563035114771789E-005	0,10001346573314189	0,000266512536	0,001332138652042229	0,001332138652042229	-4,970388418716224E-005
1	1	0	1	0	0	1	1850,0010	0,100000001	2,66631317	5,5563046522024608E-005	0,10001348626619747	0,000266667281	0,0013877016985642534	0,0013877016985642534	-5,1777016158209555E-005
1	1	0	1	0	0	1	1852,0010	0,100000001	2,66789818	5,5562997105634874E-005	0,10001339731669371	0,000266825547	0,0014432646956698883	0,0014432646956698883	-5,3850146285464928E-005
1	1	0	1	0	0	1	1854,0010	0,100000001	2,6696167	5,5563103052063123E-005	0,10001358802026934	0,000266997959	0,0014988277987219514	0,0014988277987219514	-5,5923280365723994E-005
1	1	0	1	0	0	1	1856,0010	0,100000001	2,67102957	5,5562972319208915E-005	0,10001335270112586	0,000267138617	0,0015543907710411603	0,0015543907710411603	-5,799640956816448E-005
1	1	0	1	0	0	1	1858,0010	0,100000001	2,67244267	5,5562957334021728E-005	0,10001332572778824	0,000267279887	0,0016099537283751821	0,0016099537283751821	-6,0069538211487488E-005
1	1	0	1	0	0	1	1860,0010	0,100000001	2,67397022	5,5562829298277696E-005	0,10001309526344314	0,000267432042	0,0016655165576734598	0,0016655165576734598	-6,2142662077624755E-005
1	1	0	1	0	0	1	1862,0010	0,100000001	2,67542148	5,5562898390822938E-005	0,10001321963002773	0,000267577503	0,0017210794560642829	0,0017210794560642829	-6,4215788521697779E-005
