EC-Lab ASCII FILE
Nb header lines : 3                           
mode	ox/red	error	control changes	Ns changes	counter inc.	Ns	time/s	control/V/mA	Ewe/V	dq/mA.h	<I>/mA	P/W	(Q-Qo)/mA.h	x	Capacity/mA.h
1	1	0	1	1	0	1	11169,01	0,100000001	1,21288526	0	0	0	0	0	0
1	1	0	1	0	0	1	11171,01	0,100000001	1,31004012	5,4190619309969203E-005	0,097543115938917939	0,000127785388	5,4190619309969203E-005	-2,0219248665175162E-006	5,4190619309969203E-005
1	1	0	1	0	0	1	11173,01	0,100000001	1,36721027	5,5563043060402074E-005	0,10001347871960627	0,000136739458	0,0001097536623703713	-4,0950567084070406E-006	0,0001097536623703713
1	1	0	1	0	0	1	11175,01	0,100000001	1,41259885	5,5562983502530387E-005	0,10001337151543594	0,000141278768	0,00016531664587290166	-6,1681863281122957E-006	0,00016531664587290166
1	1	0	1	0	0	1	11177,01	0,100000001	1,45012033	5,5562968308726944E-005	0,10001334416658941	0,000145031387	0,00022087961418162861	-8,2413153809163162E-006	0,00022087961418162861
1	1	0	1	0	0	1	11179,01	0,100000001	1,48237169	5,5562971221903962E-005	0,1000133494103081	0,000148256964	0,00027644258540353258	-1,0314444542414888E-005	0,00027644258540353258
1	1	0	1	0	0	1	11181,01	0,100000001	1,5115869	5,556301692831847E-005	0,1000134316818552	0,000151178989	0,00033200560233185101	-1,2387575409281237E-005	0,00033200560233185101
1	1	0	1	0	0	1	11183,01	0,100000001	1,53837705	5,5562966726720333E-005	0,10001334131897746	0,000153858229	0,00038756856905857133	-1,4460704403058464E-005	0,00038756856905857133
1	1	0	1	0	0	1	11185,01	0,100000001	1,56404054	5,5563085231516096E-005	0,10001355462761243	0,00015642526	0,00044313165429008742	-1,653383781840895E-005	0,00044313165429008742
1	1	0	1	0	0	1	11187,01	0,100000001	1,58865392	5,5563058985604179E-005	0,1000135073849704	0,000158886847	0,00049869471327569158	-1,8606970254489178E-005	0,00049869471327569158
1	1	0	1	0	0	1	11189,01	0,100000001	1,61284721	5,5563094455748794E-005	0,10001357123123149	0,000161306612	0,00055425780773144038	-2,0680104014008189E-005	0,00055425780773144038
1	1	0	1	0	0	1	11191,01	0,100000001	1,63677311	5,5563032931337754E-005	0,10001346048729027	0,00016369934	0,00060982084066277811	-2,2753235477968704E-005	0,00060982084066277811
1	1	0	1	0	0	1	11193,01	0,100000001	1,66031706	5,5563033631278406E-005	0,10001346174718346	0,000166054058	0,00066538387429405658	-2,482636696804495E-005	0,00066538387429405658
1	1	0	1	0	0	1	11195,01	0,100000001	1,6839757	5,5563069604337216E-005	0,10001352649869011	0,000168420345	0,00072094694389839373	-2,6899499800324381E-005	0,00072094694389839373
1	1	0	1	0	0	1	11197,01	0,100000001	1,70753884	5,5563086129724979E-005	0,10001355624438845	0,000170777028	0,00077651003002811878	-2,897263324918825E-005	0,00077651003002811878
1	1	0	1	0	0	1	11199,01	0,100000001	1,73115921	5,5563126576029594E-005	0,10001362904773763	0,000173139517	0,00083207315660414835	-3,1045768207158131E-005	0,00083207315660414835
1	1	0	1	0	0	1	11201,01	0,100000001	1,75502789	5,5563110781626573E-005	0,10001360061781186	0,000175526657	0,00088763626738577498	-3,3118902575817587E-005	0,00088763626738577498
1	1	0	1	0	0	1	11203,01	0,100000001	1,77931654	5,5563094107227194E-005	0,10001357060389259	0,000177955808	0,00094319936149300224	-3,5192036322332794E-005	0,00094319936149300224
1	1	0	1	0	0	1	11205,01	0,100000001	1,80362439	5,5563069780667622E-005	0,10001352681608483	0,000180386836	0,00099876243127366976	-3,7265169161191354E-005	0,00099876243127366976
1	1	0	1	0	0	1	11207,01	0,100000001	1,82819951	5,5563026074320083E-005	0,10001344814465832	0,000182844538	0,0010543254573479899	-3,9338300369307315E-005	0,0010543254573479899
1	1	0	1	0	0	1	11209,01	0,100000001	1,85308015	5,5563100837998918E-005	0,10001358271928184	0,000185333192	0,0011098885581859888	-4,1411434366956666E-005	0,0011098885581859888
1	1	0	1	0	0	1	11211,01	0,100000001	1,87811363	5,5563094602276883E-005	0,10001357149498205	0,000187836849	0,0011654516527882658	-4,3484568131942835E-005	0,0011654516527882658
1	1	0	1	0	0	1	11213,01	0,100000001	1,90335703	5,5563085551891059E-005	0,10001355520428738	0,000190361505	0,001221014738340157	-4,5557701559246944E-005	0,001221014738340157
1	1	0	1	0	0	1	11215,01	0,100000001	1,92879152	5,5563222347862189E-005	0,10001380143703838	0,000192905776	0,0012765779606880189	-4,7630840090592659E-005	0,0012765779606880189
1	1	0	1	0	0	1	11217,01	0,100000001	1,95437872	5,5563127956456608E-005	0,10001363153250629	0,000195464512	0,0013321410886444757	-4,9703975100068128E-005	0,0013321410886444757
1	1	0	1	0	0	1	11219,01	0,100000001	1,98017585	5,5563093218538496E-005	0,10001356900425293	0,00019804445	0,0013877041818630141	-5,1777108813425165E-005	0,0013877041818630141
