EC-Lab ASCII FILE
Nb header lines : 43                          

Open Circuit Voltage

Run on channel : 1 (SN 6985)
Grouped channel(s) : 1
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Ewe ctrl range : min = 0,00 V, max = 5,00 V
Acquisition started on : 07.09.2015 17:19:07
Saved on :
	File : LATP_LP30_Li_Entladen bis 0k5V_01_OCV_C01.mpr
	Directory : C:\Hupfer\Batterietest Li vs LATP\
	Host : 192.168.0.2
Device : VMP3 (SN 0324)
Address : 192.168.0.1
EC-Lab for windows v10.33 (software)
Internet server v10.33 (firmware)
Command interpretor v10.32 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Mass of active material : 0,001 mg
 at x = 0,000
Molecular weight of active material (at x = 0) : 0,001 g/mol
Atomic weight of intercalated ion : 0,001 g/mol
Acquisition started at : xo = 0,000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26,801 mA.h
Battery capacity : 0,000 A.h
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
tR (h:m:s)          2:00:30,0000        
dER/dt (mV/h)       1,0                 
dER (mV)            1,00                
dtR (s)             10,0000             
E range min (V)     0,000               
E range max (V)     5,000               

mode	error	time/s	Ewe/V
3	0	0,0000	1,1038996
3	0	5,9458	1,10491157
3	0	13,7756	1,10592365
3	0	22,0980	1,10693562
3	0	30,2256	1,10794771
3	0	38,5072	1,10895967
3	0	46,7696	1,10997176
3	0	55,4378	1,11098385
3	0	64,0844	1,11199582
3	0	72,7462	1,11302698
3	0	81,8708	1,11403894
3	0	90,7462	1,11505103
3	0	100,2302	1,116063
3	0	109,0974	1,11709416
3	0	118,7808	1,11812532
3	0	128,3604	1,11913729
3	0	138,0274	1,12016845
3	0	147,7546	1,12118042
3	0	157,7546	1,12194431
3	0	165,5888	1,12295628
3	0	175,5888	1,12373924
3	0	183,4286	1,12475121
3	0	193,4286	1,12555325
3	0	203,1012	1,12656522
3	0	213,1012	1,12732899
3	0	221,7960	1,12834108
3	0	231,7960	1,12912393
3	0	241,1220	1,13013601
3	0	251,1220	1,13078523
3	0	259,9554	1,13179719
3	0	269,9554	1,13244653
3	0	278,6376	1,1334585
3	0	288,6376	1,13418412
3	0	298,6376	1,13490975
3	0	307,7194	1,13592172
3	0	317,7194	1,13666642
3	0	327,7194	1,13744938
3	0	337,7194	1,13830864
3	0	347,7194	1,13903415
3	0	357,7194	1,13979805
3	0	367,7194	1,14056182
3	0	377,7164	1,14157379
3	0	387,7164	1,14216578
3	0	397,7164	1,14294863
3	0	407,7164	1,14376974
3	0	417,7164	1,14443803
3	0	427,7164	1,14508724
3	0	437,1518	1,14609933
3	0	447,1518	1,14655757
3	0	457,1518	1,14737868
3	0	467,1518	1,14800882
3	0	477,1518	1,14882994
3	0	487,1518	1,14934552
3	0	496,9756	1,15035748
3	0	506,9756	1,15073943
3	0	516,9756	1,15138865
3	0	526,9756	1,15220964
3	0	536,9756	1,15291619
3	0	546,9756	1,15346992
3	0	556,9756	1,15423381
3	0	566,9756	1,15480661
3	0	576,9756	1,15558946
3	0	586,9756	1,15620053
3	0	596,9756	1,15679252
3	0	606,9756	1,15736532
3	0	616,9756	1,15805268
3	0	626,9756	1,15866375
3	0	636,9756	1,15927482
3	0	646,9756	1,16000044
3	0	656,9756	1,16059232
3	0	666,9756	1,16118431
3	0	676,9756	1,16173804
3	0	686,9756	1,1623491
3	0	696,9756	1,16290283
3	0	706,9756	1,16357112
3	0	716,9756	1,16410577
3	0	726,9756	1,16475511
3	0	736,9756	1,16530883
3	0	746,9756	1,16586256
3	0	756,9756	1,16633987
3	0	766,9756	1,1670655
3	0	776,9756	1,16756201
3	0	786,9756	1,16800117
3	0	796,9756	1,16851676
3	0	806,9756	1,16920412
3	0	816,9756	1,16973877
3	0	826,9756	1,17012072
3	0	836,9756	1,17076993
3	0	846,9756	1,171381
3	0	856,9756	1,17185831
3	0	866,9756	1,17239296
3	0	876,9756	1,17294681
3	0	886,9756	1,17332864
3	0	896,9756	1,17399704
3	0	906,9756	1,17441702
3	0	916,9756	1,17504716
3	0	926,9756	1,17554367
3	0	936,9756	1,17605925
3	0	946,9756	1,1765939
3	0	956,9756	1,17707121
3	0	966,9756	1,17756772
3	0	976,9756	1,17812145
3	0	986,9756	1,17863703
3	0	996,9756	1,17913353
3	0	1006,9756	1,17959177
3	0	1016,9756	1,18012643
3	0	1026,9756	1,18050838
3	0	1036,9756	1,18104303
3	0	1046,9756	1,18155861
3	0	1056,9756	1,18201685
3	0	1066,9756	1,18241787
3	0	1076,9756	1,18293345
3	0	1086,9756	1,18348718
3	0	1096,9756	1,18392634
3	0	1106,9756	1,18444192
3	0	1116,9756	1,18491924
3	0	1126,9756	1,18530118
3	0	1136,9756	1,18579769
3	0	1146,9756	1,18617952
3	0	1156,9756	1,18663776
3	0	1166,9756	1,18711519
3	0	1176,9756	1,18757343
3	0	1186,9756	1,18797445
3	0	1196,9756	1,18852818
3	0	1206,9756	1,18889105
3	0	1216,9756	1,18944478
3	0	1226,9756	1,18975031
3	0	1236,9756	1,19018948
3	0	1246,9756	1,19072413
3	0	1256,9756	1,19112515
3	0	1266,9756	1,19152606
3	0	1276,9756	1,19192708
3	0	1286,9756	1,19236624
3	0	1296,9756	1,19284368
3	0	1306,9756	1,19326377
