EC-Lab ASCII FILE
Nb header lines : 68                          

Galvanostatic Cycling with Potential Limitation

Run on channel : 1 (SN 6985)
Grouped channel(s) : 1
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Ewe ctrl range : min = 0,00 V, max = 5,00 V
Acquisition started on : 07.09.2015 17:19:07
Saved on :
	File : LATP_LP30_Li_Entladen bis 0k5V_02_GCPL_C01.mpr
	Directory : C:\Hupfer\Batterietest Li vs LATP\
	Host : 192.168.0.2
Device : VMP3 (SN 0324)
Address : 192.168.0.1
EC-Lab for windows v10.33 (software)
Internet server v10.33 (firmware)
Command interpretor v10.32 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Mass of active material : 0,001 mg
 at x = 0,000
Molecular weight of active material (at x = 0) : 0,001 g/mol
Atomic weight of intercalated ion : 0,001 g/mol
Acquisition started at : xo = 0,000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26,801 mA.h
Battery capacity : 0,000 A.h
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
Ns                  0                   1                   
Set I/C             I                   I                   
Is                  0,000               -500,000            
unit Is             mA                  nA                  
vs.                 <None>              <None>              
N                   1                   1                   
I sign              > 0                 > 0                 
t1 (h:m:s)          0:00:0,0000         10:00:0,0000        
I Range             10 µA               10 µA               
Bandwidth           5                   5                   
dE1 (mV)            0,00                10,00               
dt1 (s)             0,0000              10,0000             
EM (V)              0,000               0,500               
tM (h:m:s)          0:00:0,0000         24:00:0,0000        
Im                  0,000               0,000               
unit Im             mA                  mA                  
E range min (V)     0,000               0,000               
E range max (V)     5,000               5,000               
dq                  0,000               1,000               
unit dq             mA.h                mA.h                
dtq (s)             0,0000              120,0000            
dQM                 0,000               0,000               
unit dQM            mA.h                mA.h                
dxM                 0,000               0,000               
tR (h:m:s)          0:00:10,0000        0:00:0,0000         
dER/dt (mV/h)       0,0                 0,1                 
dER (mV)            0,00                5,00                
dtR (s)             1,0000              120,0000            
EL (V)              pass                0,000               
goto Ns'            0                   0                   
nc cycles           0                   0                   

mode	ox/red	error	control changes	Ns changes	counter inc.	Ns	time/s	control/V/mA	Ewe/V	dq/mA.h	<I>/mA	P/W	(Q-Qo)/mA.h	x	Capacity/mA.h
3	1	0	0	0	0	0	7230,0005	0	1,34046638	0	0	0	0	0	0
3	1	0	0	0	0	0	7231,0005	0	1,34061909	0	0	0	0	0	0
3	1	0	0	0	0	0	7232,0005	0	1,34063828	0	0	0	0	0	0
3	1	0	0	0	0	0	7233,0005	0	1,34067643	0	0	0	0	0	0
3	1	0	0	0	0	0	7234,0005	0	1,34065735	0	0	0	0	0	0
3	1	0	0	0	0	0	7235,0005	0	1,34067643	0	0	0	0	0	0
3	1	0	0	0	0	0	7236,0005	0	1,34063828	0	0	0	0	0	0
3	1	0	0	0	0	0	7237,0005	0	1,34071457	0	0	0	0	0	0
3	1	0	0	0	0	0	7238,0005	0	1,34071457	0	0	0	0	0	0
3	1	0	0	0	0	0	7239,0005	0	1,34075284	0	0	0	0	0	0
3	1	0	0	0	0	0	7240,0003	-0,000500000024	1,34109426	0	0	0	0	0	0
1	0	0	0	1	0	1	7240,0005	-0,000500000024	1,34070504	-2,7638611047425203E-011	-0,00049749501142143469	6,66994083E-007	-2,7638611047425203E-011	1,031233738687208E-012	2,7638611047425203E-011
1	0	0	0	0	0	1	7240,0167	-0,000500000024	1,33055615	-2,2502788407210675E-009	-0,0005000619704994768	6,65360517E-007	-2,2779174517684928E-009	8,4992162818069619E-011	2,2779174517684928E-009
1	0	0	0	0	0	1	7240,0739	-0,000500000024	1,32055044	-7,9459293790730739E-009	-0,00050009346344185958	6,60398655E-007	-1,0223846830841566E-008	3,8146547136695962E-010	1,0223846830841566E-008
1	0	0	0	0	0	1	7242,1569	-0,000500000024	1,31054461	-2,8936846286524083E-007	-0,00050010872728155744	6,55414794E-007	-2,9959230969608243E-007	1,1178191880905266E-008	2,9959230969608243E-007
1	0	0	0	0	0	1	7247,2845	-0,000500000024	1,3005389	-7,1231209821093632E-007	-0,00050010211104779674	6,50402228E-007	-1,0119044079070187E-006	3,7755513978957107E-008	1,0119044079070187E-006
1	0	0	0	0	0	1	7253,6479	-0,000500000024	1,29053319	-8,8396006229838054E-007	-0,00050008741597240819	6,4537943E-007	-1,895864470205399E-006	7,0737252400253696E-008	1,895864470205399E-006
