EC-Lab ASCII FILE
Nb header lines : 46                          

Open Circuit Voltage

Run on channel : 1 (SN 6985)
Grouped channel(s) : 1
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Ewe ctrl range : min = -10,00 V, max = 10,00 V
Acquisition started on : 01.29.2015 20:40:39
Saved on :
	File : LiNiMnO-LATP-LTO_04_OCV_C01.mpr
	Directory : C:\Hupfer\Studenten Batterietests\ASS Batterie 03\
	Host : 192.168.0.2
Device : VMP3 (SN 0324)
Address : 192.168.0.1
EC-Lab for windows v10.33 (software)
Internet server v10.33 (firmware)
Command interpretor v10.32 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Mass of active material : 0,001 mg
 at x = 0,000
Molecular weight of active material (at x = 0) : 0,001 g/mol
Atomic weight of intercalated ion : 0,001 g/mol
Acquisition started at : xo = 0,000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26,801 mA.h
Battery capacity : 0,000 A.h
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
tR (h:m:s)          0:10:0,0000         
dER/dt (mV/h)       0,0                 
dER (mV)            0,00                
dtR (s)             5,0000              
E range min (V)     -10,000             
E range max (V)     10,000              

Number of loops : 1
Loop 0 from point number 0 to 120

mode	error	time/s	Ewe/V
3	0	600,6038	0,106068842
3	0	605,6038	0,104332872
3	0	610,6038	0,10463839
3	0	615,6038	0,105230339
3	0	620,6038	0,105211243
3	0	625,6038	0,103416316
3	0	630,6038	0,100914888
3	0	635,6038	0,0988717303
3	0	640,6038	0,0981270298
3	0	645,6038	0,0992345363
3	0	650,6038	0,10095308
3	0	655,6038	0,104409255
3	0	660,6038	0,105516762
3	0	665,6038	0,103855506
3	0	670,6038	0,101525925
3	0	675,6038	0,0993681997
3	0	680,6038	0,0985089317
3	0	685,6038	0,100246564
3	0	690,6038	0,103072613
3	0	695,6038	0,105554946
3	0	700,6038	0,104600206
3	0	705,6038	0,100895792
3	0	710,6038	0,0985471159
3	0	715,6038	0,0990626812
3	0	720,6038	0,101144023
3	0	725,6038	0,104542919
3	0	730,6038	0,105784088
3	0	735,6038	0,104161024
3	0	740,6038	0,101774156
3	0	745,6038	0,0991581529
3	0	750,6038	0,0986807793
3	0	755,6038	0,101105839
3	0	760,6038	0,104752965
3	0	765,6038	0,105574042
3	0	770,6038	0,105841376
3	0	775,6038	0,105516762
3	0	780,6038	0,10492482
3	0	785,6038	0,104199208
3	0	790,6038	0,103588171
3	0	795,6038	0,101583205
3	0	800,6038	0,0995018631
3	0	805,6038	0,0988526344
3	0	810,6038	0,100494802
3	0	815,6038	0,102824375
3	0	820,6038	0,105039388
3	0	825,6038	0,105975039
3	0	830,6038	0,10587956
3	0	835,6038	0,104676582
3	0	840,6038	0,103798218
3	0	845,6038	0,102194242
3	0	850,6038	0,100170188
3	0	855,6038	0,09976919
3	0	860,6038	0,0995400548
3	0	865,6038	0,0990053937
3	0	870,6038	0,099272728
3	0	875,6038	0,0996164307
3	0	880,6038	0,1001129
3	0	885,6038	0,101086743
3	0	890,6038	0,101621397
3	0	895,6038	0,10175506
3	0	900,6038	0,101716876
3	0	905,6038	0,101831444
3	0	910,6038	0,102041483
3	0	915,6038	0,102156058
3	0	920,6038	0,103187181
3	0	925,6038	0,104046449
3	0	930,6038	0,105516762
3	0	935,6038	0,106146894
3	0	940,6038	0,106242366
3	0	945,6038	0,105669521
3	0	950,6038	0,10458111
3	0	955,6038	0,104180112
3	0	960,6038	0,103511795
3	0	965,6038	0,103129894
3	0	970,6038	0,102347001
3	0	975,6038	0,100494802
3	0	980,6038	0,0994445756
3	0	985,6038	0,0998073816
3	0	990,6038	0,101258598
3	0	995,6038	0,103454508
3	0	1000,6038	0,105593137
3	0	1005,6038	0,106605172
3	0	1010,6038	0,106796116
3	0	1015,6038	0,104542919
3	0	1020,6038	0,102404289
3	0	1025,6038	0,100303851
3	0	1030,6038	0,0998264775
3	0	1035,6038	0,101678684
3	0	1040,6038	0,103721835
3	0	1045,6038	0,105917752
3	0	1050,6038	0,106948875
3	0	1055,6038	0,106738836
3	0	1060,6038	0,105860464
3	0	1065,6038	0,10492482
3	0	1070,6038	0,104619302
3	0	1075,6038	0,105612233
3	0	1080,6038	0,107101634
3	0	1085,6038	0,10492482
3	0	1090,6038	0,100781225
3	0	1095,6038	0,100552082
3	0	1100,6038	0,105173051
3	0	1105,6038	0,106528789
3	0	1110,6038	0,101812348
3	0	1115,6038	0,100131996
3	0	1120,6038	0,104447447
3	0	1125,6038	0,10706345
3	0	1130,6038	0,103760026
3	0	1135,6038	0,0999983326
3	0	1140,6038	0,103129894
3	0	1145,6038	0,106987067
3	0	1150,6038	0,102347001
3	0	1155,6038	0,100723937
3	0	1160,6038	0,106987067
3	0	1165,6038	0,10368365
3	0	1170,6038	0,100781225
3	0	1175,6038	0,106280558
3	0	1180,6038	0,105726801
3	0	1185,6038	0,100704841
3	0	1190,6038	0,104886629
3	0	1195,6038	0,106280558
3	0	1200,6038	0,100017428
