EC-Lab ASCII FILE
Nb header lines : 46                          

Open Circuit Voltage

Run on channel : 1 (SN 6985)
Grouped channel(s) : 1
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Ewe ctrl range : min = -10,00 V, max = 10,00 V
Acquisition started on : 01.29.2015 22:15:06
Saved on :
	File : LiNiMnO-LATP-LTO_3_04_OCV_C01.mpr
	Directory : C:\Hupfer\Studenten Batterietests\ASS Batterie 03\
	Host : 192.168.0.2
Device : VMP3 (SN 0324)
Address : 192.168.0.1
EC-Lab for windows v10.33 (software)
Internet server v10.33 (firmware)
Command interpretor v10.32 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Mass of active material : 0,001 mg
 at x = 0,000
Molecular weight of active material (at x = 0) : 0,001 g/mol
Atomic weight of intercalated ion : 0,001 g/mol
Acquisition started at : xo = 0,000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26,801 mA.h
Battery capacity : 0,000 A.h
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
tR (h:m:s)          0:05:0,0000         
dER/dt (mV/h)       0,0                 
dER (mV)            0,00                
dtR (s)             5,0000              
E range min (V)     -10,000             
E range max (V)     10,000              

Number of loops : 1
Loop 0 from point number 0 to 60

mode	error	time/s	Ewe/V
3	0	612,6232	0,967804611
3	0	617,6232	0,859230936
3	0	622,6232	0,815790057
3	0	627,6232	0,780827284
3	0	632,6232	0,749817133
3	0	637,6232	0,723217905
3	0	642,6232	0,700552285
3	0	647,6232	0,680960894
3	0	652,6232	0,66346997
3	0	657,6232	0,647602081
3	0	662,6232	0,63412106
3	0	667,6232	0,621537566
3	0	672,6232	0,611073554
3	0	677,6232	0,600800455
3	0	682,6232	0,591501236
3	0	687,6232	0,583175898
3	0	692,6232	0,575232387
3	0	697,6232	0,568052709
3	0	702,6232	0,561083078
3	0	707,6232	0,555660129
3	0	712,6232	0,550084412
3	0	717,6232	0,545749843
3	0	722,6232	0,53979224
3	0	727,6232	0,534464777
3	0	732,6232	0,528411686
3	0	737,6232	0,522358596
3	0	742,6232	0,517012
3	0	747,6232	0,51164633
3	0	752,6232	0,507865548
3	0	757,6232	0,504714906
3	0	762,6232	0,501258731
3	0	767,6232	0,498661816
3	0	772,6232	0,495453864
3	0	777,6232	0,492475063
3	0	782,6232	0,489668101
3	0	787,6232	0,486250103
3	0	792,6232	0,48258388
3	0	797,6232	0,479662359
3	0	802,6232	0,476454437
3	0	807,6232	0,473303765
3	0	812,6232	0,469083786
3	0	817,6232	0,466047704
3	0	822,6232	0,462343305
3	0	827,6232	0,458753437
3	0	832,6232	0,455488235
3	0	837,6232	0,454628944
3	0	842,6232	0,456061065
3	0	847,6232	0,456099272
3	0	852,6232	0,452509403
3	0	857,6232	0,447220117
3	0	862,6232	0,442942858
3	0	867,6232	0,442599148
3	0	872,6232	0,444527745
3	0	877,6232	0,444203138
3	0	882,6232	0,439734936
3	0	887,6232	0,434598386
3	0	892,6232	0,432975322
3	0	897,6232	0,435037583
3	0	902,6232	0,436259657
3	0	907,6232	0,434178293
3	0	912,6230	0,428526223
