EC-Lab ASCII FILE
Nb header lines : 3                           
mode	error	time/s	Ewe/V
3	0	0,00	2,10877657
3	0	5,00	2,10879564
3	0	10,00	2,10873842
3	0	15,00	2,10873842
3	0	20,00	2,10877657
3	0	25,00	2,10870004
3	0	30,00	2,10877657
3	0	35,00	2,10870004
3	0	40,00	2,10879564
3	0	45,00	2,10879564
3	0	50,00	2,10879564
3	0	55,00	2,10885286
3	0	60,00	2,10879564
3	0	65,00	2,10873842
3	0	70,00	2,10877657
3	0	75,00	2,1087575
3	0	80,00	2,10873842
3	0	85,00	2,10883379
3	0	90,00	2,10868096
3	0	95,00	2,10870004
3	0	100,00	2,1087575
3	0	105,00	2,10873842
3	0	110,00	2,10870004
3	0	115,00	2,10871935
3	0	120,00	2,10870004
3	0	125,00	2,10870004
3	0	130,00	2,10871935
3	0	135,00	2,10881472
3	0	140,00	2,10879564
3	0	145,00	2,1087575
3	0	150,00	2,1087575
3	0	155,00	2,10879564
3	0	160,00	2,10868096
3	0	165,00	2,10870004
3	0	170,00	2,10864282
3	0	175,00	2,10868096
3	0	180,00	2,10879564
3	0	185,00	2,10877657
3	0	190,00	2,1087575
3	0	195,00	2,10870004
3	0	200,00	2,1087575
3	0	205,00	2,10868096
3	0	210,00	2,1087575
3	0	215,00	2,10870004
3	0	220,00	2,10862374
3	0	225,00	2,10866189
3	0	230,00	2,1087575
3	0	235,00	2,10873842
3	0	240,00	2,10866189
3	0	245,00	2,10860467
3	0	250,00	2,10856652
3	0	255,00	2,10868096
3	0	260,00	2,10866189
3	0	265,00	2,1085856
3	0	270,00	2,10864282
3	0	275,00	2,10860467
3	0	280,00	2,10864282
3	0	285,00	2,10868096
3	0	290,00	2,10871935
3	0	295,00	2,10868096
3	0	300,00	2,10868096
3	0	305,00	2,10860467
3	0	310,00	2,10870004
3	0	315,00	2,10854745
3	0	320,00	2,10866189
3	0	325,00	2,10862374
3	0	330,00	2,10866189
3	0	335,00	2,1085856
3	0	340,00	2,10860467
3	0	345,00	2,10868096
3	0	350,00	2,10866189
3	0	355,00	2,10868096
3	0	360,00	2,10860467
3	0	365,00	2,1085856
3	0	370,00	2,10864282
3	0	375,00	2,10864282
3	0	380,00	2,10862374
3	0	385,00	2,10866189
3	0	390,00	2,10871935
3	0	395,00	2,10868096
3	0	400,00	2,10854745
3	0	405,00	2,10866189
3	0	410,00	2,10848999
3	0	415,00	2,10864282
3	0	420,00	2,10847092
3	0	425,00	2,1085856
3	0	430,00	2,10848999
3	0	435,00	2,10852838
3	0	440,00	2,10870004
3	0	445,00	2,10845184
3	0	450,00	2,10856652
3	0	455,00	2,10856652
3	0	460,00	2,10868096
3	0	465,00	2,10852838
3	0	470,00	2,10852838
3	0	475,00	2,1085856
3	0	480,00	2,10856652
3	0	485,00	2,10847092
3	0	490,00	2,10860467
3	0	495,00	2,10860467
3	0	500,00	2,1085856
3	0	505,00	2,10852838
3	0	510,00	2,1085856
3	0	515,00	2,10847092
3	0	520,00	2,10852838
3	0	525,00	2,10847092
3	0	530,00	2,10862374
3	0	535,00	2,1085093
3	0	540,00	2,10862374
3	0	545,00	2,10862374
3	0	550,00	2,10848999
3	0	555,00	2,10860467
3	0	560,00	2,10843277
3	0	565,00	2,10852838
3	0	570,00	2,10845184
3	0	575,00	2,10852838
3	0	580,00	2,10856652
3	0	585,00	2,10845184
3	0	590,00	2,10847092
3	0	595,00	2,1085093
3	0	600,00	2,10839462
