EC-Lab ASCII FILE
Nb header lines : 3                           
mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	P/W
2	0	0	1	0	1340,20	2,10843253	2,10876703	-0,04892837256193161	2	0	0,000103178536
2	0	0	1	0	1340,23	2,10813189	2,10856581	-0,047321631379115162	2	-1,43876298E-006	9,97807729E-005
2	0	0	1	0	1340,28	2,10763168	2,10825515	-0,045253098661002464	2	-3,7592506E-006	9,54050774E-005
2	0	0	1	0	1340,33	2,10713172	2,10769391	-0,04404047220790153	2	-6,00122712E-006	9,28238369E-005
2	0	0	1	0	1340,38	2,10663176	2,10707235	-0,043429825978819334	2	-8,20004607E-006	9,15097844E-005
2	0	0	1	0	1340,43	2,10613179	2,10649085	-0,04286262447324912	2	-1,03691791E-005	9,02897227E-005
2	0	0	1	0	1340,48	2,10563183	2,10631061	-0,042458544349452954	2	-1,25148626E-005	8,94308832E-005
2	0	0	1	0	1340,53	2,10513163	2,10574889	-0,042397799474808038	2	-1,46488001E-005	8,92791213E-005
2	0	0	1	0	1340,58	2,10463142	2,10510755	-0,042150703055085613	2	-1,67762591E-005	8,87317656E-005
2	0	0	1	0	1340,63	2,10413146	2,10451603	-0,041985423789204448	2	-1,88930553E-005	8,83589964E-005
2	0	0	1	0	1340,68	2,1036315	2,10416484	-0,04198443971108656	2	-2,10056442E-005	8,83421817E-005
2	0	0	1	0	1340,73	2,10313201	2,10367417	-0,041913417214730189	2	-2,31172417E-005	8,81721717E-005
2	0	0	1	0	1340,78	2,10263133	2,10312247	-0,04182870589041465	2	-2,52238933E-005	8,79708896E-005
2	0	0	0	0	1340,83	2,10213041	2,10258031	-0,041818212553079494	2	-2,73368914E-005	8,79261497E-005
2	0	0	1	0	1340,88	2,10163212	2,10218072	-0,041853609667986515	2	-2,94393121E-005	8,79838481E-005
2	0	0	1	0	1340,93	2,10113263	2,10151815	-0,041797584392201267	2	-3,15396428E-005	8,78383798E-005
2	0	0	0	0	1340,98	2,100631	2,10123801	-0,041738419656952243	2	-3,36498451E-005	8,77023558E-005
2	0	0	0	0	1341,03	2,10013127	2,10071683	-0,041810835372113498	2	-3,57534846E-005	8,78327264E-005
2	0	0	0	0	1341,08	2,09963131	2,10014534	-0,041769403809060896	2	-3,78565965E-005	8,7721819E-005
2	0	0	0	0	1341,13	2,09913135	2,09951401	-0,041724682892284595	2	-3,99572891E-005	8,76015547E-005
2	0	0	0	0	1341,18	2,09863114	2,09912276	-0,041925607967035373	2	-4,20634642E-005	8,80070002E-005
2	0	0	0	0	1341,23	2,09813118	2,09865165	-0,04185593602596793	2	-4,41713455E-005	8,78410283E-005
2	0	0	0	0	1341,28	2,09763098	2,09816027	-0,04181774099318647	2	-4,62767312E-005	8,77403218E-005
2	0	0	0	0	1341,33	2,09713101	2,09770918	-0,041740562097402342	2	-4,8379381E-005	8,75595579E-005
2	0	0	0	0	1341,38	2,09663081	2,09716797	-0,041733588489781427	2	-5,0479739E-005	8,75223486E-005
2	0	0	0	0	1341,43	2,09613085	2,09663677	-0,041744448836349536	2	-5,25804498E-005	8,75229453E-005
2	0	0	0	0	1341,48	2,09563112	2,09610534	-0,041887312060377325	2	-5,46848896E-005	8,78002174E-005
2	0	0	0	0	1341,53	2,09513092	2,09559417	-0,041940291926342298	2	-5,67952229E-005	8,78898281E-005
2	0	0	0	0	1341,58	2,09463096	2,09515309	-0,041915954342887974	2	-5,89049523E-005	8,78203427E-005
2	0	0	0	0	1341,63	2,09413075	2,09475231	-0,041959961197184038	2	-6,1015613E-005	8,78957289E-005
2	0	0	0	0	1341,68	2,09363079	2,09413075	-0,042020472940445754	2	-6,31297007E-005	8,79963627E-005
2	0	0	0	0	1341,73	2,09313059	2,09382987	-0,042002926153751782	2	-6,52436793E-005	8,79469808E-005
2	0	0	0	0	1341,78	2,09263062	2,09310818	-0,042015038062042099	2	-6,73577815E-005	8,79420186E-005
2	0	0	0	0	1341,83	2,09213066	2,09248662	-0,042156262769519002	2	-6,9477639E-005	8,82114182E-005
2	0	0	0	0	1341,88	2,0916307	2,0922358	-0,042095557641005088	2	-7,15977731E-005	8,80738298E-005
