EC-Lab ASCII FILE
Nb header lines : 3                           
mode	ox/red	error	control changes	Ns changes	counter inc.	Ns	time/s	control/V/mA	Ewe/V	dq/mA.h	<I>/mA	P/W	(Q-Qo)/mA.h	x	Capacity/mA.h
1	0	0	1	1	0	1	39391,15	-0,100000001	4,18852472	0	0	0	0	0	0
1	0	0	1	0	0	1	39401,15	-0,100000001	3,79184723	-0,00027636330472348912	-0,099490789515140058	0,000377253862	-0,00027636330472348912	1,0311486473648458E-005	0,00027636330472348912
1	0	0	1	0	0	1	39411,15	-0,100000001	3,45762897	-0,00027773699179995389	-0,09998531686174624	0,00034571212	-0,00055410029652344301	2,0674227059061738E-005	0,00055410029652344301
1	0	0	1	0	0	1	39421,15	-0,100000001	3,13236642	-0,00027773727666255498	-0,099985419412282432	0,000313190976	-0,00083183757318599795	3,1036978273081664E-005	0,00083183757318599795
1	0	0	1	0	0	1	39431,15	-0,100000001	2,82564497	-0,00027773771485976048	-0,099985577163276122	0,000282523746	-0,0011095752880457584	4,139974583682848E-005	0,0011095752880457584
1	0	0	1	0	0	1	39441,15	-0,100000001	2,51661301	-0,00027773771807261642	-0,099985578319904243	0,000251624995	-0,0013873130061183749	5,1762513520451283E-005	0,0013873130061183749
1	0	0	1	0	0	1	39451,15	-0,100000001	2,24771833	-0,00027773783558524317	-0,099985620624449805	0,000224739517	-0,0016650508417036182	6,2125285588628186E-005	0,0016650508417036182
1	0	0	1	0	0	1	39461,15	-0,100000001	2,02808881	-0,00027773794504793152	-0,099985660031017536	0,000202779804	-0,0019427887867515498	7,2488061741005171E-005	0,0019427887867515498
1	0	0	1	0	0	1	39471,15	-0,100000001	1,84439576	-0,00027773790503583021	-0,099985645626661094	0,000184413104	-0,0022205266917873798	8,2850836400476851E-005	0,0022205266917873798
1	0	0	1	0	0	1	39481,15	-0,100000001	1,69684207	-0,00027773766466064582	-0,099985559091594867	0,000169659703	-0,0024982643564480256	9,3213602091227213E-005	0,0024982643564480256
1	0	0	1	0	0	1	39491,15	-0,100000001	1,5851177	-0,00027773712734878061	-0,099985365659323763	0,000158488576	-0,0027760014837968061	0,00010357634773414946	0,0027760014837968061
1	0	0	1	0	0	1	39501,15	-0,100000001	1,51662433	-0,000277737479534828	-0,099985492446300595	0,00015164043	-0,0030537389633316346	0,00011393910651760666	0,0030537389633316346
1	0	0	1	0	0	1	39511,15	-0,100000001	1,48313189	-0,00027773785194464858	-0,09998562651383575	0,000148291874	-0,0033314768152762829	0,00012430187919617499	0,0033314768152762829
1	0	0	1	0	0	1	39521,15	-0,100000001	1,4626621	-0,00027773791332377328	-0,099985648610320602	0,00014624522	-0,0036092147286000563	0,00013466465416488096	0,0036092147286000563
1	0	0	1	0	0	1	39531,15	-0,100000001	1,44719529	-0,00027773828134313226	-0,099985781097289574	0,000144698948	-0,0038869530099431891	0,00014502744286488403	0,0038869530099431891
1	0	0	1	0	0	1	39541,15	-0,100000001	1,43468809	-0,0002777383348647919	-0,099985800365087014	0,000143448444	-0,0041646913448079808	0,00015539023356185219	0,0041646913448079808
1	0	0	1	0	0	1	39551,15	-0,100000001	1,42328846	-0,00027773820142779088	-0,099985752327766733	0,000142308563	-0,0044424295462357715	0,0001657530192801064	0,0044424295462357715
1	0	0	1	0	0	1	39561,15	-0,100000001	1,41316807	-0,00027773821466209158	-0,099985757092114995	0,000141296681	-0,004720167760897863	0,00017611580549215021	0,004720167760897863
1	0	0	1	0	0	1	39571,15	-0,100000001	1,4037925	-0,00027773797691158122	-0,099985671501931418	0,00014035913	-0,0049979057378094438	0,00018647858283340278	0,0049979057378094438
1	0	0	1	0	0	1	39581,15	-0,100000001	1,39476061	-0,00027773783571935366	-0,099985620672729587	0,000139456009	-0,0052756435735287974	0,00019684135490658352	0,0052756435735287974
1	0	0	1	0	0	1	39591,15	-0,100000001	1,38628244	-0,00027773774287601312	-0,099985587249127053	0,000138608259	-0,0055533813164048109	0,0002072041235156544	0,0055533813164048109
1	0	0	1	0	0	1	39601,15	-0,100000001	1,37795711	-0,00027773821134823891	-0,099985755899128013	0,000137776078	-0,0058311195277530496	0,00021756690960405389	0,0058311195277530496
1	0	0	1	0	0	1	39611,15	-0,100000001	1,36995637	-0,00027773843391943309	-0,099985836024757773	0,000136976232	-0,0061088579616724826	0,00022792970399688387	0,0061088579616724826
1	0	0	1	0	0	1	39621,15	-0,100000001	1,36199379	-0,00027773846662003133	-0,09998584779697312	0,000136180097	-0,0063865964282925133	0,00023829249960981718	0,0063865964282925133
1	0	0	1	0	0	1	39631,15	-0,100000001	1,35420299	-0,00027773829187204442	-0,099985784887697946	0,000135401046	-0,0066643347201645581	0,00024865528870266813	0,0066643347201645581
1	0	0	1	0	0	1	39641,15	-0,100000001	1,34656513	-0,00027773827677965165	-0,099985779454436557	0,000134637361	-0,0069420729969442099	0,0002590180772324016	0,0069420729969442099
1	0	0	1	0	0	1	39651,15	-0,100000001	1,33915627	-0,00027773806621424029	-0,099985703650888614	0,000133896479	-0,0072198110631584499	0,00026938085790565645	0,0072198110631584499
1	0	0	1	0	0	1	39661,15	-0,100000001	1,331671	-0,00027773817317022218	-0,099985742155042022	0,000133148118	-0,0074975492363286733	0,00027974364256958282	0,0074975492363286733
1	0	0	1	0	0	1	39671,15	-0,100000001	1,32475865	-0,00027773793259594179	-0,099985655548301248	0,000132456858	-0,0077752871689246144	0,0002901064182573593	0,0077752871689246144
1	0	0	1	0	0	1	39681,15	-0,100000001	1,31998491	-0,00027773808343915475	-0,099985709851857818	0,000131979628	-0,0080530252523637683	0,00030046919957329888	0,0080530252523637683
1	0	0	1	0	0	1	39691,15	-0,100000001	1,3174262	-0,00027773788987596829	-0,09998564016911081	0,000131723704	-0,0083307631422397376	0,00031083197366713568	0,0083307631422397376
1	0	0	1	0	0	1	39701,15	-0,100000001	1,315364	-0,00027773827120413382	-0,099985777447250163	0,000131517692	-0,0086085014134438707	0,0003211947619888391	0,0086085014134438707
1	0	0	1	0	0	1	39711,15	-0,100000001	1,31303442	-0,00027773814837055075	-0,09998573322716032	0,000131284702	-0,0088862395618144218	0,00033155754572745638	0,0088862395618144218
1	0	0	1	0	0	1	39721,15	-0,100000001	1,31030381	-0,00027773822835170557	-0,099985762020376013	0,000131011722	-0,0091639777901661274	0,00034192033245027808	0,0091639777901661274
1	0	0	1	0	0	1	39731,15	-0,100000001	1,30709589	-0,00027773825833242803	-0,09998577281343607	0,000130690998	-0,0094417160484985549	0,0003522831202917209	0,0094417160484985549
1	0	0	1	0	0	1	39741,15	-0,100000001	1,30333424	-0,00027773835675045846	-0,099985808243926976	0,000130314933	-0,0097194544052490138	0,00036264591180527264	0,0097194544052490138
1	0	0	1	0	0	1	39751,15	-0,100000001	1,29884696	-0,00027773844660197696	-0,099985840590473549	0,000129866312	-0,0099971928518509914	0,00037300870667130541	0,0099971928518509914
1	0	0	1	0	0	1	39761,15	-0,100000001	1,2939204	-0,00027773821268106502	-0,099985756378945421	0,000129373613	-0,010274931064532056	0,00038337149280943443	0,010274931064532056
1	0	0	1	0	0	1	39771,15	-0,100000001	1,28830647	-0,00027773835104786685	-0,099985806190993997	0,00012881236	-0,010552669415579923	0,00039373428411021491	0,010552669415579923
1	0	0	1	0	0	1	39781,15	-0,100000001	1,2825017	-0,00027773776099582512	-0,099985593772259366	0,000128231695	-0,010830407176575749	0,00040409705339536038	0,010830407176575749
1	0	0	1	0	0	1	39791,15	-0,100000001	1,27633405	-0,0002777380361105833	-0,099985692813572122	0,000127615145	-0,011108145212686333	0,0004144598329454073	0,011108145212686333
1	0	0	1	0	0	1	39801,15	-0,100000001	1,26993728	-0,00027773761779732179	-0,099985542220798246	0,00012697537	-0,011385882830483654	0,00042482259688762406	0,011385882830483654
1	0	0	1	0	0	1	39811,15	-0,100000001	1,2634449	-0,00027773792545952733	-0,099985652979192051	0,000126326369	-0,011663620755943181	0,00043518537230913133	0,011663620755943181
1	0	0	1	0	0	1	39821,15	-0,100000001	1,25695264	-0,00027773759336190093	-0,099985533424046758	0,000125677077	-0,011941358349305083	0,00044554813533962963	0,011941358349305083
1	0	0	1	0	0	1	39831,15	-0,100000001	1,25028861	-0,00027773766909705267	-0,09998556068870135	0,000125010803	-0,012219096018402134	0,00045591090119590829	0,012219096018402134
1	0	0	1	0	0	1	39841,15	-0,100000001	1,24360538	-0,00027773750653655994	-0,09998550216692407	0,000124342507	-0,012496833524938693	0,00046627366098683642	0,012496833524938693
1	0	0	1	0	0	1	39851,15	-0,100000001	1,23690307	-0,0002777378679191073	-0,099985632264640883	0,000123672537	-0,0127745713928578	0,00047663643426143322	0,0127745713928578
1	0	0	1	0	0	1	39861,15	-0,100000001	1,2301625	-0,00027773824982179533	-0,09998576974960832	0,000122998739	-0,013052309642679595	0,0004869992217853328	0,013052309642679595
1	0	0	1	0	0	1	39871,15	-0,100000001	1,223212	-0,00027773813311507302	-0,099985727735188365	0,00012230374	-0,013330047775794667	0,00049736200495474765	0,013330047775794667
1	0	0	1	0	0	1	39881,15	-0,100000001	1,21629965	-0,00027773814001182714	-0,099985730218019827	0,000121612611	-0,013607785915806494	0,00050772478838148973	0,013607785915806494
1	0	0	1	0	0	1	39891,15	-0,100000001	1,2093873	-0,00027773819869549738	-0,099985751344141069	0,000120921497	-0,01388552411450199	0,0005180875739977984	0,01388552411450199
1	0	0	1	0	0	1	39901,15	-0,100000001	1,20245576	-0,00027773804563449491	-0,099985696242180301	0,000120228375	-0,014163262160136486	0,00052845035390319533	0,014163262160136486
1	0	0	1	0	0	1	39911,15	-0,100000001	1,1953907	-0,00027773806319385766	-0,099985702563550886	0,000119521981	-0,014441000223330346	0,00053881313446375565	0,014441000223330346
1	0	0	1	0	0	1	39921,15	-0,100000001	1,18819189	-0,00027773764137633974	-0,09998555070924471	0,000118802018	-0,014718737864706682	0,00054917589928573722	0,014718737864706682
1	0	0	1	0	0	1	39931,15	-0,100000001	1,18084037	-0,00027773733828134006	-0,099985441595045018	0,000118066848	-0,014996475202988026	0,00055953865279883686	0,014996475202988026
1	0	0	1	0	0	1	39941,15	-0,100000001	1,17341244	-0,00027773764830744931	-0,099985553204444147	0,000117324293	-0,015274212851295472	0,00056990141787942752	0,015274212851295472
1	0	0	1	0	0	1	39951,15	-0,100000001	1,16581273	-0,00027773736933163472	-0,099985452773151078	0,000116564312	-0,015551950220627107	0,00058026417255105536	0,015551950220627107
1	0	0	1	0	0	1	39961,15	-0,100000001	1,15811741	-0,00027773778649129798	-0,099985602950629581	0,000115795068	-0,01582968800711841	0,00059062694278747123	0,01582968800711841
1	0	0	1	0	0	1	39971,15	-0,100000001	1,15026939	-0,00027773764414795568	-0,099985551707026445	0,00011501032	-0,016107425651266365	0,00060098970771286566	0,016107425651266365
1	0	0	1	0	0	1	39981,15	-0,100000001	1,14228773	-0,00027773793739618528	-0,099985657276388902	0,000114212387	-0,01638516358866255	0,00061135248357974554	0,01638516358866255
1	0	0	1	0	0	1	39991,15	-0,100000001	1,13403881	-0,00027773797270614237	-0,099985669987973427	0,000113387629	-0,016662901561368691	0,00062171526076408768	0,016662901561368691
1	0	0	1	0	0	1	40001,15	-0,100000001	1,12565613	-0,00027773794376850131	-0,099985659570422669	0,000112549467	-0,016940639505137194	0,00063207803686872742	0,016940639505137194
1	0	0	1	0	0	1	40011,15	-0,100000001	1,11717796	-0,00027773765626880858	-0,099985556070533491	0,000111701658	-0,017218377161406003	0,00064244080224636698	0,017218377161406003
1	0	0	1	0	0	1	40021,15	-0,100000001	1,10829878	-0,00027773785601680477	-0,099985627979811955	0,000110813948	-0,01749611501742281	0,00065280357507687309	0,01749611501742281
1	0	0	1	0	0	1	40031,15	-0,100000001	1,09924781	-0,00027773809094147546	-0,099985712552693261	0,000109909073	-0,017773853108364285	0,00066316635667273434	0,017773853108364285
1	0	0	1	0	0	1	40041,15	-0,100000001	1,08989131	-0,00027773833377866285	-0,09998579997408055	0,000108973654	-0,01805159144214295	0,0006735291473291776	0,01805159144214295
