EC-Lab ASCII FILE
Nb header lines : 48                          

Open Circuit Voltage

Run on channel : 1 (SN 6985)
Grouped channel(s) : 1
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Ewe ctrl range : min = 0,00 V, max = 5,00 V
Acquisition started on : 04.29.2015 11:07:38
Saved on :
	File : LLTO_LP30_Li_07_OCV_C01.mpr
	Directory : C:\Hupfer\Studenten Batterietests\LLTO_LP30_Li CV\
	Host : 192.168.0.2
Device : VMP3 (SN 0324)
Address : 192.168.0.1
EC-Lab for windows v10.33 (software)
Internet server v10.33 (firmware)
Command interpretor v10.32 (firmware)
Electrode material : LATP vs Li
Initial state : charged
Electrolyte : DME:Diox 1:2, 1M LiTFSi
Comments : LATP als Elektrode, normaler Seperator und Elektrolyt, Goldschicht teilweise vorhanden, elektrolytschonend, Probe2
Mass of active material : 0,001 mg
 at x = 0,000
Molecular weight of active material (at x = 0) : 0,001 g/mol
Atomic weight of intercalated ion : 0,001 g/mol
Acquisition started at : xo = 0,000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26,801 mA.h
Battery capacity : 0,000 A.h
Reference electrode : Li+/Li (-3,020 V)
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
Create one data file per loop
tR (h:m:s)          3:00:0,0000         
dER/dt (mV/h)       0,0                 
dER (mV)            0,00                
dtR (s)             60,0000             
E range min (V)     0,000               
E range max (V)     5,000               

Number of loops : 1
Loop 0 from point number 0 to 180

mode	error	time/s	Ewe/V
3	0	45402,1418	4,18850565
3	0	45462,1418	3,82081413
3	0	45522,1418	3,66351032
3	0	45582,1418	3,55274081
3	0	45642,1418	3,46715736
3	0	45702,1418	3,39778566
3	0	45762,1418	3,33939338
3	0	45822,1418	3,28936458
3	0	45882,1418	3,24519825
3	0	45942,1418	3,20551896
3	0	46002,1418	3,16950583
3	0	46062,1418	3,13677716
3	0	46122,1418	3,10668373
3	0	46182,1418	3,07924438
3	0	46242,1418	3,05373359
3	0	46302,1418	3,03020859
3	0	46362,1418	3,00845957
3	0	46422,1418	2,98816156
3	0	46482,1418	2,96939135
3	0	46542,1418	2,95191956
3	0	46602,1418	2,93528771
3	0	46662,1418	2,91972542
3	0	46722,1418	2,90517521
3	0	46782,1418	2,89144588
3	0	46842,1418	2,87830853
3	0	46902,1418	2,86576319
3	0	46962,1418	2,85405803
3	0	47022,1418	2,84281111
3	0	47082,1418	2,83207989
3	0	47142,1418	2,8218832
3	0	47202,1418	2,8121829
3	0	47262,1418	2,80267358
3	0	47322,1418	2,79375648
3	0	47382,1418	2,78514457
3	0	47442,1418	2,7770102
3	0	47502,1418	2,76910496
3	0	47562,1418	2,76139045
3	0	47622,1418	2,75409627
3	0	47682,1418	2,74701214
3	0	47742,1418	2,74013782
3	0	47802,1418	2,73372197
3	0	47862,1418	2,72724891
3	0	47922,1418	2,72106218
3	0	47982,1418	2,71512365
3	0	48042,1418	2,70941424
3	0	48102,1418	2,70381927
3	0	48162,1418	2,69833922
3	0	48222,1418	2,69308805
3	0	48282,1418	2,68800879
3	0	48342,1418	2,68296766
3	0	48402,1418	2,67819405
3	0	48462,1418	2,67349672
3	0	48522,1418	2,66887569
3	0	48582,1418	2,66454124
3	0	48642,1418	2,66018748
3	0	48702,1418	2,65608215
3	0	48762,1418	2,65188122
3	0	48822,1418	2,64783311
3	0	48882,1418	2,64405227
3	0	48942,1418	2,6402142
3	0	49002,1418	2,63641429
3	0	49062,1418	2,6327672
3	0	49122,1418	2,62923455
3	0	49182,1418	2,62562561
3	0	49242,1418	2,62232232
3	0	49302,1418	2,61896157
3	0	49362,1418	2,61575365
3	0	49422,1418	2,61237383
3	0	49482,1418	2,60931873
3	0	49542,1418	2,60630178
3	0	49602,1418	2,60326552
3	0	49662,1418	2,60028672
3	0	49722,1418	2,59734607
3	0	49782,1418	2,59440565
3	0	49842,1418	2,59157944
3	0	49902,1418	2,58890629
3	0	49962,1418	2,58615661
