EC-Lab ASCII FILE
Nb header lines : 71                          

Galvanostatic Cycling with Potential Limitation

Run on channel : 1 (SN 6985)
Grouped channel(s) : 1
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Ewe ctrl range : min = 0,00 V, max = 5,00 V
Acquisition started on : 04.22.2015 16:16:38
Saved on :
	File : LLTO_LP30_Li_01_GCPL_C01.mpr
	Directory : C:\Hupfer\Studenten Batterietests\LLTO_LP30_Li\
	Host : 192.168.0.2
Device : VMP3 (SN 0324)
Address : 192.168.0.1
EC-Lab for windows v10.33 (software)
Internet server v10.33 (firmware)
Command interpretor v10.32 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Mass of active material : 0,001 mg
 at x = 0,000
Molecular weight of active material (at x = 0) : 0,001 g/mol
Atomic weight of intercalated ion : 0,001 g/mol
Acquisition started at : xo = 0,000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26,801 mA.h
Battery capacity : 0,000 A.h
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
Ns                  0                   1                   
Set I/C             I                   I                   
Is                  0,000               5,000               
unit Is             mA                  µA                  
vs.                 <None>              <None>              
N                   1                   1                   
I sign              > 0                 > 0                 
t1 (h:m:s)          0:00:0,0000         5:00:0,0000         
I Range             100 µA              100 µA              
Bandwidth           5                   5                   
dE1 (mV)            0,00                10,00               
dt1 (s)             0,0000              10,0000             
EM (V)              0,000               3,800               
tM (h:m:s)          0:00:0,0000         0:00:0,0000         
Im                  0,000               0,000               
unit Im             mA                  mA                  
E range min (V)     0,000               0,000               
E range max (V)     5,000               5,000               
dq                  0,000               1,000               
unit dq             mA.h                mA.h                
dtq (s)             0,0000              120,0000            
dQM                 0,000               0,000               
unit dQM            mA.h                mA.h                
dxM                 0,000               0,000               
tR (h:m:s)          0:00:0,0000         0:00:0,0000         
dER/dt (mV/h)       0,0                 0,1                 
dER (mV)            0,00                5,00                
dtR (s)             1,0000              1,0000              
EL (V)              pass                3,500               
goto Ns'            0                   0                   
nc cycles           0                   0                   

Number of loops : 1
Loop 0 from point number 0 to 86

mode	ox/red	error	control changes	Ns changes	counter inc.	Ns	time/s	control/V/mA	Ewe/V	dq/mA.h	<I>/mA	P/W	(Q-Qo)/mA.h	x	Capacity/mA.h
1	1	0	1	1	0	1	0,0004	0,00500000035	2,9948566	0	0	0	0	0	0
1	1	0	1	0	0	1	4,6340	0,00500000035	3,00486231	6,385072120729143E-006	0,0049607778434277216	1,49064545E-005	6,385072120729143E-006	-2,3823562564517446E-007	6,385072120729143E-006
1	1	0	1	0	0	1	9,8350	0,00500000035	3,01486802	7,244137130005079E-006	0,005014207715213721	1,51171744E-005	1,3629209250734221E-005	-5,085241218116233E-007	1,3629209250734221E-005
1	1	0	1	0	0	1	15,0156	0,00500000035	3,02487373	7,2152998944899686E-006	0,0050139134996621261	1,51664553E-005	2,0844509145224189E-005	-7,7773666194892787E-007	2,0844509145224189E-005
1	1	0	1	0	0	1	20,2208	0,00500000035	3,03487945	7,2494836400987379E-006	0,0050138595565300032	1,52164594E-005	2,8093992785322928E-005	-1,0482246435954307E-006	2,8093992785322928E-005
1	1	0	1	0	0	1	25,5428	0,00500000035	3,04488516	7,412201088490999E-006	0,0050138903781774208	1,52667199E-005	3,5506193873813933E-005	-1,3247838320173846E-006	3,5506193873813933E-005
1	1	0	1	0	0	1	30,8466	0,00500000035	3,05489087	7,3869807314282906E-006	0,0050139770174103187	1,53171532E-005	4,2893174605242221E-005	-1,6004020150081984E-006	4,2893174605242221E-005
1	1	0	1	0	0	1	36,1634	0,00500000035	3,06489658	7,4048728582759693E-006	0,0050138321853783603	1,53668771E-005	5,0298047463518195E-005	-1,8766877773079194E-006	5,0298047463518195E-005
1	1	0	1	0	0	1	41,4988	0,00500000035	3,07490253	7,430695250475159E-006	0,0050137765823528	1,54168738E-005	5,7728742713993357E-005	-2,1539370077791677E-006	5,7728742713993357E-005
1	1	0	1	0	0	1	47,0956	0,00500000035	3,08492732	7,7946101590577088E-006	0,005013685906496224	1,5466856E-005	6,5523352873051072E-005	-2,4447643927784294E-006	6,5523352873051072E-005
1	1	0	1	0	0	1	52,5472	0,00500000035	3,09499025	7,5926424920196749E-006	0,005013851651216793	1,55178222E-005	7,3115995365070746E-005	-2,7280560925720858E-006	7,3115995365070746E-005
1	1	0	1	0	0	1	58,0902	0,00500000035	3,10499597	7,7203209399142208E-006	0,0050140999613576352	1,55687594E-005	8,0836316304984973E-005	-3,0161116469221862E-006	8,0836316304984973E-005
1	1	0	1	0	0	1	63,6548	0,00500000035	3,11500168	7,7503128952036301E-006	0,0050140400258014643	1,56187434E-005	8,8586629200188595E-005	-3,3052862414487475E-006	8,8586629200188595E-005
1	1	0	1	0	0	1	69,2938	0,00500000035	3,12500739	7,8539146839692774E-006	0,0050140261706957043	1,56688693E-005	9,6440543884157875E-005	-3,5983263580082419E-006	9,6440543884157875E-005
1	1	0	1	0	0	1	75,0284	0,00500000035	3,1350131	7,9869624066373542E-006	0,0050139618090639283	1,57188351E-005	0,00010442750629079523	-3,896330663985047E-006	0,00010442750629079523
1	1	0	1	0	0	1	80,9454	0,00500000035	3,14503813	8,2411200901131238E-006	0,0050140329683766784	1,57693248E-005	0,00011266862638090835	-4,2038179348509734E-006	0,00011266862638090835
1	1	0	1	0	0	1	86,7752	0,00500000035	3,15510106	8,1196298615800013E-006	0,0050140087550373594	1,58197035E-005	0,00012078825624248835	-4,5067722419449798E-006	0,00012078825624248835
