EC-Lab ASCII FILE
Nb header lines : 46                          

Open Circuit Voltage

Run on channel : 1 (SN 6985)
Grouped channel(s) : 1
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Ewe ctrl range : min = 0,00 V, max = 5,00 V
Acquisition started on : 04.22.2015 16:16:38
Saved on :
	File : LLTO_LP30_Li_06_OCV_C01.mpr
	Directory : C:\Hupfer\Studenten Batterietests\LLTO_LP30_Li\
	Host : 192.168.0.2
Device : VMP3 (SN 0324)
Address : 192.168.0.1
EC-Lab for windows v10.33 (software)
Internet server v10.33 (firmware)
Command interpretor v10.32 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Mass of active material : 0,001 mg
 at x = 0,000
Molecular weight of active material (at x = 0) : 0,001 g/mol
Atomic weight of intercalated ion : 0,001 g/mol
Acquisition started at : xo = 0,000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26,801 mA.h
Battery capacity : 0,000 A.h
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
tR (h:m:s)          0:15:0,0000         
dER/dt (mV/h)       1,0                 
dER (mV)            1,00                
dtR (s)             0,5000              
E range min (V)     0,000               
E range max (V)     5,000               

Number of loops : 1
Loop 0 from point number 0 to 1843

mode	error	time/s	Ewe/V
3	0	456603,5995	3,24233389
3	0	456603,7687	3,24130273
3	0	456603,9651	3,24029088
3	0	456604,1685	3,23927879
3	0	456604,3471	3,23824763
3	0	456604,5571	3,23721647
3	0	456604,7565	3,23620439
3	0	456604,9543	3,23515415
3	0	456605,1831	3,2341423
3	0	456605,3997	3,23309207
3	0	456605,6137	3,23200369
3	0	456605,8331	3,2309916
3	0	456606,0637	3,22996044
3	0	456606,2805	3,22894835
3	0	456606,5033	3,22791719
3	0	456606,7245	3,22690535
3	0	456606,9435	3,22587419
3	0	456607,1733	3,2248621
3	0	456607,4003	3,22381186
3	0	456607,6321	3,22279978
3	0	456607,8645	3,22173047
3	0	456608,1233	3,22066116
3	0	456608,3599	3,21964908
3	0	456608,5965	3,21863723
3	0	456608,8245	3,21758699
3	0	456609,0831	3,21651769
3	0	456609,3143	3,2155056
3	0	456609,5629	3,21449351
3	0	456609,8177	3,21348143
3	0	456610,0569	3,2124505
3	0	456610,3139	3,2113812
3	0	456610,5861	3,21031165
3	0	456610,8371	3,2092998
3	0	456611,0917	3,20826864
3	0	456611,3605	3,20723748
3	0	456611,6233	3,2062254
3	0	456611,8957	3,20515609
3	0	456612,1673	3,204144
3	0	456612,4319	3,20313215
3	0	456612,6835	3,20210099
3	0	456612,9659	3,20106983
3	0	456613,2423	3,20005774
3	0	456613,5163	3,19904566
3	0	456613,7865	3,19803381
3	0	456614,0707	3,19700265
3	0	456614,3273	3,19599056
3	0	456614,6237	3,19492126
3	0	456614,9247	3,19387102
3	0	456615,2075	3,19283986
3	0	456615,4961	3,1918087
3	0	456615,8043	3,19079685
3	0	456616,0971	3,18978477
3	0	456616,3827	3,18877268
3	0	456616,6725	3,18774152
3	0	456616,9823	3,18672967
3	0	456617,2793	3,18567944
3	0	456617,5935	3,18464828
3	0	456617,9041	3,18363619
3	0	456618,1875	3,1826241
3	0	456618,5161	3,18161201
3	0	456618,8269	3,18056202
3	0	456619,1273	3,17954993
3	0	456619,4651	3,17851877
3	0	456619,7737	3,17750669
3	0	456620,0997	3,17647552
3	0	456620,4167	3,17546368
3	0	456620,7619	3,17439413
3	0	456621,1021	3,17338228
3	0	456621,4385	3,1723702
3	0	456621,7613	3,17135811
3	0	456622,0889	3,17034602
3	0	456622,4359	3,1693151
3	0	456622,7925	3,16828394
3	0	456623,1317	3,16727185
