EC-Lab ASCII FILE
Nb header lines : 3                           
mode	ox/red	error	control changes	Ns changes	counter inc.	Ns	time/s	control/V/mA	Ewe/V	dq/mA.h	<I>/mA	P/W	(Q-Qo)/mA.h	x	Capacity/mA.h
1	0	0	1	1	0	1	92115,51	-0,300000012	4,17789936	0	0	0	0	0	0
1	0	0	1	0	0	1	92125,51	-0,300000012	4,07410192	-0,00082878002272239411	-0,29835491154802637	0,00121552835	-0,00082878002272239411	3,0922896954364275E-005	0,00082878002272239411
1	0	0	1	0	0	1	92135,51	-0,300000012	4,0629611	-0,00083289894531170534	-0,29983769504490534	0,00121822883	-0,0016616789680340992	6,199947644848608E-005	0,0016616789680340992
1	0	0	1	0	0	1	92145,51	-0,300000012	4,05355597	-0,00083289706378181773	-0,29983701770753114	0,00121540611	-0,0024945760318159171	9,3075985740198029E-005	0,0024945760318159171
1	0	0	1	0	0	1	92155,51	-0,300000012	4,04598236	-0,00083289364351332186	-0,29983578555909427	0,00121313031	-0,003327469675329239	0,00012415236741709381	0,003327469675329239
1	0	0	1	0	0	1	92165,51	-0,300000012	4,03961086	-0,00083290371850132941	-0,29983941224573722	0,0012112346	-0,004160373393830569	0,00015522912500533811	0,004160373393830569
1	0	0	1	0	0	1	92175,51	-0,300000012	4,03390694	-0,0008328968095580736	-0,29983692521494451	0,00120951422	-0,0049932702033886432	0,00018630562481162038	0,0049932702033886432
1	0	0	1	0	0	1	92185,51	-0,300000012	4,02818346	-0,00083289873712923802	-0,29983762010418867	0,00120780093	-0,0058261689405178816	0,00021738219653817443	0,0058261689405178816
1	0	0	1	0	0	1	92195,51	-0,300000012	4,02276564	-0,00083289558932350746	-0,29983648692350022	0,00120617193	-0,0066590645298413888	0,00024845865081586442	0,0066590645298413888
1	0	0	1	0	0	1	92205,51	-0,300000012	4,01755762	-0,00083289928858975578	-0,29983781806757152	0,00120461569	-0,007491963818431145	0,00027953524311815184	0,007491963818431145
1	0	0	1	0	0	1	92215,51	-0,300000012	4,01273108	-0,00083289809361596902	-0,29983738732703059	0,00120316679	-0,0083248619120471142	0,00031061179083436058	0,0083248619120471142
1	0	0	1	0	0	1	92225,51	-0,300000012	4,00809574	-0,00083289014500213978	-0,29983452588260941	0,0012017655	-0,0091577520570492544	0,00034168804197710035	0,0091577520570492544
1	0	0	1	0	0	1	92235,51	-0,300000012	4,0041275	-0,00083289223102397389	-0,2998352777710736	0,00120057864	-0,0099906442880732288	0,00037276437095211949	0,0099906442880732288
1	0	0	1	0	0	1	92245,51	-0,300000012	3,99985433	-0,00083291337514254784	-0,29984288967786394	0,00119932787	-0,010823557663215778	0,00040384148884263117	0,010823557663215778
1	0	0	1	0	0	1	92255,51	-0,300000012	3,99588633	-0,00083290950451625728	-0,29984149604955904	0,00119813252	-0,011656467167732035	0,00043491846231487174	0,011656467167732035
1	0	0	1	0	0	1	92265,51	-0,300000012	3,99174643	-0,00083291562764677734	-0,29984369945336051	0,00119690003	-0,012489382795378811	0,0004659956642493447	0,012489382795378811
1	0	0	1	0	0	1	92275,51	-0,300000012	3,98838902	-0,00083290626174873779	-0,2998403277967081	0,00119587989	-0,013322289057127549	0,00049707251672956928	0,013322289057127549
1	0	0	1	0	0	1	92285,51	-0,300000012	3,985394	-0,00083290711539818176	-0,29984063571876813	0,00119498302	-0,01415519617252573	0,00052814940106060224	0,01415519617252573
1	0	0	1	0	0	1	92295,51	-0,300000012	3,98133039	-0,00083290797779460762	-0,29984094667798336	0,0011937659	-0,014988104150320339	0,00055922631756880544	0,014988104150320339
1	0	0	1	0	0	1	92305,51	-0,300000012	3,97827816	-0,00083290580112073165	-0,29984016309087296	0,00119284762	-0,015821009951441069	0,00059030315286237978	0,015821009951441069
1	0	0	1	0	0	1	92315,51	-0,300000012	3,97587442	-0,0008329087273710304	-0,29984121547300045	0,00119213096	-0,016653918678812099	0,0006213800973382871	0,016653918678812099
1	0	0	1	0	0	1	92325,51	-0,300000012	3,9729557	-0,00083290632840659891	-0,29984035179306381	0,00119125249	-0,017486825007218698	0,00065245695230560602	0,017486825007218698
1	0	0	1	0	0	1	92335,51	-0,300000012	3,96978903	-0,00083290306453903514	-0,299839177117168	0,00119029824	-0,018319728071757734	0,00068353368549363789	0,018319728071757734
1	0	0	1	0	0	1	92345,51	-0,300000012	3,96698475	-0,00083290171642435917	-0,29983869262574701	0,00118945551	-0,019152629788182093	0,00071461036838169869	0,019152629788182093
1	0	0	1	0	0	1	92355,51	-0,300000012	3,9644475	-0,00083290287298129664	-0,29983910897801677	0,00118869636	-0,019985532661163392	0,00074568709442245376	0,019985532661163392
1	0	0	1	0	0	1	92365,51	-0,300000012	3,96175766	-0,00083290657409528896	-0,29984044062669318	0,00118789519	-0,020818439235258682	0,00077676395855674816	0,020818439235258682
1	0	0	1	0	0	1	92375,51	-0,300000012	3,95916319	-0,00083290280502372314	-0,29983908339680813	0,00118711183	-0,021651342040282406	0,00080784068206191488	0,021651342040282406
1	0	0	1	0	0	1	92385,51	-0,300000012	3,95702648	-0,00083290464799768397	-0,29983974685432058	0,00118647376	-0,022484246688280093	0,00083891747433091789	0,022484246688280093
1	0	0	1	0	0	1	92395,51	-0,300000012	3,95506144	-0,00083289828706118797	-0,29983745806544	0,00118587562	-0,02331714497534128	0,0008699940292648279	0,02331714497534128
1	0	0	1	0	0	1	92405,52	-0,300000012	3,95290589	-0,00083290200537443149	-0,2998387966457175	0,00118523452	-0,024150046980715712	0,00090107072293400422	0,024150046980715712
1	0	0	1	0	0	1	92415,52	-0,300000012	3,95080733	-0,0008329021616478761	-0,29983885249814605	0,00118460553	-0,024982949142363587	0,00093214742243395302	0,024982949142363587
1	0	0	1	0	0	1	92425,52	-0,300000012	3,94884253	-0,00083290252339674368	-0,29983898201353574	0,00118401693	-0,02581585166576033	0,00096322413543123827	0,02581585166576033
1	0	0	1	0	0	1	92435,52	-0,300000012	3,94687748	-0,00083290390361679936	-0,29983947888293498	0,00118342973	-0,02664875556937713	0,00099430089992638976	0,02664875556937713
1	0	0	1	0	0	1	92445,52	-0,300000012	3,94523692	-0,00083290794510808256	-0,29984093457292096	0,00118294358	-0,027481663514485213	0,0010253778152150147	0,027481663514485213
1	0	0	1	0	0	1	92455,52	-0,300000012	3,94165039	-0,00083290843468738931	-0,29984111115308026	0,00118186884	-0,028314571949172602	0,0010564547487705019	0,028314571949172602
1	0	0	1	0	0	1	92465,52	-0,300000012	3,93932295	-0,00083290583963857754	-0,29984017686976019	0,00118116732	-0,029147477788811181	0,001087531585501229	0,029147477788811181
1	0	0	1	0	0	1	92475,52	-0,300000012	3,9376061	-0,00083290165220366592	-0,29983866838979027	0,00118064659	-0,029980379441014848	0,0011186082659931291	0,029980379441014848
1	0	0	1	0	0	1	92485,52	-0,300000012	3,93623257	-0,00083290436327954138	-0,29983964435956038	0,00118023856	-0,030813283804294387	0,0011496850476389155	0,030813283804294387
1	0	0	1	0	0	1	92495,52	-0,300000012	3,93426776	-0,00083290829134649702	-0,29984105890868301	0,00117965497	-0,03164619209564089	0,0011807619758461611	0,03164619209564089
1	0	0	1	0	0	1	92505,52	-0,300000012	3,93260789	-0,00083290054150422413	-0,29983826966285683	0,00117914635	-0,032479092637145107	0,001211838614896372	0,032479092637145107
1	0	0	1	0	0	1	92515,52	-0,300000012	3,92991805	-0,00083290022257963814	-0,29983815485227469	0,00117833936	-0,033311992859724749	0,0012429152420470776	0,033311992859724749
1	0	0	1	0	0	1	92525,52	-0,300000012	3,92751431	-0,00083290084362526733	-0,29983837754467475	0,00117761956	-0,03414489370335001	0,0012739918923698307	0,03414489370335001
