EC-Lab ASCII FILE
Nb header lines : 3                           
mode	error	time/s	Ewe/V
3	0	109850,71	4,18020773
3	0	109910,71	4,09651709
3	0	109970,71	4,08291531
3	0	110030,71	4,0769062
3	0	110090,71	4,07038164
3	0	110150,71	4,06320906
3	0	110210,71	4,05830622
3	0	110270,71	4,05330801
3	0	110330,72	4,04817629
3	0	110390,72	4,04653549
3	0	110450,72	4,04384565
3	0	110510,72	4,03932476
3	0	110570,72	4,03583336
3	0	110630,72	4,03425026
3	0	110690,72	4,03375387
3	0	110750,72	4,03335333
3	0	110810,72	4,04067898
3	0	110870,72	4,02778292
3	0	110930,72	4,02482605
3	0	110990,72	4,0229373
3	0	111050,72	4,02104902
3	0	111110,72	4,01839733
3	0	111170,72	4,0162034
3	0	111230,72	4,01524925
3	0	111290,72	4,01391411
3	0	111350,72	4,0114913
3	0	111410,72	4,00925922
3	0	111470,72	4,00761843
3	0	111530,72	4,00565386
3	0	111590,72	4,00567293
3	0	111650,72	4,00685549
3	0	111710,72	4,00527239
3	0	111770,72	4,00513887
3	0	111830,72	4,01091909
3	0	111890,72	4,00479507
3	0	111950,72	4,00073195
3	0	112010,72	4,00075102
3	0	112070,72	3,99890041
3	0	112130,72	3,99844265
3	0	112190,72	3,99827075
3	0	112250,72	3,99687815
3	0	112310,72	3,9965539
3	0	112370,72	3,99571443
3	0	112430,72	3,99495149
3	0	112490,72	3,99415016
3	0	112550,72	3,99281478
3	0	112610,72	3,99235702
3	0	112670,72	3,99188018
3	0	112730,72	3,99098349
3	0	112790,72	3,99054456
3	0	112850,72	3,99033475
3	0	112910,72	3,9919374
3	0	112970,72	3,99136496
3	0	113030,72	3,99006772
3	0	113090,72	3,98856068
3	0	113150,72	3,9867866
3	0	113210,72	3,98619509
3	0	113270,72	3,98627138
3	0	113330,72	3,98682475
3	0	113390,72	3,98690104
3	0	113450,72	3,98699641
3	0	113510,72	3,99025846
3	0	113570,73	3,99010587
3	0	113630,73	3,9922235
3	0	113690,73	3,99233794
3	0	113750,73	3,99252868
3	0	113810,73	3,9914794
3	0	113870,73	3,99107885
3	0	113930,73	3,99105978
3	0	113990,73	3,99453187
3	0	114050,73	3,99603891
3	0	114110,73	3,99500871
3	0	114170,73	3,99468446
3	0	114230,73	3,99437904
3	0	114290,73	3,99304366
3	0	114350,73	3,99264312
3	0	114410,73	3,9914031
3	0	114470,73	3,99062109
3	0	114530,73	3,98884678
3	0	114590,73	3,98816013
3	0	114650,73	3,98741603
3	0	114710,73	3,9864049
3	0	114770,73	3,98709178
3	0	114830,73	3,98766398
3	0	114890,73	3,9875114
3	0	114950,73	3,9863286
3	0	115010,73	3,9857564
3	0	115070,73	3,98566103
3	0	115130,73	3,98602343
3	0	115190,73	3,98596621
3	0	115250,73	3,98552752
3	0	115310,73	3,98506951
3	0	115370,73	3,98718715
3	0	115430,73	3,98768306
3	0	115490,73	3,9900105
3	0	115550,73	3,99012494
3	0	115610,73	3,98985791
3	0	115670,73	3,9897244
3	0	115730,73	3,98978162
3	0	115790,73	3,98930478
3	0	115850,73	3,98915195
3	0	115910,73	3,98795033
3	0	115970,73	3,98302841
3	0	116030,73	3,98453546
3	0	116090,73	3,98316193
3	0	116150,73	3,98340988
3	0	116210,73	3,98295212
3	0	116270,73	3,98384857
3	0	116330,73	3,983181
3	0	116390,73	3,98352432
3	0	116450,73	3,98222709
3	0	116510,73	3,98138785
3	0	116570,73	3,98220801
3	0	116630,73	3,98407769
3	0	116690,73	3,98424935
3	0	116750,73	3,98152137
3	0	116810,74	3,98094893
3	0	116870,74	3,98102522
3	0	116930,74	3,98108244
3	0	116990,74	3,97968984
3	0	117050,74	3,97948003
3	0	117110,74	3,98016691
3	0	117170,74	3,98030043
3	0	117230,74	3,98035765
3	0	117290,74	3,97997594
3	0	117350,74	3,98016691
3	0	117410,74	3,97898412
3	0	117470,74	3,97959447
3	0	117530,74	3,98131132
3	0	117590,74	3,98165488
3	0	117650,74	3,98052931
3	0	117710,74	3,97610331
3	0	117770,74	3,97816372
3	0	117830,74	3,97778225
3	0	117890,74	3,97999501
3	0	117950,74	3,97902226
3	0	118010,74	3,97974706
3	0	118070,74	3,9795754
3	0	118130,74	3,98033857
3	0	118190,74	3,9803195
3	0	118250,74	3,97965169
3	0	118310,74	3,98024321
3	0	118370,74	3,97993779
3	0	118430,74	3,97820187
3	0	118490,74	3,97844982
3	0	118550,74	3,97824001
3	0	118610,74	3,97806835
3	0	118670,74	3,9781065
3	0	118730,74	3,97789669
3	0	118790,74	3,97764874
3	0	118850,74	3,9783926
3	0	118910,74	3,97824001
3	0	118970,74	3,97865963
3	0	119030,74	3,97886968
3	0	119090,74	3,97841167
3	0	119150,74	3,97932744
3	0	119210,74	3,97997594
3	0	119270,74	3,97858334
3	0	119330,74	3,97886968
3	0	119390,74	3,97770596
3	0	119450,74	3,97761059
3	0	119510,74	3,97772503
3	0	119570,74	3,97743869
3	0	119630,74	3,97667575
3	0	119690,74	3,97682834
3	0	119750,74	3,97658038
3	0	119810,74	3,97761059
3	0	119870,74	3,97780132
3	0	119930,74	3,97709537
3	0	119990,74	3,97574091
3	0	120050,75	3,97682834
3	0	120110,75	3,97595072
3	0	120170,75	3,97562647
3	0	120230,75	3,97541666
3	0	120290,75	3,9756074
3	0	120350,75	3,97486353
3	0	120410,75	3,97535944
3	0	120470,75	3,97486353
3	0	120530,75	3,97404313
3	0	120590,75	3,97392869
3	0	120650,71	3,97410035
