EC-Lab ASCII FILE
Nb header lines : 46                          

Open Circuit Voltage

Run on channel : 2 (SN 6986)
Grouped channel(s) : 2
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Ewe ctrl range : min = -10,00 V, max = 10,00 V
Acquisition started on : 02.12.2015 14:59:29
Saved on :
	File : LiCoO2_LATP_Li_10_OCV_C02.mpr
	Directory : C:\Hupfer\Studenten Batterietests\LiCoO2_LATP_Li\PEIS_GCPL\
	Host : 192.168.0.2
Device : VMP3 (SN 0324)
Address : 192.168.0.1
EC-Lab for windows v10.33 (software)
Internet server v10.33 (firmware)
Command interpretor v10.32 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Mass of active material : 0,001 mg
 at x = 0,000
Molecular weight of active material (at x = 0) : 0,001 g/mol
Atomic weight of intercalated ion : 0,001 g/mol
Acquisition started at : xo = 0,000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26,801 mA.h
Battery capacity : 0,000 A.h
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
tR (h:m:s)          0:10:0,0000         
dER/dt (mV/h)       0,0                 
dER (mV)            0,00                
dtR (s)             5,0000              
E range min (V)     -10,000             
E range max (V)     10,000              

Number of loops : 1
Loop 0 from point number 0 to 120

mode	error	time/s	Ewe/V
3	0	246665,1152	4,05069685
3	0	246670,1152	3,12770748
3	0	246675,1152	2,98112845
3	0	246680,1152	2,89382958
3	0	246685,1152	2,83126903
3	0	246690,1152	2,7826128
3	0	246695,1152	2,74232984
3	0	246700,1152	2,70786428
3	0	246705,1152	2,67784286
3	0	246710,1152	2,65104461
3	0	246715,1152	2,62685966
3	0	246720,1152	2,60475349
3	0	246725,1152	2,58440232
3	0	246730,1152	2,56551957
3	0	246735,1152	2,54760981
3	0	246740,1152	2,53057718
3	0	246745,1152	2,5144794
3	0	246750,1152	2,49952579
3	0	246755,1152	2,48554492
3	0	246760,1152	2,4727087
3	0	246765,1152	2,46053982
3	0	246770,1152	2,44884777
3	0	246775,1152	2,43789983
3	0	246780,1152	2,42782903
3	0	246785,1152	2,41833043
3	0	246790,1152	2,40944219
3	0	246795,1152	2,40059209
3	0	246800,1152	2,39227629
3	0	246805,1152	2,38426542
3	0	246810,1152	2,37675047
3	0	246815,1152	2,36954069
3	0	246820,1152	2,36244535
3	0	246825,1152	2,35544562
3	0	246830,1152	2,34878898
3	0	246835,1152	2,3422277
3	0	246840,1152	2,33595252
3	0	246845,1152	2,32977271
3	0	246850,1152	2,32385993
3	0	246855,1152	2,31825233
3	0	246860,1152	2,3127594
3	0	246865,1152	2,3073616
3	0	246870,1152	2,30226898
3	0	246875,1152	2,29761505
3	0	246880,1152	2,29299927
3	0	246885,1152	2,28796387
3	0	246890,1152	2,28330994
3	0	246895,1152	2,27875137
3	0	246900,1153	2,2741549
3	0	246905,1153	2,26971078
3	0	246910,1153	2,26564813
3	0	246915,1153	2,26162362
3	0	246920,1153	2,25780892
3	0	246925,1153	2,25414681
3	0	246930,1153	2,25080895
3	0	246935,1153	2,24728036
3	0	246940,1153	2,24375176
3	0	246945,1153	2,24016595
3	0	246950,1153	2,23678994
3	0	246955,1153	2,23347139
3	0	246960,1153	2,23009539
3	0	246965,1153	2,22681475
3	0	246970,1153	2,2238965
3	0	246975,1153	2,22126436
3	0	246980,1153	2,21809816
3	0	246985,1153	2,21514177
3	0	246990,1153	2,21205187
3	0	246995,1153	2,20903826
3	0	247000,1153	2,20667315
3	0	247005,1153	2,20423174
3	0	247010,1153	2,20165682
3	0	247015,1153	2,19919634
3	0	247020,1153	2,19669771
3	0	247025,1153	2,19465685
3	0	247030,1153	2,19210124
3	0	247035,1153	2,18954539
3	0	247040,1153	2,18697047
3	0	247045,1153	2,18412852
3	0	247050,1153	2,18119121
3	0	247055,1153	2,17869258
3	0	247060,1153	2,17649913
3	0	247065,1153	2,17442012
3	0	247070,1153	2,17266536
3	0	247075,1153	2,17079616
3	0	247080,1153	2,16919398
3	0	247085,1153	2,16719127
3	0	247090,1153	2,16536021
3	0	247095,1153	2,1633575
3	0	247100,1153	2,16125941
3	0	247105,1153	2,15927577
3	0	247110,1153	2,15744472
3	0	247115,1153	2,15643382
3	0	247120,1153	2,15563273
3	0	247125,1153	2,15498424
3	0	247130,1153	2,15366817
3	0	247135,1153	2,15216136
3	0	247140,1153	2,15044498
3	0	247145,1153	2,14846134
3	0	247150,1153	2,14649677
3	0	247155,1153	2,14497089
3	0	247160,1153	2,14376926
3	0	247165,1153	2,14268208
3	0	247170,1153	2,14186192
3	0	247175,1153	2,14134693
3	0	247180,1153	2,14075565
3	0	247185,1153	2,13911533
3	0	247190,1153	2,13722706
3	0	247195,1153	2,13577747
3	0	247200,1153	2,13442326
3	0	247205,1153	2,13268757
3	0	247210,1153	2,13131428
3	0	247215,1153	2,13013172
3	0	247220,1153	2,12862492
3	0	247225,1153	2,12713718
3	0	247230,1153	2,12641239
3	0	247235,1153	2,12620258
3	0	247240,1153	2,12629795
3	0	247245,1153	2,12605
3	0	247250,1153	2,1254015
3	0	247255,1153	2,12442875
3	0	247260,1153	2,12337971
3	0	247265,1153	2,12212086
