EC-Lab ASCII FILE
Nb header lines : 3                           
mode	error	time/s	Ewe/V
3	1	0,00	2,35784245
3	0	5,00	2,35767102
3	0	10,00	2,35772824
3	0	15,00	2,35784245
3	0	20,00	2,35767102
3	0	25,00	2,3576138
3	0	30,00	2,35753775
3	0	35,00	2,35770917
3	0	40,00	2,35759497
3	0	45,00	2,35765195
3	0	50,00	2,3576138
3	0	55,00	2,3576901
3	0	60,00	2,35770917
3	0	65,00	2,35746145
3	0	70,00	2,3574996
3	0	75,00	2,35765195
3	0	80,00	2,35763288
3	0	85,00	2,35770917
3	0	90,00	2,35774732
3	0	95,00	2,35757589
3	0	100,00	2,3574996
3	0	105,00	2,35746145
3	0	110,00	2,35759497
3	0	115,00	2,35763288
3	0	120,00	2,35759497
3	0	125,00	2,35742354
3	0	130,00	2,35755682
3	0	135,00	2,35753775
3	0	140,00	2,35751867
3	0	145,00	2,35755682
3	0	150,00	2,3573854
3	0	155,00	2,35736632
3	0	160,00	2,35746145
3	0	165,00	2,35736632
3	0	170,00	2,35740447
3	0	175,00	2,35744238
3	0	180,00	2,3574996
3	0	185,00	2,35736632
3	0	190,00	2,3573854
3	0	195,00	2,3573091
3	0	200,00	2,35744238
3	0	205,00	2,35729003
3	0	210,00	2,35725188
3	0	215,00	2,35736632
3	0	220,00	2,35734725
3	0	225,00	2,35725188
3	0	230,00	2,35744238
3	0	235,00	2,35723305
3	0	240,00	2,35717583
3	0	245,00	2,3573091
3	0	250,00	2,3571949
3	0	255,00	2,3573091
3	0	260,00	2,35727096
3	0	265,00	2,35736632
3	0	270,00	2,35709953
3	0	275,00	2,35723305
3	0	280,00	2,35727096
3	0	285,00	2,3571949
3	0	290,00	2,35729003
3	0	295,00	2,35713768
3	0	300,00	2,35711861
3	0	305,00	2,35729003
3	0	310,00	2,35706162
3	0	315,00	2,35729003
3	0	320,00	2,35729003
3	0	325,00	2,35711861
3	0	330,00	2,35706162
3	0	335,00	2,35706162
3	0	340,00	2,35717583
3	0	345,00	2,35713768
3	0	350,00	2,35708046
3	0	355,00	2,35698533
3	0	360,00	2,35709953
3	0	365,00	2,3570044
3	0	370,00	2,35702348
3	0	375,00	2,35702348
3	0	380,00	2,35688996
3	0	385,00	2,35708046
3	0	390,00	2,35711861
3	0	395,00	2,35698533
3	0	400,00	2,3570044
3	0	405,00	2,35698533
3	0	410,00	2,35709953
3	0	415,00	2,35692811
3	0	420,00	2,35698533
3	0	425,00	2,35690904
3	0	430,00	2,35683298
3	0	435,00	2,35692811
3	0	440,00	2,35694718
3	0	445,00	2,3570044
3	0	450,00	2,3570044
3	0	455,00	2,35704255
3	0	460,00	2,35687113
3	0	465,00	2,35696626
3	0	470,00	2,35688996
3	0	475,00	2,35685205
3	0	480,00	2,35690904
3	0	485,00	2,35685205
3	0	490,00	2,35679483
3	0	495,00	2,35685205
3	0	500,00	2,35687113
3	0	505,00	2,35685205
3	0	510,00	2,35673761
3	0	515,00	2,35671854
3	0	520,00	2,35690904
3	0	525,00	2,35681391
3	0	530,00	2,35685205
3	0	535,00	2,35681391
3	0	540,00	2,35681391
3	0	545,00	2,35681391
3	0	550,00	2,35683298
3	0	555,00	2,35698533
3	0	560,00	2,35688996
3	0	565,00	2,35681391
3	0	570,00	2,35683298
3	0	575,00	2,35683298
3	0	580,00	2,35673761
3	0	585,00	2,35677576
3	0	590,00	2,35668063
3	0	595,00	2,35681391
3	0	600,00	2,35683298
3	0	605,00	2,35675669
3	0	610,00	2,35673761
3	0	615,00	2,35671854
3	0	620,00	2,35673761
3	0	625,00	2,35668063
3	0	630,00	2,35677576
3	0	635,00	2,35666156
3	0	640,00	2,35662341
3	0	645,00	2,35664248
3	0	650,00	2,35671854
3	0	655,00	2,35666156
3	0	660,00	2,35675669
3	0	665,00	2,35671854
3	0	670,00	2,35664248
3	0	675,00	2,35662341
3	0	680,00	2,35668063
3	0	685,00	2,35647106
3	0	690,00	2,35671854
3	0	695,00	2,35649014
3	0	700,00	2,35668063
3	0	705,00	2,35662341
3	0	710,00	2,35664248
3	0	715,00	2,35666156
3	0	720,00	2,35660434
3	0	725,00	2,35662341
3	0	730,00	2,35656619
3	0	735,00	2,35652804
3	0	740,00	2,35647106
3	0	745,00	2,35656619
3	0	750,00	2,35654712
3	0	755,00	2,35650921
3	0	760,00	2,35647106
3	0	765,00	2,35645199
3	0	770,00	2,35652804
3	0	775,00	2,35654712
3	0	780,00	2,35633779
3	0	785,00	2,35641384
3	0	790,00	2,35631871
3	0	795,00	2,35643291
3	0	800,00	2,35643291
3	0	805,00	2,35635662
3	0	810,00	2,35643291
3	0	815,00	2,35643291
3	0	820,00	2,35647106
3	0	825,00	2,35639477
3	0	830,00	2,35629964
3	0	835,00	2,35628057
3	0	840,00	2,35635662
3	0	845,00	2,35643291
3	0	850,00	2,35647106
3	0	855,00	2,35643291
3	0	860,00	2,35637569
3	0	865,00	2,35639477
3	0	870,00	2,35637569
3	0	875,00	2,35633779
3	0	880,00	2,35624242
3	0	885,00	2,35620427
3	0	890,00	2,35622334
3	0	895,00	2,35633779
3	0	900,00	2,35628057
3	0	905,00	2,35626149
3	0	910,00	2,35620427
3	0	915,00	2,35614729
3	0	920,00	2,35612822
3	0	925,00	2,35616636
3	0	930,00	2,35616636
3	0	935,00	2,35631871
3	0	940,00	2,35610914
3	0	945,00	2,35620427
3	0	950,00	2,35612822
3	0	955,00	2,35605192
3	0	960,00	2,35620427
3	0	965,00	2,35612822
3	0	970,00	2,35624242
3	0	975,00	2,35609007
3	0	980,00	2,3561852
3	0	985,00	2,35612822
3	0	990,00	2,35597587
3	0	995,00	2,3561852
3	0	1000,00	2,35597587
3	0	1005,00	2,35597587
3	0	1010,00	2,3559947
3	0	1015,00	2,35601377
3	0	1020,00	2,3561852
3	0	1025,00	2,3559947
3	0	1030,00	2,35591865
3	0	1035,00	2,35589957
3	0	1040,00	2,35595679
3	0	1045,00	2,35591865
3	0	1050,00	2,35603285
3	0	1055,00	2,35601377
3	0	1060,00	2,356071
3	0	1065,00	2,35591865
3	0	1070,00	2,35582328
3	0	1075,00	2,35603285
3	0	1080,00	2,35593772
3	0	1085,00	2,35586143
3	0	1090,00	2,3559947
3	0	1095,00	2,35589957
3	0	1100,00	2,35589957
3	0	1105,00	2,3559947
3	0	1110,00	2,35578537
3	0	1115,00	2,35589957
3	0	1120,00	2,35591865
3	0	1125,00	2,35570908
3	0	1130,00	2,35578537
3	0	1135,00	2,35591865
3	0	1140,00	2,35574722
3	0	1145,00	2,35584235
3	0	1150,00	2,35578537
3	0	1155,00	2,35563278
3	0	1160,00	2,35565186
3	0	1165,00	2,35555673
3	0	1170,00	2,3557663
3	0	1175,00	2,35580444
3	0	1180,00	2,35578537
3	0	1185,00	2,35595679
3	0	1190,00	2,35567093
3	0	1195,00	2,35565186
3	0	1200,00	2,35548043
3	0	1205,00	2,35561395
3	0	1210,00	2,35567093
3	0	1215,00	2,3555758
3	0	1220,00	2,35563278
3	0	1225,00	2,35565186
3	0	1230,00	2,35559487
3	0	1235,00	2,35555673
3	0	1240,00	2,35561395
3	0	1245,00	2,3555758
3	0	1250,00	2,35553765
3	0	1255,00	2,35555673
3	0	1260,00	2,35559487
3	0	1265,00	2,35555673
3	0	1270,00	2,35559487
3	0	1275,00	2,35559487
3	0	1280,00	2,35553765
3	0	1285,00	2,35565186
3	0	1290,00	2,35563278
3	0	1295,00	2,35544252
3	0	1300,00	2,35551858
3	0	1305,00	2,35540438
3	0	1310,00	2,35548043
3	0	1315,00	2,35561395
3	0	1320,00	2,35549951
3	0	1325,00	2,35540438
3	0	1330,00	2,35532808
3	0	1335,00	2,35542345
3	0	1340,00	2,35525203
3	0	1345,00	2,35559487
3	0	1350,00	2,35551858
3	0	1355,00	2,35542345
3	0	1360,00	2,35523295
3	0	1365,00	2,35548043
3	0	1370,00	2,35553765
3	0	1375,00	2,35527086
3	0	1380,00	2,35536623
3	0	1385,00	2,35528994
3	0	1390,00	2,35534716
3	0	1395,00	2,35528994
3	0	1400,00	2,35525203
3	0	1405,00	2,35525203
3	0	1410,00	2,35528994
3	0	1415,00	2,35517573
3	0	1420,00	2,35523295
3	0	1425,00	2,35527086
3	0	1430,00	2,35513759
3	0	1435,00	2,35513759
3	0	1440,00	2,35528994
3	0	1445,00	2,35527086
3	0	1450,00	2,35521388
3	0	1455,00	2,35523295
3	0	1460,00	2,35525203
3	0	1465,00	2,35513759
3	0	1470,00	2,35515666
3	0	1475,00	2,35504246
3	0	1480,00	2,35509944
3	0	1485,00	2,35511851
3	0	1490,00	2,35509944
3	0	1495,00	2,3550806
3	0	1500,00	2,35511851
3	0	1505,00	2,35498524
3	0	1510,00	2,35500431
3	0	1515,00	2,35509944
3	0	1520,00	2,35515666
3	0	1525,00	2,35500431
3	0	1530,00	2,3550806
3	0	1535,00	2,35502338
3	0	1540,00	2,35509944
3	0	1545,00	2,35498524
3	0	1550,00	2,35504246
