EC-Lab ASCII FILE
Nb header lines : 3                           
mode	ox/red	error	control changes	Ns changes	counter inc.	Ns	time/s	control/V/mA	Ewe/V	dq/mA.h	<I>/mA	P/W	(Q-Qo)/mA.h	x	Capacity/mA.h
1	0	0	1	1	0	1	561766,56	-0,200000003	2,3427372	0	0	0	0	0	0
1	0	0	1	0	0	1	561776,56	-0,200000003	2,30732656	-0,00055311998310335264	-0,19911945481944077	0,000459433591	-0,00055311998310335264	2,0637650247312755E-005	0,00055311998310335264
1	0	0	1	0	0	1	561786,56	-0,200000003	2,3044312	-0,0005558696516512169	-0,20010931692751558	0,000461138145	-0,0011089896347545696	4,1377894325115002E-005	0,0011089896347545696
1	0	0	1	0	0	1	561796,56	-0,200000003	2,30254555	-0,0005558656267937687	-0,20010786799672413	0,000460757466	-0,0016648552615483386	6,2117988230074381E-005	0,0016648552615483386
1	0	0	1	0	0	1	561806,56	-0,200000003	2,30086923	-0,00055586625086764493	-0,20010809265910083	0,00046042254	-0,002220721512415983	8,2858105420069158E-005	0,002220721512415983
1	0	0	1	0	0	1	561816,56	-0,200000003	2,29951692	-0,0005558711470340688	-0,20010985524591536	0,000460156007	-0,0027765926594500518	0,00010359840529261616	0,0027765926594500518
1	0	0	1	0	0	1	561826,56	-0,200000003	2,29841208	-0,0005558667153467735	-0,2001082598684472	0,000459931238	-0,0033324593747968256	0,00012433853981295173	0,0033324593747968256
1	0	0	1	0	0	1	561836,56	-0,200000003	2,29774523	-0,00055586376898735757	-0,20010719919897491	0,000459795352	-0,003888323143784183	0,00014507856440065606	0,003888323143784183
1	0	0	1	0	0	1	561846,56	-0,200000003	2,29673576	-0,0005558672337879737	-0,20010844650377462	0,000459596224	-0,0044441903775721562	0,00016581871826472986	0,0044441903775721562
1	0	0	1	0	0	1	561856,56	-0,200000003	2,2959547	-0,00055587216124186906	-0,20011022035386742	0,000459444011	-0,0050000625388140262	0,0001865590559787335	0,0050000625388140262
1	0	0	1	0	0	1	561866,56	-0,200000003	2,29530716	-0,00055586966426753344	-0,20010932145998611	0,000459312345	-0,0055559322030815597	0,00020729930052726752	0,0055559322030815597
1	0	0	1	0	0	1	561876,56	-0,200000003	2,29462147	-0,00055587252941975987	-0,2001103528954192	0,000459177507	-0,0061118047325013197	0,0002280396519784833	0,0061118047325013197
1	0	0	1	0	0	1	561886,56	-0,200000003	2,29406905	-0,00055587126789490387	-0,20010989875499894	0,000459065923	-0,0066676760003962227	0,00024877995636051056	0,0066676760003962227
1	0	0	1	0	0	1	561896,56	-0,200000003	2,29319286	-0,00055587251918514573	-0,2001103492110273	0,00045889162	-0,0072235485195813696	0,00026952030742985917	0,0072235485195813696
1	0	0	1	0	0	1	561906,56	-0,200000003	2,29298329	-0,00055587425632774835	-0,20011097457062115	0,000458851107	-0,0077794227759091174	0,00029026072331433389	0,0077794227759091174
1	0	0	1	0	0	1	561916,56	-0,200000003	2,29203081	-0,00055587355366514784	-0,20011072161683498	0,000458659953	-0,0083352963295742656	0,00031100111298152218	0,0083352963295742656
1	0	0	1	0	0	1	561926,56	-0,200000003	2,29180217	-0,00055587544554554746	-0,20011140268098976	0,000458615745	-0,0088911717751198131	0,00033174157323731194	0,0088911717751198131
1	0	0	1	0	0	1	561936,56	-0,200000003	2,29100227	-0,00055587832799885005	-0,20011244034469334	0,00045845806	-0,0094470501031186637	0,00035248214104130982	0,0094470501031186637
1	0	0	1	0	0	1	561946,56	-0,200000003	2,29062128	-0,00055587510306884845	-0,20011127939635235	0,00045837916	-0,01000292520618751	0,00037322258851883334	0,01000292520618751
1	0	0	1	0	0	1	561956,56	-0,200000003	2,29008794	-0,00055587448274675341	-0,20011105609390976	0,000458271912	-0,010558799688934264	0,0003939630128513056	0,010558799688934264
1	0	0	1	0	0	1	561966,56	-0,200000003	2,28976417	-0,00055587873949027718	-0,20011258848348454	0,000458210649	-0,011114678428424541	0,00041470359600860192	0,011114678428424541
1	0	0	1	0	0	1	561976,56	-0,200000003	2,28915453	-0,000555877548476888	-0,20011215972671571	0,000458087656	-0,01167055597690143	0,00043544413472758733	0,01167055597690143
1	0	0	1	0	0	1	561986,56	-0,200000003	2,28871655	-0,00055587986499981747	-0,20011299365931059	0,000458001916	-0,012226435841901248	0,00045618475987915782	0,012226435841901248
1	0	0	1	0	0	1	561996,56	-0,200000003	2,28848791	-0,00055587856452994874	-0,20011252549894902	0,000457955088	-0,012782314406431197	0,00047692533650844902	0,012782314406431197
1	0	0	1	0	0	1	562006,56	-0,200000003	2,28818321	-0,00055587358389215328	-0,20011073250301174	0,000457890012	-0,013338187990323349	0,00049766572730344762	0,013338187990323349
1	0	0	1	0	0	1	562016,56	-0,200000003	2,28791642	-0,00055587023687445446	-0,20010952759926595	0,00045783387	-0,013894058227197803	0,00051840599321671571	0,013894058227197803
1	0	0	1	0	0	1	562026,56	-0,200000003	2,28740215	-0,00055587351215796339	-0,20011070667452918	0,000457733666	-0,014449931739355766	0,00053914638133521517	0,014449931739355766
1	0	0	1	0	0	1	562036,56	-0,200000003	2,28700209	-0,00055587553251948614	-0,20011143399567885	0,00045765526	-0,015005807271875254	0,00055988684483611949	0,015005807271875254
1	0	0	1	0	0	1	562046,56	-0,200000003	2,28673553	-0,00055587463770061728	-0,20011111186460547	0,000457601185	-0,015561681909575869	0,00058062727495012864	0,015561681909575869
1	0	0	1	0	0	1	562056,56	-0,200000003	2,28618312	-0,00055587259266939424	-0,2001103756671896	0,000457488961	-0,016117554502245264	0,00060136762876127334	0,016117554502245264
1	0	0	1	0	0	1	562066,56	-0,200000003	2,28591633	-0,00055587080566585062	-0,20010973236032352	0,0004574341	-0,016673425307911117	0,00062210791589691315	0,016673425307911117
1	0	0	1	0	0	1	562076,56	-0,200000003	2,28564978	-0,0005558754890470041	-0,20011141834354963	0,000457384624	-0,017229300796958122	0,00064284837777580083	0,017229300796958122
1	0	0	1	0	0	1	562086,56	-0,200000003	2,28524971	-0,00055587710548026694	-0,20011200024859718	0,000457305898	-0,017785177902438387	0,00066358889996598656	0,017785177902438387
1	0	0	1	0	0	1	562096,56	-0,200000003	2,28500199	-0,00055587770414683552	-0,20011221576451491	0,0004572568	-0,018341055606585222	0,00068432944449322701	0,018341055606585222
1	0	0	1	0	0	1	562106,56	-0,200000003	2,28458309	-0,00055587762692984614	-0,20011218796692067	0,000457172922	-0,018896933233515066	0,00070506998613939776	0,018896933233515066
1	0	0	1	0	0	1	562116,56	-0,200000003	2,28435445	-0,00055587722914086445	-0,20011204477489462	0,000457126851	-0,019452810462655933	0,00072581051294352691	0,019452810462655933
1	0	0	1	0	0	1	562126,56	-0,200000003	2,28403068	-0,00055588222744646989	-0,20011384412180579	0,000457066169	-0,0200086926901024	0,00074655122624115827	0,0200086926901024
1	0	0	1	0	0	1	562136,56	-0,200000003	2,28364968	-0,00055588186068087814	-0,20011371208867213	0,000456989626	-0,02056457455078328	0,00076729192585427238	0,02056457455078328
1	0	0	1	0	0	1	562146,56	-0,200000003	2,28330684	-0,00055587887466284973	-0,20011263714236733	0,000456918555	-0,021120453425446128	0,0007880325140550391	0,021120453425446128
1	0	0	1	0	0	1	562156,56	-0,200000003	2,28305912	-0,00055588028362062234	-0,20011314435764093	0,000456870126	-0,021676333709066749	0,00080877315482591475	0,021676333709066749
1	0	0	1	0	0	1	562166,56	-0,200000003	2,28273535	-0,0005558816412720416	-0,20011363310297414	0,000456806476	-0,02223221535033879	0,00082951384625259008	0,02223221535033879
1	0	0	1	0	0	1	562176,56	-0,200000003	2,28252578	-0,00055588727550043002	-0,20011566138943622	0,000456769165	-0,022788102625839219	0,00085025474789990195	0,022788102625839219
1	0	0	1	0	0	1	562186,56	-0,200000003	2,28218293	-0,00055588388185120294	-0,20011443969399632	0,000456697773	-0,023343986507690422	0,00087099552292559834	0,023343986507690422
1	0	0	1	0	0	1	562196,56	-0,200000003	2,28172565	-0,00055588446110569766	-0,20011464822169866	0,000456606736	-0,023899870968796118	0,00089173631956405888	0,023899870968796118
1	0	0	1	0	0	1	562206,56	-0,200000003	2,28151631	-0,00055588624447418579	-0,20011529022462845	0,000456566311	-0,024455757213270307	0,00091247718274239539	0,024455757213270307
1	0	0	1	0	0	1	562216,56	-0,200000003	2,2811923	-0,00055588668355097376	-0,20011544828930394	0,000456501817	-0,02501164389682128	0,00093321806230327718	0,02501164389682128
1	0	0	1	0	0	1	562226,56	-0,200000003	2,2808876	-0,00055588112394594483	-0,20011344687140602	0,000456436275	-0,025567525020767226	0,00095395873442782042	0,025567525020767226
1	0	0	1	0	0	1	562236,56	-0,200000003	2,28062105	-0,00055588089864452678	-0,20011336576208896	0,000456382753	-0,02612340591941175	0,00097469939814606477	0,02612340591941175
1	0	0	1	0	0	1	562246,56	-0,200000003	2,28037333	-0,0005558820324341456	-0,20011377391868733	0,000456334121	-0,026679287951845898	0,00099544010416752422	0,026679287951845898
1	0	0	1	0	0	1	562256,56	-0,200000003	2,28004956	-0,00055588522662553517	-0,20011492380832445	0,000456271955	-0,027235173178471434	0,001016180929368559	0,027235173178471434
