EC-Lab ASCII FILE
Nb header lines : 3                           
mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	P/W
2	0	0	1	0	7840,73	3,10456657	3,10496354	-0,70543074607849126	7	0	0,00219033682
2	0	0	1	0	7840,76	3,10426593	3,10466242	-0,68963891252254464	7	-2,08077527E-005	0,00214109593
2	0	0	1	0	7840,81	3,10376596	3,104141	-0,66976653660337165	7	-5,47528034E-005	0,00207904982
2	0	0	1	0	7840,86	3,103266	3,103369	-0,65696064988151373	7	-8,79085419E-005	0,00203879131
2	0	0	1	0	7840,91	3,10276604	3,10285783	-0,64759767583261094	7	-0,000120520497	0,00200940343
2	0	0	1	0	7840,96	3,10226536	3,10262704	-0,64068604766615514	7	-0,000152797249	0,00198780978
2	0	0	1	0	7841,01	3,10176539	3,10207534	-0,63548211281844403	7	-0,000184713965	0,0019713135
2	0	0	1	0	7841,06	3,10126662	3,10153484	-0,63112957259235174	7	-0,000216329325	0,00195747032
2	0	0	0	0	7841,11	3,10076571	3,10140419	-0,62753409528484122	7	-0,000247936841	0,00194623682
2	0	0	0	0	7841,16	3,10026574	3,10054231	-0,62506250664592141	7	-0,000279270404	0,0019380328
2	0	0	0	0	7841,21	3,09976578	3,0999608	-0,62260072600717376	7	-0,000310479983	0,00193003786
2	0	0	0	0	7841,26	3,09926534	3,09958005	-0,6204767064191401	7	-0,000341575593	0,00192321721
2	0	0	0	0	7841,31	3,09876537	3,09893823	-0,61897790354366042	7	-0,00037258002	0,00191817433
2	0	0	0	0	7841,36	3,09826541	3,09865761	-0,61731928540393818	7	-0,000403508573	0,00191286113
2	0	0	0	0	7841,41	3,09776545	3,09791589	-0,61601006115476314	7	-0,000434363261	0,00190834736
2	0	0	0	0	7841,46	3,09726524	3,09757495	-0,61516310817872538	7	-0,000465163757	0,00190551381
2	0	0	0	0	7841,51	3,09676528	3,09701347	-0,61425037557880115	7	-0,000495922461	0,00190234173
2	0	0	0	0	7841,56	3,09626532	3,09650254	-0,6132664705316224	7	-0,000526632881	0,00189898117
2	0	0	0	0	7841,61	3,09576511	3,09595108	-0,61245716689154509	7	-0,000557298248	0,00189613737
2	0	0	0	0	7841,66	3,09526515	3,0953896	-0,61166125644619162	7	-0,000587923219	0,0018933299
2	0	0	0	0	7841,71	3,09476495	3,09490824	-0,61095112934708685	7	-0,000618510763	0,00189083768
2	0	0	0	0	7841,76	3,09426522	3,09452748	-0,61042992755149862	7	-0,000649070076	0,00188899215
2	0	0	0	0	7841,81	3,09376502	3,09385586	-0,61021874053403558	7	-0,000679612625	0,00188792881
2	0	0	0	0	7841,86	3,09326506	3,09344482	-0,60969202406704333	7	-0,000710132765	0,00188604859
2	0	0	0	0	7841,91	3,09276485	3,09290338	-0,60920894130443418	7	-0,000740628166	0,00188422436
2	0	0	0	0	7841,96	3,09226489	3,09223175	-0,60916801216080781	7	-0,000771112507	0,00188368862
2	0	0	0	0	7842,01	3,09176469	3,09179091	-0,60864644497632896	7	-0,0008015809	0,00188180758
2	0	0	0	0	7842,06	3,09126472	3,09153008	-0,6082900396237783	7	-0,00083202828	0,00188054692
2	0	0	0	0	7842,11	3,09076476	3,09094858	-0,60823089846720358	7	-0,000862465415	0,00188001047
2	0	0	0	0	7842,16	3,0902648	3,0904274	-0,60793640123059418	7	-0,000892895157	0,00187878334
2	0	0	0	0	7842,21	3,08976483	3,08998632	-0,60776238127922074	7	-0,000923312153	0,0018779774
2	0	0	0	0	7842,26	3,08926439	3,08954525	-0,60758966611077312	7	-0,0009537203	0,00187717576
2	0	0	0	0	7842,31	3,08876443	3,08883357	-0,60735999420285222	7	-0,000984119484	0,00187603396
2	0	0	0	0	7842,36	3,08826447	3,08857298	-0,60708470518390362	7	-0,00101450458	0,00187502545
2	0	0	0	0	7842,41	3,0877645	3,08796144	-0,60699482401833114	7	-0,00104488106	0,00187437655
2	0	0	0	0	7842,46	3,0872643	3,08736992	-0,60693950516482074	7	-0,00107525592	0,00187384675
2	0	0	0	0	7842,51	3,08676434	3,08694911	-0,60657752398401587	7	-0,00110561796	0,00187247398
2	0	0	0	0	7842,56	3,08626413	3,08625722	-0,60641414377217549	7	-0,00113596802	0,00187154999
2	0	0	0	0	7842,61	3,08576417	3,08600664	-0,60642451746389274	7	-0,00116631552	0,00187143008
2	0	0	0	0	7842,66	3,08526421	3,08557558	-0,60610049543902362	7	-0,00119665242	0,00187016884
2	0	0	0	0	7842,71	3,08476424	3,08470368	-0,60582377094154611	7	-0,00122697453	0,00186878687
2	0	0	0	0	7842,76	3,08426404	3,08444285	-0,60610469166810253	7	-0,00125729945	0,00186949526
