EC-Lab ASCII FILE
Nb header lines : 3                           
mode	error	time/s	Ewe/V
3	0	11041,14	3,15944052
3	0	11046,14	3,32885051
3	0	11051,14	3,38470316
3	0	11056,14	3,41659164
3	0	11061,14	3,43792057
3	0	11066,14	3,4533875
3	0	11071,14	3,46535993
3	0	11076,14	3,47486925
3	0	11081,14	3,4826982
3	0	11086,14	3,48938131
3	0	11091,14	3,49491882
3	0	11096,14	3,5000937
3	0	11101,14	3,50417995
3	0	11106,14	3,50801802
3	0	11111,14	3,51135969
3	0	11116,14	3,51445293
3	0	11121,14	3,51708817
3	0	11126,14	3,51943684
3	0	11131,14	3,52188087
3	0	11136,14	3,52382851
3	0	11141,14	3,52579546
3	0	11146,14	3,5275712
3	0	11151,14	3,52911782
3	0	11156,14	3,53051186
3	0	11161,14	3,53192472
3	0	11166,14	3,53328061
3	0	11171,14	3,53438807
3	0	11176,14	3,53557205
3	0	11181,14	3,53652668
3	0	11186,14	3,53755784
3	0	11191,14	3,53849339
3	0	11196,14	3,53933358
3	0	11201,14	3,54017377
3	0	11206,14	3,54091859
3	0	11211,14	3,5414722
3	0	11216,14	3,54221702
3	0	11221,14	3,54290438
3	0	11226,14	3,54359174
3	0	11231,14	3,54406929
3	0	11236,14	3,54464197
3	0	11241,14	3,54515767
3	0	11246,14	3,54565406
3	0	11251,14	3,5461123
3	0	11256,14	3,54666615
3	0	11261,14	3,54699063
3	0	11266,14	3,54741073
3	0	11271,14	3,5476017
3	0	11276,14	3,54805994
3	0	11281,14	3,54838467
3	0	11286,14	3,54882383
3	0	11291,14	3,54911017
3	0	11296,14	3,54939675
3	0	11301,14	3,54964495
3	0	11306,14	3,54989314
3	0	11311,14	3,55017948
3	0	11316,14	3,55038953
3	0	11321,14	3,55061865
3	0	11326,14	3,5509243
3	0	11331,14	3,55111527
3	0	11336,14	3,55134439
3	0	11341,14	3,55147791
3	0	11346,14	3,55166888
3	0	11351,14	3,55191731
3	0	11356,14	3,55208898
3	0	11361,14	3,55201268
3	0	11366,14	3,5523181
3	0	11371,14	3,55249
3	0	11376,14	3,55256653
3	0	11381,14	3,55271912
3	0	11386,14	3,55277658
3	0	11391,14	3,55298662
3	0	11396,14	3,55317736
3	0	11401,14	3,55321574
3	0	11406,14	3,55333018
3	0	11411,14	3,55342579
3	0	11416,14	3,5535593
3	0	11421,14	3,55363584
3	0	11426,14	3,55365491
3	0	11431,14	3,55361676
3	0	11436,14	3,55386496
3	0	11441,14	3,55394125
3	0	11446,14	3,5539794
3	0	11451,14	3,55409408
3	0	11456,14	3,5541513
3	0	11461,14	3,55411315
3	0	11466,14	3,55426598
3	0	11471,14	3,5543232
3	0	11476,14	3,55439949
3	0	11481,14	3,5543232
3	0	11486,14	3,55447602
3	0	11491,14	3,5544951
3	0	11496,14	3,55443764
3	0	11501,14	3,55453324
3	0	11506,14	3,55447602
3	0	11511,14	3,55453324
3	0	11516,14	3,55470514
3	0	11521,14	3,55478144
3	0	11526,14	3,55464768
3	0	11531,14	3,55460954
3	0	11536,14	3,55468607
3	0	11541,14	3,55474329
3	0	11546,14	3,55478144
3	0	11551,14	3,55476236
3	0	11556,14	3,55480051
3	0	11561,14	3,55476236
3	0	11566,14	3,55478144
3	0	11571,14	3,55474329
3	0	11576,14	3,55480051
3	0	11581,14	3,55474329
3	0	11586,14	3,55480051
3	0	11591,14	3,55478144
3	0	11596,14	3,55476236
3	0	11601,14	3,55476236
3	0	11606,14	3,55480051
3	0	11611,14	3,55481958
3	0	11616,14	3,55485773
3	0	11621,14	3,55480051
3	0	11626,14	3,55480051
3	0	11631,14	3,5548768
3	0	11636,14	3,55480051
3	0	11641,14	3,55478144
3	0	11646,14	3,55474329
3	0	11651,14	3,55478144
3	0	11656,14	3,55474329
3	0	11661,14	3,55472422
3	0	11666,14	3,55457139
3	0	11671,14	3,55455232
3	0	11676,14	3,55457139
3	0	11681,14	3,55460954
3	0	11686,14	3,55457139
3	0	11691,14	3,55462861
3	0	11696,14	3,55453324
3	0	11701,14	3,55445671
3	0	11706,14	3,55451417
3	0	11711,14	3,5544951
3	0	11716,14	3,55445671
3	0	11721,14	3,55438042
3	0	11726,14	3,55445671
3	0	11731,14	3,5543232
3	0	11736,14	3,55430412
3	0	11741,14	3,55420852
3	0	11746,14	3,55430412
3	0	11751,14	3,55428505
3	0	11756,14	3,55424666
3	0	11761,14	3,55424666
3	0	11766,14	3,55413222
3	0	11771,14	3,55413222
3	0	11776,14	3,55411315
3	0	11781,14	3,55405593
3	0	11786,14	3,55401754
3	0	11791,14	3,55401754
3	0	11796,14	3,55392218
3	0	11801,14	3,55382657
3	0	11806,14	3,55392218
3	0	11811,14	3,55399847
3	0	11816,14	3,55382657
3	0	11821,14	3,5538075
3	0	11826,14	3,55371213
3	0	11831,14	3,55369306
3	0	11836,14	3,55376935
3	0	11841,14	3,55363584
3	0	11846,14	3,55354023
3	0	11851,14	3,55367398
3	0	11856,14	3,55369306
3	0	11861,14	3,55342579
3	0	11866,14	3,55344486
3	0	11871,14	3,55346394
3	0	11876,14	3,55346394
3	0	11881,14	3,55346394
3	0	11886,14	3,5533874
3	0	11891,14	3,55323482
3	0	11896,14	3,55321574
3	0	11901,14	3,55310106
3	0	11906,14	3,55327296
3	0	11911,14	3,55312014
3	0	11916,14	3,55313921
3	0	11921,14	3,55287194
3	0	11926,14	3,55298662
3	0	11931,14	3,55296731
3	0	11936,14	3,55281472
3	0	11941,14	3,55289102
3	0	11946,14	3,55279565
3	0	11951,14	3,55291009
3	0	11956,14	3,55273819
3	0	11961,14	3,55270004
3	0	11966,14	3,5526619
3	0	11971,14	3,55262375
3	0	11976,14	3,55254722
3	0	11981,14	3,5525856
3	0	11986,14	3,55245185
3	0	11991,14	3,55249
3	0	11996,14	3,55243278
3	0	12001,14	3,55239463
3	0	12006,14	3,55229902
3	0	12011,14	3,5523181
3	0	12016,14	3,55214643
3	0	12021,14	3,55212736
3	0	12026,14	3,55218458
3	0	12031,14	3,55208898
3	0	12036,14	3,55205083
3	0	12041,14	3,55193639
3	0	12046,14	3,551898
3	0	12051,14	3,55187893
3	0	12056,14	3,55174541
3	0	12061,14	3,55182171
3	0	12066,14	3,55161166
3	0	12071,14	3,55163074
3	0	12076,14	3,55163074
3	0	12081,14	3,55155444
3	0	12086,14	3,55155444
3	0	12091,14	3,55147791
3	0	12096,14	3,55157351
3	0	12101,14	3,55147791
3	0	12106,14	3,55143976
3	0	12111,14	3,55122972
3	0	12116,14	3,55124879
3	0	12121,14	3,55117249
3	0	12126,14	3,55124879
3	0	12131,14	3,55124879
3	0	12136,14	3,55113435
3	0	12141,14	3,55111527
3	0	12146,14	3,55090523
3	0	12151,14	3,55098152
3	0	12156,14	3,55086708
3	0	12161,14	3,55084777
3	0	12166,14	3,55079055
3	0	12171,14	3,55065703
3	0	12176,14	3,55063772
3	0	12181,14	3,55069518
3	0	12186,14	3,55052328
3	0	12191,14	3,55056143
3	0	12196,14	3,55052328
3	0	12201,14	3,55038953
3	0	12206,14	3,55037045
3	0	12211,14	3,55027509
3	0	12216,14	3,55031323
3	0	12221,14	3,55027509
3	0	12226,14	3,55014133
3	0	12231,14	3,55008411
3	0	12236,14	3,55006504
3	0	12241,14	3,55012226
3	0	12246,14	3,55004597
3	0	12251,14	3,55000782
3	0	12256,14	3,55000782
3	0	12261,14	3,54987407
3	0	12266,14	3,54981685
3	0	12271,14	3,54981685
3	0	12276,14	3,54966402
3	0	12281,14	3,54966402
3	0	12286,14	3,5496068
3	0	12291,14	3,54954934
3	0	12296,14	3,54945397
3	0	12301,14	3,5494349
3	0	12306,14	3,54951119
3	0	12311,14	3,54930115
3	0	12316,14	3,549263
3	0	12321,14	3,54928207
3	0	12326,14	3,54918671
3	0	12331,14	3,549263
3	0	12336,14	3,54912925
3	0	12341,14	3,54903388
3	0	12346,14	3,54899573
3	0	12351,14	3,54895759
3	0	12356,14	3,54876661
3	0	12361,14	3,5489192
3	0	12366,14	3,54882383
3	0	12371,14	3,54886198
3	0	12376,14	3,54876661
3	0	12381,14	3,54869008
3	0	12386,14	3,54861379
3	0	12391,14	3,54857564
3	0	12396,14	3,54859471
3	0	12401,14	3,54848003
3	0	12406,14	3,54832745
3	0	12411,14	3,54834652
3	0	12416,14	3,54832745
3	0	12421,14	3,54823184
3	0	12426,14	3,54813647
3	0	12431,14	3,54823184
3	0	12436,14	3,54807901
3	0	12441,14	3,54807901
3	0	12446,14	3,54800272
3	0	12451,14	3,54798365
3	0	12456,14	3,54792643
3	0	12461,14	3,54783082
3	0	12466,14	3,54765892
3	0	12471,14	3,54790735
3	0	12476,14	3,54783082
3	0	12481,14	3,54781175
3	0	12486,14	3,54763985
3	0	12491,14	3,5476017
3	0	12496,14	3,54758263
3	0	12501,14	3,5474298
3	0	12506,14	3,54735351
3	0	12511,14	3,54729629
3	0	12516,14	3,54741073
3	0	12521,14	3,54733443
3	0	12526,14	3,54733443
3	0	12531,14	3,54720068
3	0	12536,14	3,54721975
3	0	12541,14	3,54706717
3	0	12546,14	3,54706717
3	0	12551,14	3,54704809
3	0	12556,14	3,54700971
3	0	12561,14	3,54687619
3	0	12566,14	3,54689527
3	0	12571,14	3,54687619
3	0	12576,14	3,54676151
3	0	12581,14	3,54666615
3	0	12586,14	3,54670429
3	0	12591,14	3,54655147
3	0	12596,14	3,54657054
3	0	12601,14	3,54657054
3	0	12606,14	3,54647517
3	0	12611,14	3,54643703
3	0	12616,14	3,54632235
3	0	12621,14	3,54632235
3	0	12626,14	3,54641795
3	0	12631,14	3,54626513
3	0	12636,14	3,5462079
3	0	12641,14	3,54613137
3	0	12646,14	3,54605508
3	0	12651,14	3,54607415
3	0	12656,14	3,54595947
3	0	12661,14	3,5459404
3	0	12666,14	3,54586411
3	0	12671,14	3,54578781
3	0	12676,14	3,54580688
3	0	12681,14	3,54578781
3	0	12686,14	3,54561591
3	0	12691,14	3,54555869
3	0	12696,14	3,54555869
3	0	12701,14	3,54546309
3	0	12706,14	3,54555869
3	0	12711,14	3,54538679
3	0	12716,14	3,54534864
3	0	12721,14	3,54532957
3	0	12726,14	3,54536772
3	0	12731,14	3,54517674
3	0	12736,14	3,54523396
3	0	12741,14	3,5451386
3	0	12746,14	3,54515767
3	0	12751,14	3,5451386
3	0	12756,14	3,54506207
3	0	12761,14	3,54498577
3	0	12766,14	3,54485202
3	0	12771,14	3,5449667
3	0	12776,14	3,5447948
3	0	12781,14	3,54483294
3	0	12786,14	3,54477572
3	0	12791,14	3,54475665
3	0	12796,14	3,54475665
3	0	12801,14	3,5446229
3	0	12806,14	3,5446229
3	0	12811,14	3,54452753
3	0	12816,14	3,54450846
3	0	12821,14	3,54443192
3	0	12826,14	3,54443192
3	0	12831,14	3,54433656
3	0	12836,14	3,54435563
3	0	12841,14	3,54418373
3	0	12846,14	3,54414558
3	0	12851,14	3,54414558
3	0	12856,14	3,54406929
3	0	12861,14	3,5440309
3	0	12866,14	3,54414558
3	0	12871,14	3,54391646
3	0	12876,14	3,54401183
3	0	12881,14	3,54385924
3	0	12886,14	3,54382086
