EC-Lab ASCII FILE
Nb header lines : 3                           
mode	ox/red	error	control changes	Ns changes	counter inc.	Ns	time/s	control/V/mA	Ewe/V	dq/mA.h	<I>/mA	P/W	(Q-Qo)/mA.h	x	Capacity/mA.h
1	0	0	1	1	0	1	111882,12	-0,100000001	4,19535828	0	0	0	0	0	0
1	0	0	1	0	0	1	111892,12	-0,100000001	4,1083622	-0,00027634775750341939	-0,099483226633648947	0,000408713124	-0,00027634775750341939	1,0310906385964197E-005	0,00027634775750341939
1	0	0	1	0	0	1	111902,12	-0,100000001	4,0809989	-0,00027772111580562262	-0,099977625975097088	0,000408008578	-0,00055406887330904205	2,0673054616683472E-005	0,00055406887330904205
1	0	0	1	0	0	1	111912,12	-0,100000001	4,06600952	-0,00027772189014239446	-0,099977904712204326	0,000406511099	-0,00083179076345143654	3,1035231738948813E-005	0,00083179076345143654
1	0	0	1	0	0	1	111922,12	-0,100000001	4,05548811	-0,00027772175777869091	-0,099977856708395482	0,000405458995	-0,0011095125212301274	4,1397403922546406E-005	0,0011095125212301274
1	0	0	1	0	0	1	111932,12	-0,100000001	4,04733467	-0,00027772201334602301	-0,099977948710816589	0,000404644205	-0,0013872345345761506	5,1759585641704781E-005	0,0013872345345761506
1	0	0	1	0	0	1	111942,12	-0,100000001	4,04047966	-0,00027772244518333008	-0,099978104313494976	0,000403959508	-0,0016649569797594806	6,2121783473293683E-005	0,0016649569797594806
1	0	0	1	0	0	1	111952,12	-0,100000001	4,03434992	-0,0002777227434433169	-0,099978211913087962	0,000403347105	-0,0019426797232027974	7,2483992433363725E-005	0,0019426797232027974
1	0	0	1	0	0	1	111962,12	-0,100000001	4,02888918	-0,00027772284619965488	-0,099978248903474765	0,000402801292	-0,0022204025694024525	8,284620522741088E-005	0,0022204025694024525
1	0	0	1	0	0	1	111972,12	-0,100000001	4,02392435	-0,00027772313048856128	-0,099978350961472346	0,000402305333	-0,0024981256998910134	9,3208428628659354E-005	0,0024981256998910134
1	0	0	1	0	0	1	111982,12	-0,100000001	4,0193224	-0,00027772315938398243	-0,09997836127516361	0,00040184526	-0,0027758488592749958	0,00010357065310803485	0,0027758488592749958
1	0	0	1	0	0	1	111992,12	-0,100000001	4,01500702	-0,00027772324119880797	-0,099978390765162778	0,000401413941	-0,0030535721004738035	0,0001139328806400315	0,0030535721004738035
1	0	0	1	0	0	1	112002,12	-0,100000001	4,01101637	-0,00027772273075083891	-0,099978207342722317	0,000401014229	-0,0033312948312246426	0,00012429508912652811	0,0033312948312246426
1	0	0	1	0	0	1	112012,12	-0,100000001	4,00719738	-0,00027772266726651123	-0,099978184488815987	0,000400632329	-0,0036090174984911539	0,00013465729524433912	0,0036090174984911539
1	0	0	1	0	0	1	112022,12	-0,100000001	4,00345469	-0,0002777229090784159	-0,099978271362472051	0,00040025849	-0,0038867404075695699	0,00014501951038447738	0,0038867404075695699
1	0	0	1	0	0	1	112032,12	-0,100000001	4,0001893	-0,00027772291864496141	-0,099978274610829005	0,000399932032	-0,0041644633262145312	0,00015538172588155632	0,0041644633262145312
1	0	0	1	0	0	1	112042,12	-0,100000001	3,99688578	-0,00027772276818462544	-0,099978220446324109	0,000399601529	-0,0044421860943991565	0,00016574393576475786	0,0044421860943991565
1	0	0	1	0	0	1	112052,13	-0,100000001	3,99369693	-0,0002777225857989656	-0,099978155096047539	0,000399282464	-0,0047199086801981229	0,00017610613884290522	0,0047199086801981229
1	0	0	1	0	0	1	112062,13	-0,100000001	3,99067998	-0,00027772270599959622	-0,099978198432596518	0,000398981007	-0,0049976313861977184	0,00018646834640589965	0,0049976313861977184
1	0	0	1	0	0	1	112072,13	-0,100000001	3,98779655	-0,00027772266178992061	-0,099978182447595226	0,000398692646	-0,0052753540479876397	0,00019683055231937168	0,0052753540479876397
1	0	0	1	0	0	1	112082,13	-0,100000001	3,98497057	-0,0002777226047631767	-0,099978161615619878	0,000398410019	-0,005553076652750816	0,00020719275610509923	0,005553076652750816
1	0	0	1	0	0	1	112092,13	-0,100000001	3,98229742	-0,00027772282817587254	-0,09997824204260073	0,000398143107	-0,005830799480926688	0,00021755496822665482	0,005830799480926688
1	0	0	1	0	0	1	112102,13	-0,100000001	3,97958589	-0,00027772290384065776	-0,099978269482153843	0,000397872122	-0,0061085223847673459	0,00022791718317136531	0,0061085223847673459
1	0	0	1	0	0	1	112112,13	-0,100000001	3,9770081	-0,00027772240359087782	-0,099978089567463757	0,00039761368	-0,0063862447883582246	0,0002382793794510839	0,0063862447883582246
1	0	0	1	0	0	1	112122,13	-0,100000001	3,97452569	-0,00027772246494226986	-0,099978111653528422	0,000397365569	-0,0066639672533004941	0,00024864157801990541	0,0066639672533004941
1	0	0	1	0	0	1	112132,13	-0,100000001	3,97213888	-0,00027772281408061584	-0,099978237000997158	0,000397127442	-0,0069416900673811098	0,00025900378961554803	0,0069416900673811098
1	0	0	1	0	0	1	112142,13	-0,100000001	3,96979022	-0,00027772268142716752	-0,099978189214111091	0,000396892428	-0,0072194127488082778	0,00026936599626171216	0,0072194127488082778
1	0	0	1	0	0	1	112152,13	-0,100000001	3,96732688	-0,00027772250916270742	-0,099978127294405094	0,000396645919	-0,007497135257970985	0,0002797281964804577	0,007497135257970985
1	0	0	1	0	0	1	112162,13	-0,100000001	3,96518826	-0,00027772240321545136	-0,099978089433476774	0,000396431948	-0,0077748576611864371	0,00029009039274616858	0,0077748576611864371
1	0	0	1	0	0	1	112172,13	-0,100000001	3,9630115	-0,00027772259632456634	-0,099978158951384371	0,0003962146	-0,0080525802575110029	0,00030045259621704026	0,0080525802575110029
1	0	0	1	0	0	1	112182,13	-0,100000001	3,96075821	-0,00027772256986258755	-0,099978149192485094	0,000395989278	-0,0083303028273735898	0,00031081479870057984	0,0083303028273735898
1	0	0	1	0	0	1	112192,13	-0,100000001	3,95875335	-0,00027772304338051213	-0,09997831951590359	0,00039578951	-0,0086080258707541005	0,00032117701885170989	0,0086080258707541005
1	0	0	1	0	0	1	112202,13	-0,100000001	3,95667195	-0,00027772288821016746	-0,099978263655683597	0,000395581184	-0,0088857487589642688	0,00033153923321322573	0,0088857487589642688
1	0	0	1	0	0	1	112212,13	-0,100000001	3,95468616	-0,00027772237610734173	-0,099978079660783642	0,00039538194	-0,0091634711350716109	0,0003419014284674967	0,0091634711350716109
1	0	0	1	0	0	1	112222,13	-0,100000001	3,95264292	-0,00027772293151832288	-0,099978279618752154	0,000395178446	-0,0094411940665899354	0,00035226364444489811	0,0094411940665899354
1	0	0	1	0	0	1	112232,13	-0,100000001	3,95056152	-0,00027772256365211472	-0,099978147063835648	0,000394969829	-0,0097189166302420493	0,00036262584669671661	0,0097189166302420493
1	0	0	1	0	0	1	112242,13	-0,100000001	3,94878578	-0,00027772224161691136	-0,099978030886712154	0,00039479183	-0,0099966388718589606	0,00037298803693296877	0,0099966388718589606
1	0	0	1	0	0	1	112252,13	-0,100000001	3,94704819	-0,00027772262429239024	-0,099978168647161677	0,000394618663	-0,01027436149615135	0,00038335024144735744	0,01027436149615135
1	0	0	1	0	0	1	112262,13	-0,100000001	3,94510031	-0,00027772211056906317	-0,099977983961816026	0,000394423172	-0,010552083606720413	0,00039371242679403821	0,010552083606720413
1	0	0	1	0	0	1	112272,13	-0,100000001	3,94336271	-0,00027772226553161936	-0,099978039868276749	0,000394249684	-0,010829805872252032	0,00040407461792258022	0,010829805872252032
1	0	0	1	0	0	1	112282,13	-0,100000001	3,94164419	-0,00027772201208604707	-0,099977948606396262	0,000394077506	-0,011107527884338078	0,00041443679959472717	0,011107527884338078
1	0	0	1	0	0	1	112292,13	-0,100000001	3,93979216	-0,0002777218614887032	-0,099977894043261978	0,000393892115	-0,011385249745826782	0,0004247989756478848	0,011385249745826782
1	0	0	1	0	0	1	112302,13	-0,100000001	3,9380734	-0,00027772223760311802	-0,099978029441775117	0,000393720809	-0,011662971983429901	0,0004351611657343769	0,011662971983429901
1	0	0	1	0	0	1	112312,13	-0,100000001	3,93641233	-0,00027772259701622861	-0,09997815897691369	0,000393555267	-0,011940694580446131	0,00044552336923105542	0,011940694580446131
1	0	0	1	0	0	1	112322,13	-0,100000001	3,93469381	-0,00027772258839797645	-0,099978156097868403	0,000393383438	-0,012218417168844109	0,00045588557240617536	0,012218417168844109
1	0	0	1	0	0	1	112332,13	-0,100000001	3,93301344	-0,0002777224900002281	-0,099978120675379008	0,000393215305	-0,012496139658844336	0,00046624777190994304	0,012496139658844336
1	0	0	1	0	0	1	112342,13	-0,100000001	3,93144751	-0,00027772325736284253	-0,099978396631819238	0,000393059832	-0,012773862916207181	0,0004766100000450416	0,012773862916207181
1	0	0	1	0	0	1	112352,13	-0,100000001	3,92976713	-0,00027772382217645642	-0,099978599875738227	0,000392892602	-0,013051586738383637	0,00048697224925409542	0,013051586738383637
1	0	0	1	0	0	1	112362,13	-0,100000001	3,92825866	-0,00027772252529362835	-0,099978133049047462	0,000392739981	-0,013329309263677266	0,00049733445007470733	0,013329309263677266
1	0	0	1	0	0	1	112372,13	-0,100000001	3,92667389	-0,00027772337886773878	-0,099978440660195558	0,000392582733	-0,013607032642545003	0,0005076966827433168	0,013607032642545003
1	0	0	1	0	0	1	112382,13	-0,100000001	3,92520356	-0,00027772308207303283	-0,099978333816212813	0,000392435322	-0,013884755724618035	0,0005180589043381168	0,013884755724618035
1	0	0	1	0	0	1	112392,13	-0,100000001	3,92386699	-0,00027772279997790858	-0,099978232077754624	0,00039230127	-0,014162478524595946	0,00052842111540756845	0,014162478524595946
1	0	0	1	0	0	1	112402,13	-0,100000001	3,92216754	-0,00027772227797740038	-0,0999780439750656	0,000392130634	-0,014440200802573344	0,0005387833070004793	0,014440200802573344
