EC-Lab ASCII FILE
Nb header lines : 48                          

Open Circuit Voltage

Run on channel : 1 (SN 6985)
Grouped channel(s) : 1
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Ewe ctrl range : min = 0,00 V, max = 5,00 V
Acquisition started on : 01.22.2015 12:12:33
Saved on :
	File : LiCoO2 vs Li_07_OCV_C01.mpr
	Directory : C:\Hupfer\Studenten Batterietests\
	Host : 192.168.0.2
Device : VMP3 (SN 0324)
Address : 192.168.0.1
EC-Lab for windows v10.33 (software)
Internet server v10.33 (firmware)
Command interpretor v10.32 (firmware)
Electrode material : LATP vs Li
Initial state : charged
Electrolyte : DME:Diox 1:2, 1M LiTFSi
Comments : LATP als Elektrode, normaler Seperator und Elektrolyt, Goldschicht teilweise vorhanden, elektrolytschonend, Probe2
Mass of active material : 0,001 mg
 at x = 0,000
Molecular weight of active material (at x = 0) : 0,001 g/mol
Atomic weight of intercalated ion : 0,001 g/mol
Acquisition started at : xo = 0,000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26,801 mA.h
Battery capacity : 0,000 A.h
Reference electrode : Li+/Li (-3,020 V)
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
Create one data file per loop
tR (h:m:s)          3:00:0,0000         
dER/dt (mV/h)       0,0                 
dER (mV)            0,00                
dtR (s)             60,0000             
E range min (V)     0,000               
E range max (V)     5,000               

Number of loops : 1
Loop 0 from point number 0 to 180

mode	error	time/s	Ewe/V
3	0	332818,5744	4,1961031
3	0	332878,5745	4,06039572
3	0	332938,5747	4,03721428
3	0	332998,5748	4,02778149
3	0	333058,5750	4,02232027
3	0	333118,5751	4,01815748
3	0	333178,5753	4,01510239
3	0	333238,5754	4,01261997
3	0	333298,5756	4,01050043
3	0	333358,5758	4,00849581
3	0	333418,5759	4,00681543
3	0	333478,5761	4,00526857
3	0	333538,5762	4,00395107
3	0	333598,5764	4,00259542
3	0	333658,5765	4,00131607
3	0	333718,5767	4,00013208
3	0	333778,5768	3,99890995
3	0	333838,5770	3,99806976
3	0	333898,5772	3,99690485
3	0	333958,5773	3,99591208
3	0	334018,5775	3,99512911
3	0	334078,5776	3,99428892
3	0	334138,5778	3,99350595
3	0	334198,5779	3,99264669
3	0	334258,5781	3,99192119
3	0	334318,5782	3,99106193
3	0	334378,5784	3,99037457
3	0	334438,5786	3,98966789
3	0	334498,5787	3,98913336
3	0	334558,5789	3,98835039
3	0	334618,5790	3,9877584
3	0	334678,5792	3,98707104
3	0	334738,5793	3,98653626
3	0	334798,5795	3,98592544
3	0	334858,5796	3,98539066
3	0	334918,5798	3,9847796
3	0	334978,5800	3,98420668
3	0	335038,5801	3,98369122
3	0	335098,5803	3,9832902
3	0	335158,5804	3,98260283
3	0	335218,5806	3,98220181
3	0	335278,5807	3,98162889
3	0	335338,5809	3,98109436
3	0	335398,5810	3,98071241
3	0	335458,5812	3,98019695
3	0	335518,5813	3,9797194
3	0	335578,5815	3,97929931
3	0	335638,5817	3,97882199
3	0	335698,5818	3,97832561
3	0	335758,5820	3,97786736
3	0	335818,5821	3,97756171
3	0	335878,5823	3,97719908
3	0	335938,5824	3,97672153
3	0	335998,5826	3,97626328
3	0	336058,5827	3,97582412
3	0	336118,5829	3,97557592
3	0	336178,5831	3,97509861
3	0	336238,5832	3,97462106
3	0	336298,5834	3,97435379
3	0	336358,5835	3,97395277
3	0	336418,5837	3,97345638
3	0	336478,5838	3,97315073
3	0	336538,5840	3,97296
