EC-Lab ASCII FILE
Nb header lines : 48                          

Open Circuit Voltage

Run on channel : 2 (SN 6986)
Grouped channel(s) : 2
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Ewe ctrl range : min = 0,00 V, max = 5,00 V
Acquisition started on : 01.22.2015 12:13:34
Saved on :
	File : S vs Li_01_OCV_C02.mpr
	Directory : C:\Hupfer\Studenten Batterietests\
	Host : 192.168.0.2
Device : VMP3 (SN 0324)
Address : 192.168.0.1
EC-Lab for windows v10.33 (software)
Internet server v10.33 (firmware)
Command interpretor v10.32 (firmware)
Electrode material : S vs Li
Initial state : charged
Electrolyte : DME:Diox 1:2, 1M LiTFSi
Comments : 
Mass of active material : 0,001 mg
 at x = 0,000
Molecular weight of active material (at x = 0) : 0,001 g/mol
Atomic weight of intercalated ion : 0,001 g/mol
Acquisition started at : xo = 0,000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26,801 mA.h
Battery capacity : 0,000 A.h
Reference electrode : Li+/Li (-3,020 V)
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
Create one data file per loop
tR (h:m:s)          1:00:0,0000         
dER/dt (mV/h)       0,0                 
dER (mV)            0,00                
dtR (s)             5,0000              
E range min (V)     0,000               
E range max (V)     5,000               

Number of loops : 1
Loop 0 from point number 0 to 720

mode	error	time/s	Ewe/V
3	1	0,0000	2,53045058
3	0	5,0000	2,52724648
3	0	10,0000	2,5240612
3	0	15,0000	2,52102852
3	0	20,0000	2,51801491
3	0	25,0000	2,51488686
3	0	30,0000	2,5117588
3	0	35,0000	2,50880241
3	0	40,0000	2,50584602
3	0	45,0000	2,50296593
3	0	50,0000	2,50004768
3	0	55,0000	2,49712944
3	0	60,0000	2,49434471
3	0	65,0000	2,4916935
3	0	70,0000	2,48898506
3	0	75,0000	2,48620057
3	0	80,0000	2,48364472
3	0	85,0000	2,48105073
3	0	90,0000	2,47853303
3	0	95,0000	2,47593904
3	0	100,0000	2,4735167
3	0	105,0000	2,47101808
3	0	110,0000	2,4685576
3	0	115,0000	2,46619248
3	0	120,0000	2,46382737
3	0	125,0000	2,46142411
3	0	130,0000	2,45888734
3	0	135,0000	2,45659852
3	0	140,0000	2,45413804
3	0	145,0000	2,45202088
3	0	150,0000	2,44978929
3	0	155,0000	2,44780564
3	0	160,0000	2,44572687
3	0	165,0000	2,4440484
3	0	170,0000	2,44240808
3	0	175,0000	2,44088221
3	0	180,0000	2,43941355
3	0	185,0000	2,43811655
3	0	190,0000	2,43702936
3	0	195,0000	2,4359231
3	0	200,0000	2,43485498
3	0	205,0000	2,43390131
3	0	210,0000	2,433043
3	0	215,0000	2,43205118
3	0	220,0000	2,43128824
3	0	225,0000	2,43031549
3	0	230,0000	2,42972422
3	0	235,0000	2,42920923
3	0	240,0000	2,42850351
3	0	245,0000	2,4280076
3	0	250,0000	2,42732096
3	0	255,0000	2,42676783
3	0	260,0000	2,42623377
3	0	265,0000	2,42579508
3	0	270,0000	2,42526102
3	0	275,0000	2,42478418
3	0	280,0000	2,42419291
3	0	285,0000	2,42392588
3	0	290,0000	2,42342997
3	0	295,0000	2,42316294
3	0	300,0000	2,42266703
3	0	305,0000	2,42222834
3	0	310,0000	2,42190409
3	0	315,0000	2,42161798
3	0	320,0000	2,42125559
3	0	325,0000	2,42098856
3	0	330,0000	2,42056894
3	0	335,0000	2,42034006
3	0	340,0000	2,41997766
3	0	345,0000	2,41971064
3	0	350,0000	2,4195199
3	0	355,0000	2,41915751
3	0	360,0000	2,41890955
3	0	365,0000	2,41866159
3	0	370,0000	2,41850901
3	0	375,0000	2,4182229
3	0	380,0000	2,4180131
3	0	385,0000	2,41768885
3	0	390,0000	2,41751719
3	0	395,0000	2,41738367
3	0	400,0000	2,41702127
3	0	405,0000	2,41684961
3	0	410,0000	2,41683054
3	0	415,0000	2,41633463
3	0	420,0000	2,41633463
3	0	425,0000	2,41622019
3	0	430,0000	2,41595316
3	0	435,0000	2,4157052
3	0	440,0000	2,41560984
3	0	445,0000	2,41538095
3	0	450,0000	2,41524744
3	0	455,0000	2,41509485
3	0	460,0000	2,41496134
3	0	465,0000	2,41467524
3	0	470,0000	2,41454172
3	0	475,0000	2,41440821
3	0	480,0000	2,41421747
3	0	485,0000	2,41410303
3	0	490,0000	2,41410303
3	0	495,0000	2,41389322
3	0	500,0000	2,41370249
3	0	505,0000	2,41362619
3	0	510,0000	2,41347361
3	0	515,0000	2,41322565
3	0	520,0000	2,4132638
3	0	525,0000	2,41305399
3	0	530,0000	2,41301584
3	0	535,0000	2,41272974
3	0	540,0000	2,41257715
3	0	545,0000	2,41253901
3	0	550,0000	2,41242456
3	0	555,0000	2,4123292
3	0	560,0000	2,4122529
3	0	565,0000	2,41200495
3	0	570,0000	2,41200495
3	0	575,0000	2,41189051
3	0	580,0000	2,41183329
3	0	585,0000	2,41173792
3	0	590,0000	2,41156626
3	0	595,0000	2,41133738
3	0	600,0000	2,41143274
3	0	605,0000	2,41120386
3	0	610,0000	2,41120386
3	0	615,0000	2,41101313
3	0	620,0000	2,4110322
3	0	625,0000	2,41089869
3	0	630,0000	2,4106698
3	0	635,0000	2,41061258
3	0	640,0000	2,41059351
