EC-Lab ASCII FILE
Nb header lines : 3                           
mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	P/W
2	0	0	1	0	8780,86	2,39425302	2,39542794	-0,02055450715124607	8	0	4,92368417E-005
2	0	0	1	0	8780,89	2,39395237	2,39443612	-0,02185977876069961	8	-6,55248016E-007	5,23418421E-005
2	0	0	1	0	8780,94	2,39345241	2,3939054	-0,024015098577365251	8	-1,81767166E-006	5,74898731E-005
2	0	0	1	0	8780,99	2,39295244	2,39354491	-0,026126724386510202	8	-3,08672861E-006	6,25354878E-005
2	0	0	1	0	8781,04	2,39245296	2,39303565	-0,02828172317167832	8	-4,46261356E-006	6,76791751E-005
2	0	0	1	0	8781,09	2,39195156	2,39237285	-0,030472095174155834	8	-5,95012625E-006	7,29006133E-005
2	0	0	1	0	8781,14	2,39145303	2,39177179	-0,032642758769722227	8	-7,54085613E-006	7,80740302E-005
2	0	0	0	0	8781,19	2,39095187	2,39165235	-0,034858106489215834	8	-9,25168024E-006	8,33684753E-005
2	0	0	0	0	8781,24	2,39045191	2,39106154	-0,037086581064310618	8	-1,10663386E-005	8,86763009E-005
2	0	0	0	0	8781,29	2,38995194	2,39036059	-0,039257425989490086	8	-1,29919072E-005	9,38394005E-005
2	0	0	0	0	8781,34	2,38945222	2,38974977	-0,041414831221724595	8	-1,50242104E-005	9,89710825E-005
2	0	0	0	0	8781,39	2,38895202	2,38950944	-0,043593068054178784	8	-1,71655156E-005	0,000104166051
2	0	0	0	0	8781,44	2,38845158	2,38897872	-0,045851078922472198	8	-1,94180229E-005	0,00010953725
2	0	0	0	0	8781,49	2,38795161	2,388448	-0,048062040489943117	8	-2,17815541E-005	0,000114793685
2	0	0	0	0	8781,54	2,38745165	2,38800764	-0,050282246937664838	8	-2,42556234E-005	0,000120074386
2	0	0	0	0	8781,59	2,38695145	2,38745666	-0,052484833848818189	8	-2,68402127E-005	0,000125305261
2	0	0	0	0	8781,64	2,38645148	2,38691592	-0,054669176985044256	8	-2,95344289E-005	0,000130490735
2	0	0	0	0	8781,69	2,38595152	2,3863554	-0,056895070748093082	8	-3,23400636E-005	0,000135771857
2	0	0	0	0	8781,74	2,38545132	2,38594484	-0,059104461009458982	8	-3,52560673E-005	0,000141019991
2	0	0	0	0	8781,79	2,38495111	2,38544369	-0,061435757864577229	8	-3,82853686E-005	0,000146551538
2	0	0	0	0	8781,84	2,38445139	2,38497329	-0,063567534923398336	8	-4,14259412E-005	0,000151606873
2	0	0	0	0	8781,89	2,38395119	2,38459253	-0,065776615927461645	8	-4,46755548E-005	0,000156850423
2	0	0	0	0	8781,94	2,38345122	2,38414192	-0,068032135818308915	8	-4,80363269E-005	0,000162198266
2	0	0	0	0	8781,99	2,38295102	2,38349104	-0,070258078553403494	8	-5,15100764E-005	0,000167459497
2	0	0	0	0	8782,04	2,38245082	2,38285017	-0,072499984739503693	8	-5,50948826E-005	0,000172756598
2	0	0	0	0	8782,09	2,38195086	2,38259006	-0,074872991710435712	8	-5,87967224E-005	0,000178391652
2	0	0	0	0	8782,14	2,38145089	2,38197899	-0,077052953594830336	8	-6,26110195E-005	0,000183538519
2	0	0	0	0	8782,19	2,38095093	2,38153839	-0,079233200599749926	8	-6,6533692E-005	0,000188696911
2	0	0	0	0	8782,24	2,38045049	2,38098741	-0,081429691073329651	8	-7,05656785E-005	0,000193883068
2	0	0	0	0	8782,29	2,37995052	2,38042712	-0,083575533547749158	8	-7,47073791E-005	0,000198945461
2	0	0	0	0	8782,34	2,37945056	2,38020658	-0,085910111180661824	8	-7,89610203E-005	0,000204483818
2	0	0	0	0	8782,39	2,37895036	2,37959599	-0,08816735452273865	8	-8,33286031E-005	0,000209802689
2	0	0	0	0	8782,44	2,37845039	2,37927532	-0,090423258836381133	8	-8,78097126E-005	0,00021514183
2	0	0	0	0	8782,49	2,37795019	2,37833428	-0,092735832033213453	8	-9,24041597E-005	0,000220556802
2	0	0	1	0	8782,54	2,37744927	2,37797236	-0,094991513446880563	8	-9,71312911E-005	0,000225887197
2	0	0	0	0	8782,59	2,37695098	2,37748241	-0,09724834841656649	8	-0,000101944599	0,000231206242
2	0	0	1	0	8782,66	2,37624979	2,3766067	-0,10040195020458986	8	-0,000108918917	0,000238615947
2	0	0	1	0	8782,73	2,37555003	2,37615108	-0,10374048573430672	8	-0,000116055657	0,00024650307
2	0	0	1	0	8782,78	2,37505007	2,37553024	-0,10601188863317179	8	-0,000121316218	0,000251834455
2	0	0	1	0	8782,83	2,37454963	2,37513971	-0,10813124408014152	8	-0,000126687068	0,00025682681
2	0	0	1	0	8782,88	2,37404966	2,3745389	-0,11052883703572069	8	-0,000132171161	0,000262455025
2	0	0	1	0	8782,93	2,3735497	2,37417817	-0,11272520734928538	8	-0,000137768264	0,000267629715
2	0	0	1	0	8782,98	2,37304974	2,3735373	-0,11500884018217526	8	-0,000143477533	0,000272977777
2	0	0	1	0	8783,03	2,37254953	2,37310696	-0,11745175397178786	8	-0,000149305401	0,00027872558
2	0	0	1	0	8783,08	2,37204957	2,37233567	-0,11964282909563461	8	-0,000155249625	0,000283832953
2	0	0	1	0	8783,13	2,37154937	2,37199521	-0,12198417315570032	8	-0,000161307151	0,000289345888
2	0	0	1	0	8783,18	2,3710494	2,37137437	-0,12422784724428037	8	-0,000167479287	0,000294590747
2	0	0	1	0	8783,23	2,3705492	2,37107396	-0,12656568080031643	8	-0,000173765919	0,000300096581
2	0	0	1	0	8783,28	2,37004924	2,37059331	-0,12876053115663416	8	-0,000180164687	0,000305238849
2	0	0	1	0	8783,33	2,36954927	2,37002277	-0,13095353629129653	8	-0,000186675068	0,00031036287
2	0	0	1	0	8783,38	2,36904931	2,36954188	-0,13347645142736566	8	-0,000193304542	0,000316278049
2	0	0	1	0	8783,43	2,36854887	2,36909127	-0,13568703892330269	8	-0,000200049952	0,00032145498
2	0	0	1	0	8783,48	2,36804891	2,36858058	-0,1378426225855951	8	-0,000206903671	0,000326491368
2	0	0	1	0	8783,53	2,36754894	2,36800981	-0,1402659292022388	8	-0,000213873558	0,000332151103
2	0	0	1	0	8783,58	2,36704874	2,36736894	-0,14253256892940613	8	-0,000220959933	0,000337427162
2	0	0	1	0	8783,63	2,36654878	2,36692834	-0,14475849014706886	8	-0,000228158984	0,000342632964
2	0	0	1	0	8783,68	2,36604857	2,36675811	-0,1472325827926393	8	-0,000235476487	0,000348463916
2	0	0	1	0	8783,73	2,36554837	2,36599684	-0,1495638522707552	8	-0,000242912924	0,000353867596
2	0	0	1	0	8783,78	2,36504841	2,36562681	-0,15188580685450394	8	-0,00025046448	0,000359305152
2	0	0	1	0	8783,83	2,36454844	2,36519599	-0,15412361818986666	8	-0,000258130458	0,000364532578
2	0	0	1	0	8783,88	2,36404872	2,36455512	-0,15646310457183654	8	-0,000265911513	0,000369965623
2	0	0	1	0	8783,93	2,36354756	2,36413407	-0,15878361882824166	8	-0,000273825484	0,000375385775
2	0	0	1	0	8783,98	2,36304808	2,36346364	-0,16124439249287565	8	-0,000281828805	0,000381095248
2	0	0	1	0	8784,03	2,36254907	2,36312366	-0,16351719205652419	8	-0,000289966731	0,000386411353
2	0	0	0	0	8784,08	2,36204767	2,36260223	-0,16596237911841437	8	-0,000298253493	0,000392103102
2	0	0	0	0	8784,13	2,36154795	2,36202145	-0,16834247011380854	8	-0,000306627422	0,000397628522
2	0	0	0	0	8784,18	2,36104798	2,36152077	-0,17098295141477181	8	-0,000315126177	0,000403779792
2	0	0	0	0	8784,23	2,36054802	2,36105013	-0,17344134572582925	8	-0,00032375619	0,0004095037
2	0	0	0	0	8784,28	2,36004782	2,36060953	-0,17568190931342586	8	-0,000332502212	0,0004147164
2	0	0	0	0	8784,33	2,35954762	2,36001873	-0,17813859596693261	8	-0,000341366074	0,000420410419
2	0	0	0	0	8784,38	2,35904789	2,35966825	-0,18055833872252458	8	-0,00035034999	0,000426057784
2	0	0	0	0	8784,43	2,35854769	2,35901737	-0,18287573428824544	8	-0,000359451747	0,000431407039
2	0	0	0	0	8784,48	2,35804772	2,35856676	-0,18533989783221168	8	-0,000368674868	0,000437136536
2	0	0	0	0	8784,53	2,35754752	2,35803628	-0,18777993895734381	8	-0,000378021621	0,000442791905
2	0	0	0	0	8784,58	2,35704756	2,35738516	-0,1900771017341567	8	-0,000387485517	0,000448084931
2	0	0	0	0	8784,63	2,35654736	2,3570447	-0,19248888979200275	8	-0,000397065654	0,00045370491
2	0	0	0	0	8784,68	2,35604739	2,3566041	-0,19485257752239747	8	-0,000406767998	0,000459190371
2	0	0	0	0	8784,73	2,35554743	2,35605335	-0,19720216289473046	8	-0,000416585623	0,000464618817
2	0	0	0	0	8784,78	2,35504699	2,35528231	-0,19955854560248598	8	-0,000426521117	0,000470016705
