EC-Lab ASCII FILE
Nb header lines : 3                           
mode	error	time/s	Ewe/V
3	0	11741,20	2,3973949
3	0	11746,20	2,38957477
3	0	11751,20	2,38463473
3	0	11756,20	2,38082004
3	0	11761,20	2,37784457
3	0	11766,20	2,37526965
3	0	11771,20	2,37298083
3	0	11776,20	2,37105441
3	0	11781,20	2,36918521
3	0	11786,20	2,36762118
3	0	11791,20	2,36622882
3	0	11796,20	2,36491275
3	0	11801,20	2,36363506
3	0	11806,20	2,36270046
3	0	11811,20	2,36167049
3	0	11816,20	2,36069775
3	0	11821,20	2,35985851
3	0	11826,20	2,35911465
3	0	11831,20	2,35856152
3	0	11836,20	2,35776043
3	0	11841,20	2,35726452
3	0	11846,20	2,35653973
3	0	11851,20	2,35608196
3	0	11856,20	2,3556242
3	0	11861,20	2,35518551
3	0	11866,20	2,3546896
3	0	11871,20	2,35436535
3	0	11876,20	2,35385036
3	0	11881,20	2,35362148
3	0	11886,20	2,35325909
3	0	11891,20	2,35280132
3	0	11896,20	2,35255337
3	0	11901,20	2,35228634
3	0	11906,20	2,35198116
3	0	11911,20	2,3518858
3	0	11916,20	2,35146618
3	0	11921,20	2,35127544
3	0	11926,20	2,35108471
3	0	11931,20	2,35077953
3	0	11936,20	2,35049343
3	0	11941,20	2,35039806
3	0	11946,20	2,35011196
3	0	11951,20	2,35009289
3	0	11956,20	2,34988308
3	0	11961,20	2,34967327
3	0	11966,20	2,34948254
3	0	11971,20	2,34915829
3	0	11976,20	2,34915829
3	0	11981,20	2,34892941
3	0	11986,20	2,34866238
3	0	11991,20	2,34868145
3	0	11996,20	2,34845257
3	0	12001,20	2,34816647
3	0	12006,20	2,3480711
3	0	12011,20	2,34793758
3	0	12016,20	2,34780407
3	0	12021,20	2,34767056
3	0	12026,20	2,34761333
3	0	12031,20	2,34732723
3	0	12036,20	2,34709835
3	0	12041,20	2,34692669
3	0	12046,20	2,34694576
3	0	12051,20	2,34681225
3	0	12056,20	2,34665966
3	0	12061,20	2,34656429
3	0	12066,20	2,34639263
3	0	12071,20	2,34627819
3	0	12076,20	2,34622097
3	0	12081,20	2,34589672
3	0	12086,20	2,3458395
3	0	12091,20	2,34585857
3	0	12096,20	2,34562969
3	0	12101,20	2,34557247
3	0	12106,20	2,34540081
3	0	12111,20	2,34524822
3	0	12116,20	2,34513378
3	0	12121,20	2,34515285
3	0	12126,20	2,34500027
3	0	12131,20	2,34480953
3	0	12136,20	2,34473324
3	0	12141,20	2,34458065
3	0	12146,20	2,34442806
3	0	12151,20	2,34438992
3	0	12156,20	2,34419918
3	0	12161,20	2,34412289
3	0	12166,20	2,34412289
3	0	12171,20	2,343894
3	0	12176,20	2,34387493
3	0	12181,20	2,34374142
3	0	12186,20	2,3436079
3	0	12191,20	2,34345531
3	0	12196,20	2,34337902
3	0	12201,20	2,34328365
3	0	12206,20	2,34313107
3	0	12211,20	2,3430357
3	0	12216,20	2,34282589
3	0	12221,20	2,34284496
3	0	12226,20	2,34282589
3	0	12231,20	2,34253979
3	0	12236,20	2,34265423
3	0	12241,20	2,34252071
3	0	12246,20	2,34231091
3	0	12251,20	2,34219646
3	0	12256,20	2,34215832
3	0	12261,20	2,34212017
3	0	12266,20	2,34175777
3	0	12271,20	2,34185314
3	0	12276,20	2,34162426
3	0	12281,20	2,34158611
3	0	12286,20	2,34156704
3	0	12291,20	2,34143353
3	0	12296,20	2,34139538
3	0	12301,20	2,34118557
3	0	12306,20	2,34122372
3	0	12311,20	2,34112835
3	0	12316,20	2,34091854
3	0	12321,20	2,34095669
3	0	12326,20	2,3408041
3	0	12331,20	2,34068966
3	0	12336,20	2,34068966
3	0	12341,20	2,34057522
3	0	12346,20	2,34032726
3	0	12351,20	2,34032726
3	0	12356,20	2,34028912
3	0	12361,20	2,34019375
3	0	12366,20	2,34013653
3	0	12371,20	2,34004116
3	0	12376,20	2,33996487
3	0	12381,20	2,33988857
3	0	12386,20	2,33971691
3	0	12391,20	2,33960247
3	0	12396,20	2,33956432
3	0	12401,20	2,33954525
3	0	12406,20	2,33944988
3	0	12411,20	2,33933544
3	0	12416,20	2,33920193
3	0	12421,20	2,33912563
3	0	12426,20	2,33912563
3	0	12431,20	2,33895397
3	0	12436,20	2,33908749
3	0	12441,20	2,33883953
3	0	12446,20	2,3386488
3	0	12451,20	2,33874416
3	0	12456,20	2,33868694
3	0	12461,20	2,33853436
3	0	12466,20	2,33840084
3	0	12471,20	2,33822918
3	0	12476,20	2,33824825
3	0	12481,20	2,33822918
3	0	12486,20	2,33803844
3	0	12491,20	2,33817196
3	0	12496,20	2,33798122
3	0	12501,20	2,33801937
3	0	12506,20	2,33782864
3	0	12511,20	2,33777142
3	0	12516,20	2,3376379
3	0	12521,20	2,33759975
3	0	12526,20	2,33756161
3	0	12531,20	2,33738995
3	0	12536,20	2,33733273
3	0	12541,20	2,33719921
3	0	12546,20	2,33727551
