EC-Lab ASCII FILE
Nb header lines : 3                           
mode	ox/red	error	control changes	Ns changes	counter inc.	Ns	time/s	control/V/mA	Ewe/V	dq/mA.h	<I>/mA	P/W	(Q-Qo)/mA.h	x	Capacity/mA.h
1	0	0	1	1	0	1	146805,94	-0,100000001	2,38049579	0	0	0	0	0	0
1	0	0	1	0	0	1	146815,94	-0,100000001	2,25175047	-0,00027633307259919984	-0,09947989056623776	0,000224003888	-0,00027633307259919984	1,0310358472443702E-005	0,00027633307259919984
1	0	0	1	0	0	1	146825,94	-0,100000001	2,24629545	-0,00027770626563496061	-0,09997423998639703	0,000224571675	-0,00055403933823416038	2,0671952623329309E-005	0,00055403933823416038
1	0	0	1	0	0	1	146835,94	-0,100000001	2,24349165	-0,00027770745027106672	-0,099974666455328512	0,000224292336	-0,00083174678850522714	3,1033590974580794E-005	0,00083174678850522714
1	0	0	1	0	0	1	146845,94	-0,100000001	2,24181318	-0,00027770728639885782	-0,099974607461342541	0,000224124393	-0,0011094540749040848	4,139522321153984E-005	0,0011094540749040848
1	0	0	1	0	0	1	146855,94	-0,100000001	2,24015403	-0,00027770689900509184	-0,099974467999608602	0,00022395821	-0,0013871609739091768	5,1756840994316621E-005	0,0013871609739091768
1	0	0	1	0	0	1	146865,94	-0,100000001	2,23893332	-0,00027770674033173258	-0,099974410877208192	0,000223836047	-0,0016648677142409094	6,2118452856777024E-005	0,0016648677142409094
1	0	0	1	0	0	1	146875,94	-0,100000001	2,23771262	-0,00027770712725487018	-0,099974550169515955	0,00022371432	-0,0019425748414957792	7,248007915585993E-005	0,0019425748414957792
1	0	0	1	0	0	1	146885,94	-0,100000001	2,23687339	-0,00027770766170695424	-0,099974742572236096	0,000223630836	-0,0022202825032027334	8,2841725396068646E-005	0,0022202825032027334
1	0	0	1	0	0	1	146895,94	-0,100000001	2,23647285	-0,00027770752491884762	-0,099974693328525427	0,000223590687	-0,0024979900281215808	9,320336653252919E-005	0,0024979900281215808
1	0	0	1	0	0	1	146905,94	-0,100000001	2,23603415	-0,00027770728391036394	-0,09997460656548489	0,000223546638	-0,0027756973120319446	0,0001035649986766392	0,0027756973120319446
1	0	0	1	0	0	1	146915,94	-0,100000001	2,23511863	-0,00027770775714889168	-0,099974776931328205	0,000223455485	-0,0030534050691808365	0,00011392664847791493	0,0030534050691808365
1	0	0	1	0	0	1	146925,94	-0,100000001	2,23403144	-0,00027770811578010515	-0,09997490603854487	0,000223347088	-0,0033311131849609414	0,00012428831166020344	0,0033311131849609414
1	0	0	1	0	0	1	146935,94	-0,100000001	2,23302054	-0,00027770754658761955	-0,099974701129282099	0,000223245559	-0,0036088207315485613	0,00013464995360515499	0,0036088207315485613
1	0	0	1	0	0	1	146945,94	-0,100000001	2,23179984	-0,00027770773821117149	-0,099974770113750003	0,000223123672	-0,0038865284697597325	0,00014501160269983894	0,0038865284697597325
1	0	0	1	0	0	1	146955,94	-0,100000001	2,23090339	-0,00027770837878891165	-0,099975000721700378	0,000223034571	-0,0041642368485486445	0,00015537327569533962	0,0041642368485486445
1	0	0	1	0	0	1	146965,94	-0,100000001	2,23061728	-0,00027770874925123322	-0,099975134088115277	0,000223006267	-0,0044419455977998771	0,00016573496251328762	0,0044419455977998771
