Index,Name,Value,Error,Initial,Fix,Min,Max,,
0,R0,0.000000,,0.000000,1,0.000000,0.000000,,
1,R1,1.089214,,1.089214,1,0.108921,2.069507,,
2,f1,184.916576,,184.916576,1,18.491658,351.341494,,
3,n1,0.852000,,0.852000,1,0.085200,1,,
2,R2,13.566994,,13.566994,1,1.356699,25.777288,,
4,f2,3992.615132,,3992.615132,1,399.261513,7585.968751,,
6,n2,0.680000,,0.680000,1,0.068000,1,,
3,R3,2.606071,,2.606071,1,0.260607,4.951534,,
6,f3,39741.387905,,39741.387905,1,3974.138791,75508.637020,,
9,n3,0.792000,,0.792000,1,0.079200,1,,
