Index,Name,Value,Error,Initial,Fix,Min,Max,,
0,R0,0.000000,,0.000000,1,0.000000,0.000000,,
1,R1,1.944160,,1.944160,1,0.194416,3.693903,,
2,f1,85.768764,,85.768764,1,8.576876,162.960652,,
3,n1,0.841000,,0.841000,1,0.084100,1,,
2,R2,17.057588,,17.057588,1,1.705759,32.409418,,
4,f2,541.203635,,541.203635,1,54.120363,1028.286906,,
6,n2,0.759000,,0.759000,1,0.075900,1,,
3,R3,12.069828,,12.069828,1,1.206983,22.932674,,
6,f3,6322.411226,,6322.411226,1,632.241123,12012.581330,,
9,n3,0.772000,,0.772000,1,0.077200,1,,
4,R4,0.681688,,0.681688,1,0.068169,1.295207,,
8,f4,215443.383625,,215443.383625,1,21544.338362,409342.428887,,
12,n4,0.860000,,0.860000,1,0.086000,1,,
