Index,Name,Value,Error,Initial,Fix,Min,Max,,
0,R0,-12529.9365,1.52e+04,12.834958,1,0.000000,24.386420,,
1,R1,12542.4537,1.52e+04,0.85478285,1,0.108921,2.069507,,
2,f1,0.006787,3.649413,679.555607,1,18.491664,351.341135,,
3,n1,-0.49942457,0.000680,8.98506006,1,0.085200,1,,
2,R2,29.4131406,1.120066,12.0520010,1,1.356699,25.777288,,
4,f2,3679.911803,1.035412,2610.213311,1,399.261101,7585.967889,,
6,n2,0.75374065,0.008445,1.01463746,1,0.068000,1,,
3,R3,6.17108671,0.925308,18.1123816,1,0.260607,4.951534,,
6,f3,30119.221338,1.079779,14778.930268,1,3974.138515,75508.701169,,
9,n3,0.87787841,0.027816,0.81682636,1,0.079200,1,,
20,A0,749.921496,417.1713,141.194263,1,0,268.269101,,
21,L0,4.2427e-07,2.35e-08,0E+0,1,0,0E+0,,
