Index,Name,Value,Error,Initial,Fix,Min,Max,,
0,R0,12.3375060,1.121632,12.246213,1,0.000000,23.267804,,
1,R1,11.2752862,8.100699,11.9290178,1,1.092330,20.754264,,
2,f1,1322.240149,1.345064,1291.555282,1,159.064403,3022.226435,,
3,n1,1.15321297,0.216172,1.04614934,1,0.071200,1,,
2,R2,21.4140375,9.595089,21.7800820,1,0.750455,14.258650,,
4,f2,10493.528587,1.583587,9725.255056,1,1365.884573,25951.830738,,
6,n2,0.90333127,0.196655,0.85162609,1,0.074400,1,,
3,R3,0.36858621,1.928720,0.46289322,1,0.097781,1.857848,,
6,f3,100712.410336,1.560914,31600.212274,1,11.659180,221.524110,,
9,n3,9.43042565,3.207923,5.00714115,1,0.087000,1,,
20,A0,32.5747312,1.751033,117.435200,1,0,223.126880,,
21,L0,3.7230e-07,6.05e-07,0E+0,1,0,0E+0,,
