Index,Name,Value,Error,Initial,Fix,Min,Max,,
0,R0,12.9051126,0.371124,12.769671,1,0.000000,24.262375,,
1,R1,2889.11958,4.41e+07,-588.024007,1,0.194416,3.693903,,
2,f1,8.337537,209.628825,283.722645,1,8.576873,162.960744,,
3,n1,3.32198532,52.62668,3.88164970,1,0.084100,1,,
2,R2,19.3214444,3.159965,21.4164424,1,1.705759,32.409418,,
4,f2,541.832860,1.097327,693.713267,1,54.120400,1028.286182,,
6,n2,1.10800146,0.061607,1.03147237,1,0.075900,1,,
3,R3,26.0616189,3.160910,21.8762986,1,1.206983,22.932674,,
6,f3,5008.413990,1.164257,6067.265502,1,632.241501,12012.571897,,
9,n3,0.91592304,0.050538,0.94961618,1,0.077200,1,,
4,R4,-2903.33281,4.41e+07,590.772941,1,0.068169,1.295207,,
8,f4,8.331816,197.767990,283.408584,1,21544.330364,409342.653044,,
12,n4,3.32878247,52.64270,3.89036079,1,0.086000,1,,
26,A0,41.4169408,1.166698,116.324703,1,0,221.016936,,
27,L0,5.2580e-07,1.21e-07,0E+0,1,0,0E+0,,
