Index,Name,Value,Error,Initial,Fix,Min,Max,,
0,R0,-0.38431272,0.328801,0.000000,1,0.000000,0.000000,,
1,R1,0.85478285,0.238435,1.089214,1,0.108921,2.069507,,
2,f1,679.555857,1.070989,184.916643,1,18.491664,351.341135,,
3,n1,8.98506006,0.392963,0.852000,1,0.085200,1,,
2,R2,12.0520010,3.964094,13.566994,1,1.356699,25.777288,,
4,f2,2610.213852,1.121104,3992.611010,1,399.261101,7585.967889,,
6,n2,1.01463746,0.063565,0.680000,1,0.068000,1,,
3,R3,18.1123816,4.198474,2.606071,1,0.260607,4.951534,,
6,f3,14778.927546,1.297123,39741.385152,1,3974.138515,75508.701169,,
9,n3,0.81682636,0.049364,0.792000,1,0.079200,1,,
