Index,Name,Value,Error,Initial,Fix,Min,Max,,
0,R0,-0.18269676,0.308743,0.000000,1,0.000000,0.000000,,
1,R1,11.9290178,2.504115,10.923297,1,1.092330,20.754264,,
2,f1,1291.556740,1.098910,1590.644031,1,159.064403,3022.226435,,
3,n1,1.04614934,0.052842,0.712000,1,0.071200,1,,
2,R2,21.7800820,2.601211,7.504553,1,0.750455,14.258650,,
4,f2,9725.245874,1.159308,13658.845733,1,1365.884573,25951.830738,,
6,n2,0.85162609,0.038468,0.744000,1,0.074400,1,,
3,R3,0.46289322,0.355617,0.977815,1,0.097781,1.857848,,
6,f3,31600.223916,1.360028,116.591798,1,11.659180,221.524110,,
9,n3,5.00714115,0.933325,0.870000,1,0.087000,1,,
