Index,Name,Value,Error,Initial,Fix,Min,Max,,
0,R0,-0.12737316,0.114701,0.000000,1,0.000000,0.000000,,
1,R1,-588.024007,8.51e+06,1.944160,1,0.194416,3.693903,,
2,f1,283.722776,3585.155523,85.768734,1,8.576873,162.960744,,
3,n1,3.88164970,64.13741,0.841000,1,0.084100,1,,
2,R2,21.4164424,1.250492,17.057588,1,1.705759,32.409418,,
4,f2,693.712867,1.047280,541.204003,1,54.120400,1028.286182,,
6,n2,1.03147237,0.026338,0.759000,1,0.075900,1,,
3,R3,21.8762986,1.134106,12.069828,1,1.206983,22.932674,,
6,f3,6067.263686,1.049605,6322.415010,1,632.241501,12012.571897,,
9,n3,0.94961618,0.016069,0.772000,1,0.077200,1,,
4,R4,590.772941,8.51e+06,0.681688,1,0.068169,1.295207,,
8,f4,283.408708,3287.115771,215443.303644,1,21544.330364,409342.653044,,
12,n4,3.89036079,63.92248,0.860000,1,0.086000,1,,
