EC-Lab ASCII FILE
Nb header lines : 46                          

Open Circuit Voltage

Run on channel : 3 (SN 6987)
Grouped channel(s) : 3
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Ewe ctrl range : min = 0,00 V, max = 5,00 V
Acquisition started on : 01.23.2015 14:58:37
Saved on :
	File : LiCoO2 vs Li 200µm IS + GCPL_03_OCV_C03.mpr
	Directory : C:\Hupfer\Studenten Batterietests\LiCoO2 vs Li 200µm IS + GCPL\
	Host : 192.168.0.2
Device : VMP3 (SN 0324)
Address : 192.168.0.1
EC-Lab for windows v10.33 (software)
Internet server v10.33 (firmware)
Command interpretor v10.32 (firmware)
Electrode material : LiCoO2 vs Li
Initial state : 
Electrolyte : LP30
Comments : 200µm
Mass of active material : 0,001 mg
 at x = 0,000
Molecular weight of active material (at x = 0) : 0,001 g/mol
Atomic weight of intercalated ion : 0,001 g/mol
Acquisition started at : xo = 0,000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26,801 mA.h
Battery capacity : 0,000 A.h
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
tR (h:m:s)          1:00:0,0000         
dER/dt (mV/h)       0,0                 
dER (mV)            0,00                
dtR (s)             5,0000              
E range min (V)     0,000               
E range max (V)     5,000               

Number of loops : 1
Loop 0 from point number 0 to 720

mode	error	time/s	Ewe/V
3	0	3616,8129	2,87990427
3	0	3621,8129	2,87733197
3	0	3626,8129	2,8759973
3	0	3631,8129	2,87670279
3	0	3636,8129	2,87670279
3	0	3641,8129	2,87529206
3	0	3646,8129	2,87717938
3	0	3651,8129	2,87748432
3	0	3656,8129	2,87725568
3	0	3661,8129	2,87706494
3	0	3666,8129	2,87679815
3	0	3671,8129	2,87851381
3	0	3676,8129	2,87969565
3	0	3681,8129	2,87994361
3	0	3686,8129	2,87963867
3	0	3691,8129	2,87988639
3	0	3696,8129	2,88013411
3	0	3701,8129	2,88005805
3	0	3706,8129	2,87986732
3	0	3711,8129	2,87998176
3	0	3716,8129	2,87979102
3	0	3721,8129	2,88141155
3	0	3726,8129	2,88120174
3	0	3731,8129	2,88152575
3	0	3736,8129	2,88129711
3	0	3741,8129	2,88078237
3	0	3746,8129	2,88165927
3	0	3751,8129	2,88230753
3	0	3756,8129	2,88326073
3	0	3761,8129	2,88318443
3	0	3766,8129	2,8834703
3	0	3771,8129	2,88360381
3	0	3776,8129	2,88314629
3	0	3781,8129	2,88282228
3	0	3786,8129	2,8829937
3	0	3791,8129	2,8828795
3	0	3796,8129	2,88377547
3	0	3801,8129	2,88549113
3	0	3806,8129	2,88524318
3	0	3811,8129	2,8853004
3	0	3816,8129	2,88547206
3	0	3821,8129	2,88650155
3	0	3826,8129	2,88644433
3	0	3831,8129	2,88678741
3	0	3836,8129	2,88684464
3	0	3841,8129	2,88690186
3	0	3846,8129	2,88644433
3	0	3851,8129	2,88621545
3	0	3856,8129	2,88642526
3	0	3861,8129	2,88636804
3	0	3866,8129	2,88575792
3	0	3871,8129	2,88514805
3	0	3876,8129	2,88520503
3	0	3881,8129	2,88556743
3	0	3886,8129	2,88486195
3	0	3891,8129	2,88465238
3	0	3896,8129	2,88402319
3	0	3901,8129	2,88337493
3	0	3906,8129	2,8834703
3	0	3911,8129	2,88316536
3	0	3916,8129	2,88234568
3	0	3921,8129	2,88242173
3	0	3926,8129	2,88244081
3	0	3931,8129	2,88230753
3	0	3936,8129	2,88211679
3	0	3941,8129	2,88185
3	0	3946,8129	2,88373733
3	0	3951,8129	2,8825171
3	0	3956,8129	2,88219309
3	0	3961,8129	2,88179278
3	0	3966,8129	2,88228846
3	0	3971,8129	2,88234568
3	0	3976,8129	2,8820405
3	0	3981,8129	2,8819263
3	0	3986,8129	2,88141155
3	0	3991,8129	2,88118267
3	0	3996,8129	2,88143063
3	0	4001,8129	2,8811636
3	0	4006,8129	2,88062978
3	0	4011,8129	2,880687
3	0	4016,8129	2,88062978
3	0	4021,8129	2,88112545
3	0	4026,8129	2,88194537
3	0	4031,8129	2,88175464
3	0	4036,8129	2,88167834
3	0	4041,8129	2,88137341
3	0	4046,8129	2,88085866
3	0	4051,8129	2,8820405
3	0	4056,8129	2,88217402
3	0	4061,8129	2,88158298
3	0	4066,8129	2,88173556
3	0	4071,8129	2,88318443
3	0	4076,8129	2,88358474
3	0	4081,8129	2,88343215
3	0	4086,8129	2,8860631
3	0	4091,8129	2,88810277
3	0	4096,8129	2,89018083
3	0	4101,8129	2,89193463
3	0	4106,8129	2,8916297
3	0	4111,8129	2,89153433
3	0	4116,8129	2,89206815
3	0	4121,8129	2,8943367
3	0	4126,8129	2,89391732
3	0	4131,8129	2,89395523
3	0	4136,8129	2,89189649
3	0	4141,8129	2,89193463
3	0	4146,8129	2,88863659
3	0	4151,8129	2,88756895
3	0	4156,8129	2,8876071
3	0	4161,8129	2,88667297
3	0	4166,8129	2,88602495
3	0	4171,8129	2,88533854
3	0	4176,8129	2,88587236
3	0	4181,8129	2,88575792
3	0	4186,8129	2,88562465
3	0	4191,8129	2,88638711
3	0	4196,8129	2,8862536
3	0	4201,8129	2,88638711
3	0	4206,8129	2,8875308
3	0	4211,8129	2,88751173
3	0	4216,8129	2,88934183
3	0	4221,8129	2,88875103
3	0	4226,8129	2,88779783
3	0	4231,8129	2,88979936
3	0	4236,8129	2,89033318
3	0	4241,8129	2,88987565
3	0	4246,8129	2,8903904
3	0	4251,8129	2,8903141
3	0	4256,8129	2,89037132
3	0	4261,8129	2,89050484
3	0	4266,8129	2,89033318
3	0	4271,8129	2,89101958
3	0	4276,8129	2,89141989
3	0	4281,8129	2,89149618
3	0	4286,8129	2,89178205
3	0	4291,8129	2,89193463
3	0	4296,8129	2,89178205
3	0	4301,8129	2,89136267
3	0	4306,8129	2,89134359
3	0	4311,8129	2,89208722
3	0	4316,8129	2,89258265
3	0	4321,8129	2,89391732
3	0	4326,8129	2,89403152
3	0	4331,8129	2,89395523
3	0	4336,8129	2,89418411
3	0	4341,8129	2,89454627
3	0	4346,8129	2,89475608
3	0	4351,8129	2,89490843
3	0	4356,8129	2,89469886
