EC-Lab ASCII FILE
Nb header lines : 3                           
mode	ox/red	error	control changes	Ns changes	counter inc.	Ns	time/s	control/V/mA	Ewe/V	dq/mA.h	<I>/mA	P/W	(Q-Qo)/mA.h	x	Capacity/mA.h
1	1	0	1	1	0	1	30417,24	0,100000001	1,21212149	0	0	0	0	0	0
1	1	0	1	0	0	1	30419,24	0,100000001	1,3108803	5,4190880136459277E-005	0,097543585426605773	0,00012786797	5,4190880136459277E-005	-2,0219345983045459E-006	5,4190880136459277E-005
1	1	0	1	0	0	1	30421,24	0,100000001	1,37169755	5,5563233518352115E-005	0,10001382154392048	0,000137188719	0,00010975411365481138	-4,0950735464362598E-006	0,00010975411365481138
1	1	0	1	0	0	1	30423,24	0,100000001	1,42115343	5,5563243367605741E-005	0,10001383927257723	0,000142135017	0,00016531735702241712	-6,1682128620568678E-006	0,00016531735702241712
1	1	0	1	0	0	1	30425,24	0,100000001	1,46278024	5,556327987131145E-005	0,1000139049792483	0,000146298364	0,00022088063689372858	-8,241353539679817E-006	0,00022088063689372858
1	1	0	1	0	0	1	30427,24	0,100000001	1,49896514	5,5563257874300083E-005	0,10001386538462738	0,000149917294	0,00027644389476802867	-1,0314493396564696E-005	0,00027644389476802867
1	1	0	1	0	0	1	30429,24	0,100000001	1,53171289	5,5563214948193894E-005	0,1000137881176353	0,000153192406	0,00033200710971622259	-1,2387631651818842E-005	0,00033200710971622259
1	1	0	1	0	0	1	30431,24	0,100000001	1,56215024	5,5563219676415123E-005	0,10001379662843362	0,00015623658	0,00038757032939263776	-1,4460770083489274E-005	0,00038757032939263776
1	1	0	1	0	0	1	30433,24	0,100000001	1,59077346	5,5563285292850598E-005	0,10001391473801891	0,00015909948	0,00044313361468548832	-1,6533910963397139E-005	0,00044313361468548832
1	1	0	1	0	0	1	30435,24	0,100000001	1,61823189	5,5563245841198496E-005	0,10001384372504426	0,000161845586	0,00049869686052668685	-1,8607050371310822E-005	0,00049869686052668685
1	1	0	1	0	0	1	30437,24	0,100000001	1,64502203	5,5563239178723757E-005	0,10001383173258957	0,000164524958	0,00055426009970541056	-2,0680189530638608E-005	0,00055426009970541056
1	1	0	1	0	0	1	30439,24	0,100000001	1,67123938	5,5563203574468691E-005	0,10001376764492968	0,000167146951	0,0006098233032798793	-2,2753327361523773E-005	0,0006098233032798793
