EC-Lab ASCII FILE
Nb header lines : 47                          

Open Circuit Voltage

Run on channel : 1 (SN 6985)
Grouped channel(s) : 1
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Ewe ctrl range : min = 0,00 V, max = 5,00 V
Acquisition started on : 10.28.2014 11:50:52
Saved on :
	File : LATP vs Li Batterietest Probe1_04_OCV_C01.mpr
	Directory : C:\Hupfer\Batterietest Li vs LATP\
	Host : 192.168.0.2
Device : VMP3 (SN 0324)
Address : 192.168.0.1
EC-Lab for windows v10.33 (software)
Internet server v10.33 (firmware)
Command interpretor v10.32 (firmware)
Electrode material : Lithium - LATP folie
Initial state : unbekannt
Electrolyte : LP30
Comments : Batterietest
Mass of active material : 0,001 mg
 at x = 0,000
Molecular weight of active material (at x = 0) : 0,001 g/mol
Atomic weight of intercalated ion : 0,001 g/mol
Acquisition started at : xo = 0,000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26,801 mA.h
Battery capacity : 0,000 A.h
Reference electrode : Li+/Li (-3,020 V)
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
tR (h:m:s)          0:30:0,0000         
dER/dt (mV/h)       0,0                 
dER (mV)            0,00                
dtR (s)             10,0000             
E range min (V)     0,000               
E range max (V)     5,000               

Number of loops : 1
Loop 0 from point number 0 to 180

mode	error	time/s	Ewe/V
3	0	36696,7914	1,212026
3	0	36706,7914	1,31788814
3	0	36716,7914	1,36102355
3	0	36726,7914	1,39298844
3	0	36736,7914	1,4202559
3	0	36746,7914	1,44496477
3	0	36756,7914	1,46791685
3	0	36766,7914	1,48962772
3	0	36776,7914	1,51053667
3	0	36786,7914	1,53066266
3	0	36796,7914	1,5503304
3	0	36806,7914	1,56942534
3	0	36816,7914	1,58831024
3	0	36826,7914	1,60688961
3	0	36836,7914	1,6251061
3	0	36846,7914	1,64316988
3	0	36856,7914	1,66067994
3	0	36866,7914	1,6783427
3	0	36876,7914	1,69569993
3	0	36886,7914	1,71290445
3	0	36896,7914	1,72986078
3	0	36906,7914	1,74664521
3	0	36916,7914	1,76321959
3	0	36926,7914	1,77950752
3	0	36936,7914	1,7953372
3	0	36946,7914	1,81116688
3	0	36956,7914	1,82653832
3	0	36966,7914	1,84177601
3	0	36976,7914	1,85630727
3	0	36986,7914	1,8710103
3	0	36996,7914	1,88514054
3	0	37006,7914	1,89902258
3	0	37016,7914	1,91254175
3	0	37026,7914	1,92565989
3	0	37036,7914	1,93852985
3	0	37046,7914	1,9510752
3	0	37056,7914	1,96339142
3	0	37066,7914	1,97540212
3	0	37076,7914	1,98701191
3	0	37086,7914	1,99823964
3	0	37096,7914	2,0092957
3	0	37106,7914	2,01993155
3	0	37116,7914	2,03039551
3	0	37126,7914	2,04053497
3	0	37136,7914	2,05038786
3	0	37146,7914	2,06008816
3	0	37156,7914	2,06940651
3	0	37166,7914	2,07845736
3	0	37176,7914	2,08731747
3	0	37186,7914	2,09583378
3	0	37196,7914	2,10415912
3	0	37206,7914	2,11219811
3	0	37216,7914	2,12023711
3	0	37226,7914	2,12776041
3	0	37236,7914	2,13537931
3	0	37246,7914	2,14263535
3	0	37256,7914	2,14966226
3	0	37266,7914	2,15646005
3	0	37276,7914	2,16310525
3	0	37286,7914	2,16969299
3	0	37296,7914	2,17578411
3	0	37306,7914	2,18197083
3	0	37316,7914	2,18777585
3	0	37326,7914	2,19337058
3	0	37336,7914	2,19894624
3	0	37346,7914	2,20438838
3	0	37356,7914	2,2095058
3	0	37366,7914	2,21441317
3	0	37376,7914	2,21920609
3	0	37386,7914	2,22378874
3	0	37396,7914	2,22829509
3	0	37406,7914	2,23264885
3	0	37416,7914	2,2368114
3	0	37426,7914	2,24072599
3	0	37436,7914	2,24444938
3	0	37446,7914	2,248173
3	0	37456,7914	2,25185823
3	0	37466,7914	2,2551043
3	0	37476,7914	2,2585032
3	0	37486,7914	2,261482
3	0	37496,7914	2,26461363
3	0	37506,7914	2,26751614
3	0	37516,7914	2,27038026
3	0	37526,7914	2,27299643
3	0	37536,7914	2,27551675
3	0	37546,7914	2,27803731
3	0	37556,7914	2,2804625
3	0	37566,7914	2,28275394
3	0	37576,7914	2,28493071
3	0	37586,7914	2,28712654
3	0	37596,7914	2,28911233
