EC-Lab ASCII FILE
Nb header lines : 46                          

Open Circuit Voltage

Run on channel : 1 (SN 6985)
Grouped channel(s) : 1
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Ewe ctrl range : min = -2,50 V, max = 2,50 V
Acquisition started on : 01.29.2015 17:18:52
Saved on :
	File : LiNiMnO-LATP-LTO_01_OCV_C01.mpr
	Directory : C:\Hupfer\Studenten Batterietests\ASS Batterie 02\
	Host : 192.168.0.2
Device : VMP3 (SN 0324)
Address : 192.168.0.1
EC-Lab for windows v10.33 (software)
Internet server v10.33 (firmware)
Command interpretor v10.32 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Mass of active material : 0,001 mg
 at x = 0,000
Molecular weight of active material (at x = 0) : 0,001 g/mol
Atomic weight of intercalated ion : 0,001 g/mol
Acquisition started at : xo = 0,000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26,801 mA.h
Battery capacity : 0,000 A.h
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
tR (h:m:s)          0:10:0,0000         
dER/dt (mV/h)       0,0                 
dER (mV)            0,00                
dtR (s)             5,0000              
E range min (V)     -2,500              
E range max (V)     2,500               

Number of loops : 1
Loop 0 from point number 0 to 120

mode	error	time/s	Ewe/V
3	0	0,0000	0,135433331
3	0	5,0000	0,138946787
3	0	10,0000	0,140378907
3	0	15,0000	0,140187964
3	0	20,0000	0,139576927
3	0	25,0000	0,137781993
3	0	30,0000	0,136368975
3	0	35,0000	0,134994149
3	0	40,0000	0,133810252
3	0	45,0000	0,135032326
3	0	50,0000	0,137056395
3	0	55,0000	0,139729679
3	0	60,0000	0,141123608
3	0	65,0000	0,140474379
3	0	70,0000	0,138698548
3	0	75,0000	0,136044368
3	0	80,0000	0,134077594
3	0	85,0000	0,135013238
3	0	90,0000	0,13619712
3	0	95,0000	0,139882445
3	0	100,0000	0,140818089
3	0	105,0000	0,139997005
3	0	110,0000	0,136808157
3	0	115,0000	0,134917766
3	0	120,0000	0,134325817
3	0	125,0000	0,135490611
3	0	130,0000	0,138908595
3	0	135,0000	0,140608042
3	0	140,0000	0,140512571
3	0	145,0000	0,138564885
3	0	150,0000	0,136101648
3	0	155,0000	0,13405849
3	0	160,0000	0,134936854
3	0	165,0000	0,138755843
3	0	170,0000	0,140989944
3	0	175,0000	0,139939725
3	0	180,0000	0,136407167
3	0	185,0000	0,134020299
3	0	190,0000	0,135280564
3	0	195,0000	0,138927698
3	0	200,0000	0,140627146
3	0	205,0000	0,140779898
3	0	210,0000	0,139844254
3	0	215,0000	0,137934759
3	0	220,0000	0,136063457
3	0	225,0000	0,134344921
3	0	230,0000	0,135280564
3	0	235,0000	0,138603076
3	0	240,0000	0,140799001
3	0	245,0000	0,13971059
3	0	250,0000	0,136407167
3	0	255,0000	0,134134874
3	0	260,0000	0,135032326
3	0	265,0000	0,138488516
3	0	270,0000	0,13976787
3	0	275,0000	0,140627146
3	0	280,0000	0,140894473
3	0	285,0000	0,139729679
3	0	290,0000	0,136922732
3	0	295,0000	0,135834321
3	0	300,0000	0,134268537
3	0	305,0000	0,134421289
3	0	310,0000	0,133848444
3	0	315,0000	0,133905739
3	0	320,0000	0,134039402
3	0	325,0000	0,134841383
3	0	330,0000	0,135051429
3	0	335,0000	0,136407167
3	0	340,0000	0,13608256
3	0	345,0000	0,138545796
3	0	350,0000	0,139958814
3	0	355,0000	0,140588954
3	0	360,0000	0,140760809
3	0	365,0000	0,140264332
3	0	370,0000	0,139576927
3	0	375,0000	0,139806062
3	0	380,0000	0,138106614
3	0	385,0000	0,136407167
3	0	390,0000	0,135834321
3	0	395,0000	0,134822294
3	0	400,0000	0,134421289
3	0	405,0000	0,134459481
3	0	410,0000	0,134440392
3	0	415,0000	0,134421289
3	0	420,0000	0,13405849
3	0	425,0000	0,133676589
3	0	430,0000	0,134421289
3	0	435,0000	0,134784102
3	0	440,0000	0,136999115
3	0	445,0000	0,138526708
3	0	450,0000	0,139596015
3	0	455,0000	0,140474379
3	0	460,0000	0,140340716
3	0	465,0000	0,140722618
3	0	470,0000	0,140168861
3	0	475,0000	0,139519632
3	0	480,0000	0,138851315
3	0	485,0000	0,138373941
3	0	490,0000	0,135872513
3	0	495,0000	0,134421289
3	0	500,0000	0,133829355
3	0	505,0000	0,133772075
3	0	510,0000	0,13400121
3	0	515,0000	0,134707719
3	0	520,0000	0,134803191
3	0	525,0000	0,134764999
3	0	530,0000	0,135681555
3	0	535,0000	0,135433331
3	0	540,0000	0,134726807
3	0	545,0000	0,134421289
3	0	550,0000	0,134554967
3	0	555,0000	0,135070518
3	0	560,0000	0,136063457
3	0	565,0000	0,135547891
3	0	570,0000	0,13608256
3	0	575,0000	0,13648355
3	0	580,0000	0,137858376
3	0	585,0000	0,138202086
3	0	590,0000	0,139519632
3	0	595,0000	0,140092477
3	0	600,0000	0,140417099
