EC-Lab ASCII FILE
Nb header lines : 81                          

Galvanostatic Cycling with Potential Limitation

Run on channel : 1 (SN 6985)
Grouped channel(s) : 1
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Ewe ctrl range : min = -10,00 V, max = 10,00 V
Acquisition started on : 01.29.2015 22:15:06
Saved on :
	File : LiNiMnO-LATP-LTO_3_02_GCPL_C01.mpr
	Directory : C:\Hupfer\Studenten Batterietests\ASS Batterie 03\
	Host : 192.168.0.2
Device : VMP3 (SN 0324)
Address : 192.168.0.1
EC-Lab for windows v10.33 (software)
Internet server v10.33 (firmware)
Command interpretor v10.32 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Mass of active material : 0,001 mg
 at x = 0,000
Molecular weight of active material (at x = 0) : 0,001 g/mol
Atomic weight of intercalated ion : 0,001 g/mol
Acquisition started at : xo = 0,000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26,801 mA.h
Battery capacity : 0,000 A.h
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
Ns                  0                   1                   2                   
Set I/C             I                   I                   I                   
Is                  0,000               1,000               -1,000              
unit Is             mA                  µA                  µA                  
vs.                 <None>              <None>              <None>              
N                   1                   1                   1                   
I sign              > 0                 > 0                 > 0                 
t1 (h:m:s)          0:00:0,0000         10:00:0,0000        10:00:0,0000        
I Range             1 mA                1 mA                1 mA                
Bandwidth           5                   5                   5                   
dE1 (mV)            0,00                0,00                0,00                
dt1 (s)             0,0000              10,0000             10,0000             
EM (V)              0,000               2,500               0,000               
tM (h:m:s)          0:00:0,0000         0:00:0,0000         0:00:0,0000         
Im                  0,000               0,000               0,000               
unit Im             mA                  mA                  mA                  
E range min (V)     -10,000             -10,000             -10,000             
E range max (V)     10,000              10,000              10,000              
dq                  0,000               1,000               1,000               
unit dq             mA.h                mA.h                mA.h                
dtq (s)             0,0000              120,0000            120,0000            
dQM                 0,000               0,000               0,000               
unit dQM            mA.h                mA.h                mA.h                
dxM                 0,000               0,000               0,000               
tR (h:m:s)          0:00:0,0000         0:00:0,0000         0:00:0,0000         
dER/dt (mV/h)       0,0                 0,1                 0,1                 
dER (mV)            0,00                5,00                5,00                
dtR (s)             1,0000              120,0000            120,0000            
EL (V)              pass                4,200               4,200               
goto Ns'            0                   0                   0                   
nc cycles           0                   0                   0                   

Number of loops : 11
Loop 0 from point number 0 to 30
Loop 1 from point number 31 to 34
Loop 2 from point number 35 to 38
Loop 3 from point number 39 to 42
Loop 4 from point number 43 to 46
Loop 5 from point number 47 to 50
Loop 6 from point number 51 to 54
Loop 7 from point number 55 to 58
Loop 8 from point number 59 to 62
Loop 9 from point number 63 to 66
Loop 10 from point number 67 to 70

mode	ox/red	error	control changes	Ns changes	counter inc.	Ns	time/s	control/V/mA	Ewe/V	dq/mA.h	<I>/mA	P/W	(Q-Qo)/mA.h	x	Capacity/mA.h
1	1	0	1	1	0	1	300,0008	0,00100000005	0,110653289	0	0	0	0	0	0
1	1	0	1	0	0	1	310,0008	0,00100000005	2,10887814	3,2509495683237517E-006	0,0011703418741618734	2,46810828E-006	3,2509495683237517E-006	-1,2129729934234099E-007	3,2509495683237517E-006
1	1	0	1	0	0	1	320,0008	0,00100000005	2,24121022	3,271290267119184E-006	0,0011776645259132144	2,63939387E-006	6,5222398354429363E-006	-2,4335353750509997E-007	6,5222398354429363E-006
1	1	0	1	0	0	1	330,0008	0,00100000005	2,30556011	3,2747883715718573E-006	0,0011789238435479898	2,71807971E-006	9,797028207014793E-006	-3,6554029464823962E-007	9,797028207014793E-006
1	1	0	1	0	0	1	340,0008	0,00100000005	2,34672856	3,2722010964320768E-006	0,0011779924244741392	2,76442847E-006	1,3069229303446869E-005	-4,876305170772857E-007	1,3069229303446869E-005
1	1	0	1	0	0	1	350,0008	0,00100000005	2,37117004	3,2712835548445587E-006	0,0011776621094942883	2,79243704E-006	1,6340512858291427E-005	-6,096865047960535E-007	1,6340512858291427E-005
1	1	0	1	0	0	1	360,0008	0,00100000005	2,3928237	3,2693926494879027E-006	0,0011769813835486958	2,81630901E-006	1,9609905507779331E-005	-7,3167194029361549E-007	1,9609905507779331E-005
1	1	0	1	0	0	1	370,0008	0,00100000005	2,40512085	3,2723145075142381E-006	0,0011780332524647488	2,83331224E-006	2,2882220015293571E-005	-8,5376639424261978E-007	2,2882220015293571E-005
1	1	0	1	0	0	1	380,0008	0,00100000005	2,41904116	3,2737390457316205E-006	0,0011785460862359616	2,85095143E-006	2,615595906102519E-005	-9,7591399962782669E-007	2,615595906102519E-005
1	1	0	1	0	0	1	390,0008	0,00100000005	2,42387199	3,272466075968825E-006	0,0011780878171097784	2,85553415E-006	2,9428425136994016E-005	-1,0980141087996576E-006	2,9428425136994016E-005
1	1	0	1	0	0	1	400,0008	0,00100000005	2,43530989	3,2723643246055059E-006	0,0011780511866180582	2,86891964E-006	3,270078946159952E-005	-1,2201104214913168E-006	3,270078946159952E-005
1	1	0	1	0	0	1	410,0008	0,00100000005	2,43561554	3,2726296582970669E-006	0,0011781467067494331	2,8695124E-006	3,5973419119896589E-005	-1,342216634139753E-006	3,5973419119896589E-005
1	1	0	1	0	0	1	420,0008	0,00100000005	2,43994999	3,2718195228177741E-006	0,0011778550579695202	2,87390753E-006	3,9245238642714362E-005	-1,4642926195442182E-006	3,9245238642714362E-005
1	1	0	1	0	0	1	430,0008	0,00100000005	2,44577384	3,271803978448992E-006	0,0011778494619966173	2,8807533E-006	4,2517042621163354E-005	-1,5863680249673846E-006	4,2517042621163354E-005
1	1	0	1	0	0	1	440,0008	0,00100000005	2,4516933	3,2683963213348755E-006	0,001176622705404545	2,88471801E-006	4,5785438942498227E-005	-1,7083162861219795E-006	4,5785438942498227E-005
