EC-Lab ASCII FILE
Nb header lines : 46                          

Open Circuit Voltage

Run on channel : 1 (SN 6985)
Grouped channel(s) : 1
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Ewe ctrl range : min = -10,00 V, max = 10,00 V
Acquisition started on : 01.29.2015 22:33:05
Saved on :
	File : LiNiMnO-LATP-LTO_4_01_OCV_C01.mpr
	Directory : C:\Hupfer\Studenten Batterietests\ASS Batterie 03\
	Host : 192.168.0.2
Device : VMP3 (SN 0324)
Address : 192.168.0.1
EC-Lab for windows v10.33 (software)
Internet server v10.33 (firmware)
Command interpretor v10.32 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Mass of active material : 0,001 mg
 at x = 0,000
Molecular weight of active material (at x = 0) : 0,001 g/mol
Atomic weight of intercalated ion : 0,001 g/mol
Acquisition started at : xo = 0,000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26,801 mA.h
Battery capacity : 0,000 A.h
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
tR (h:m:s)          0:10:0,0000         
dER/dt (mV/h)       0,0                 
dER (mV)            0,00                
dtR (s)             5,0000              
E range min (V)     -10,000             
E range max (V)     10,000              

Number of loops : 1
Loop 0 from point number 0 to 120

mode	error	time/s	Ewe/V
3	0	0,0000	0,396465868
3	0	5,0000	0,395625681
3	0	10,0000	0,389801741
3	0	15,0000	0,389190704
3	0	20,0000	0,393620729
3	0	25,0000	0,392837822
3	0	30,0000	0,388331443
3	0	35,0000	0,385486305
3	0	40,0000	0,385180771
3	0	45,0000	0,388274163
3	0	50,0000	0,390260011
3	0	55,0000	0,387262106
3	0	60,0000	0,383271277
3	0	65,0000	0,380693465
3	0	70,0000	0,381610036
3	0	75,0000	0,384722501
3	0	80,0000	0,386059135
3	0	85,0000	0,384149641
3	0	90,0000	0,380330682
3	0	95,0000	0,378192037
3	0	100,0000	0,376416206
3	0	105,0000	0,376301646
3	0	110,0000	0,376358926
3	0	115,0000	0,375747889
3	0	120,0000	0,375308722
3	0	125,0000	0,375614226
3	0	130,0000	0,375977039
3	0	135,0000	0,376969963
3	0	140,0000	0,377218187
3	0	145,0000	0,378153861
3	0	150,0000	0,37775287
3	0	155,0000	0,37632075
3	0	160,0000	0,374525815
3	0	165,0000	0,372578144
3	0	170,0000	0,370630443
3	0	175,0000	0,368816435
3	0	180,0000	0,367346138
3	0	185,0000	0,366563231
3	0	190,0000	0,366677821
3	0	195,0000	0,366754204
3	0	200,0000	0,366448671
3	0	205,0000	0,367441595
3	0	210,0000	0,367116988
3	0	215,0000	0,366849661
3	0	220,0000	0,366028577
3	0	225,0000	0,36553213
3	0	230,0000	0,365169317
3	0	235,0000	0,364691943
3	0	240,0000	0,364596456
3	0	245,0000	0,364596456
3	0	250,0000	0,364348233
3	0	255,0000	0,364997447
3	0	260,0000	0,366181344
3	0	265,0000	0,364042699
3	0	270,0000	0,361178488
3	0	275,0000	0,3588489
3	0	280,0000	0,357206732
3	0	285,0000	0,356347471
3	0	290,0000	0,356328368
3	0	295,0000	0,356080145
3	0	300,0000	0,355698228
3	0	305,0000	0,355831891
3	0	310,0000	0,355488181
3	0	315,0000	0,356863022
3	0	320,0000	0,357913256
3	0	325,0000	0,359097123
3	0	330,0000	0,359039843
3	0	335,0000	0,357569546
3	0	340,0000	0,354667127
3	0	345,0000	0,352662146
3	0	350,0000	0,351249129
3	0	355,0000	0,350027055
3	0	360,0000	0,349931568
3	0	365,0000	0,348976821
3	0	370,0000	0,349053204
3	0	375,0000	0,348938644
3	0	380,0000	0,348976821
3	0	385,0000	0,349110484
3	0	390,0000	0,350179821
3	0	395,0000	0,351802886
3	0	400,0000	0,353273183
3	0	405,0000	0,351115465
3	0	410,0000	0,347678363
3	0	415,0000	0,345616132
3	0	420,0000	0,344451338
3	0	425,0000	0,344317675
3	0	430,0000	0,344413161
3	0	435,0000	0,344126731
3	0	440,0000	0,344623178
3	0	445,0000	0,346074402
3	0	450,0000	0,347067326
3	0	455,0000	0,348442167
3	0	460,0000	0,347850233
3	0	465,0000	0,346876383
3	0	470,0000	0,345043272
3	0	475,0000	0,343744814
3	0	480,0000	0,342541844
3	0	485,0000	0,341415256
3	0	490,0000	0,340804219
3	0	495,0000	0,340460509
3	0	500,0000	0,339715809
3	0	505,0000	0,338340968
3	0	510,0000	0,337118894
3	0	515,0000	0,33698523
3	0	520,0000	0,336145043
3	0	525,0000	0,336966127
3	0	530,0000	0,337749034
3	0	535,0000	0,338952005
3	0	540,0000	0,340078592
3	0	545,0000	0,340632349
3	0	550,0000	0,340689629
3	0	555,0000	0,338398248
3	0	560,0000	0,334292859
3	0	565,0000	0,332841635
3	0	570,0000	0,332803458
3	0	575,0000	0,334025532
3	0	580,0000	0,333815485
3	0	585,0000	0,333624512
3	0	590,0000	0,333147168
3	0	595,0000	0,333433568
3	0	600,0000	0,333299905
