EC-Lab ASCII FILE
Nb header lines : 3                           
mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	P/W
2	0	0	1	0	6720,97	2,11243296	2,11333823	-0,053025845438241958	10	0	0,000112061549
2	0	0	1	0	6721,00	2,11213231	2,11269617	-0,051091843556302362	10	-1,5545769E-006	0,000107941545
2	0	0	1	0	6721,05	2,11163235	2,11213493	-0,048674393978823616	10	-4,05358423E-006	0,000102806887
2	0	0	1	0	6721,10	2,11113214	2,1116035	-0,047143093349101549	10	-6,45890441E-006	9,95475202E-005
2	0	0	1	0	6721,15	2,11063218	2,11122251	-0,046079348656348928	10	-8,80015705E-006	9,72837588E-005
2	0	0	1	0	6721,20	2,11013198	2,11075139	-0,045296367568274406	10	-1,10958708E-005	9,56093718E-005
2	0	0	1	0	6721,25	2,10963225	2,11007977	-0,044749512861017248	10	-1,33586955E-005	9,44250423E-005
2	0	0	1	0	6721,30	2,10913205	2,10958862	-0,04435472979093913	10	-1,55987873E-005	9,35702337E-005
2	0	0	1	0	6721,35	2,10863137	2,10920596	-0,044104993405302323	10	-1,78284063E-005	9,3026516E-005
2	0	0	1	0	6721,40	2,1081326	2,10849667	-0,044048500669904288	10	-2,00428785E-005	9,28761146E-005
2	0	0	1	0	6721,45	2,10763288	2,10809612	-0,043839298127391245	10	-2,2253309E-005	9,24174528E-005
2	0	0	0	0	6721,50	2,10713148	2,10771322	-0,043700576696976858	10	-2,44638613E-005	9,21082828E-005
2	0	0	0	0	6721,55	2,1066308	2,10711169	-0,04373802352319689	10	-2,66644493E-005	9,21609026E-005
2	0	0	0	0	6721,60	2,10613179	2,10671163	-0,043585193062123603	10	-2,88609644E-005	9,18214355E-005
2	0	0	0	0	6721,65	2,10563183	2,1061902	-0,043486914927295174	10	-3,10511823E-005	9,15917117E-005
2	0	0	0	0	6721,70	2,1051321	2,10559869	-0,043656625008831539	10	-3,32432319E-005	9,19233353E-005
2	0	0	0	0	6721,75	2,1046319	2,1049273	-0,043579708969142874	10	-3,54386284E-005	9,17321158E-005
2	0	0	0	0	6721,80	2,10413194	2,10454631	-0,043504743972637926	10	-3,76292919E-005	9,15577475E-005
2	0	0	0	0	6721,85	2,10363173	2,10405493	-0,043554899127533018	10	-3,98193843E-005	9,16419012E-005
2	0	0	0	0	6721,90	2,10313177	2,10362411	-0,043541427177842816	10	-4,20114848E-005	9,15947967E-005
