EC-Lab ASCII FILE
Nb header lines : 3                           
mode	ox/red	error	control changes	Ns changes	counter inc.	Ns	time/s	control/V/mA	Ewe/V	dq/mA.h	<I>/mA	P/W	(Q-Qo)/mA.h	x	Capacity/mA.h
1	0	0	1	1	0	1	24131,15	-0,100000001	4,18821955	0	0	0	0	0	0
1	0	0	1	0	0	1	24141,15	-0,100000001	3,78329253	-0,0002763605246213313	-0,099489790068221414	0,000376398966	-0,0002763605246213313	1,0311382744299064E-005	0,0002763605246213313
1	0	0	1	0	0	1	24151,15	-0,100000001	3,44454908	-0,0002777337755784392	-0,099984160418765696	0,000344400352	-0,0005540943001997705	2,067400332816337E-005	0,0005540943001997705
1	0	0	1	0	0	1	24161,15	-0,100000001	3,1207757	-0,00027773410068617926	-0,099984277457553523	0,000312028511	-0,00083182840088594982	3,1036636042234573E-005	0,00083182840088594982
1	0	0	1	0	0	1	24171,15	-0,100000001	2,8223033	-0,00027773462971382672	-0,099984467907508928	0,000282186491	-0,0011095630305997766	4,1399288495038592E-005	0,0011095630305997766
1	0	0	1	0	0	1	24181,15	-0,100000001	2,52486181	-0,00027773432431452806	-0,099984357963760064	0,000252446684	-0,0013872973549143048	5,176192955298416E-005	0,0013872973549143048
1	0	0	1	0	0	1	24191,15	-0,100000001	2,26570582	-0,00027773440224304797	-0,099984386018027571	0,000226535209	-0,001665031757157353	6,2124573518547584E-005	0,001665031757157353
1	0	0	1	0	0	1	24201,15	-0,100000001	2,05157542	-0,0002777342794165015	-0,099984341800470323	0,000205125412	-0,0019427660365738544	7,2487212901287424E-005	0,0019427660365738544
1	0	0	1	0	0	1	24211,15	-0,100000001	1,87068939	-0,00027773454277672701	-0,099984436610152653	0,000187039826	-0,0022205005793505818	8,284986211035136E-005	0,0022205005793505818
1	0	0	1	0	0	1	24221,15	-0,100000001	1,72212374	-0,00027773406562084954	-0,099984264834034662	0,000172185275	-0,002498234644971431	9,3212493516087962E-005	0,002498234644971431
1	0	0	1	0	0	1	24231,15	-0,100000001	1,60742056	-0,00027773389288493325	-0,099984202649104051	0,000160716663	-0,0027759685378563642	0,00010357511847681528	0,0027759685378563642
1	0	0	1	0	0	1	24241,15	-0,100000001	1,52949429	-0,00027773424358914298	-0,099984328902621082	0,000152925466	-0,0030537027814455072	0,00011393775652278819	0,0030537027814455072
1	0	0	1	0	0	1	24251,15	-0,100000001	1,49006331	-0,00027773397188178365	-0,09998423108797056	0,000148982828	-0,0033314367533272915	0,00012430038443099424	0,0033314367533272915
1	0	0	1	0	0	1	24261,15	-0,100000001	1,46743584	-0,00027773396348539325	-0,099984228065269965	0,000146720442	-0,0036091707168126842	0,00013466301202591963	0,0036091707168126842
1	0	0	1	0	0	1	24271,15	-0,100000001	1,45105243	-0,00027773372143093085	-0,099984140925662438	0,000145082231	-0,0038869044382436154	0,00014502563058946758	0,0038869044382436154
1	0	0	1	0	0	1	24281,15	-0,100000001	1,43791509	-0,00027773343338527613	-0,099984037229225485	0,000143768557	-0,0041646378716288909	0,0001553882384056449	0,0041646378716288909
1	0	0	1	0	0	1	24291,15	-0,100000001	1,42626727	-0,0002777337343225049	-0,099984145566629158	0,000142604113	-0,0044423716059513965	0,00016575085745019485	0,0044423716059513965
1	0	0	1	0	0	1	24301,15	-0,100000001	1,41597509	-0,00027773423551188573	-0,099984325994808448	0,000141575321	-0,0047201058414632826	0,00017611349519479443	0,0047201058414632826
1	0	0	1	0	0	1	24311,15	-0,100000001	1,40638947	-0,000277734138528092	-0,099984291080642291	0,000140616859	-0,0049978399799913741	0,00018647612932079827	0,0049978399799913741
1	0	0	1	0	0	1	24321,15	-0,100000001	1,3974148	-0,00027773381133087808	-0,099984173289643827	0,00013971937	-0,0052755737913222522	0,00019683875123863414	0,0052755737913222522
1	0	0	1	0	0	1	24331,15	-0,100000001	1,38878393	-0,00027773380376108819	-0,099984170564519437	0,000138856412	-0,0055533075950833408	0,00020720137287403098	0,0055533075950833408
1	0	0	1	0	0	1	24341,15	-0,100000001	1,38049674	-0,00027773403651143117	-0,09998425435464393	0,000138027943	-0,0058310416315947712	0,00021756400319365603	0,0058310416315947712
1	0	0	1	0	0	1	24351,15	-0,100000001	1,37240052	-0,00027773443097083104	-0,099984396360029606	0,000137218638	-0,0061087760625656026	0,00022792664823109168	0,0061087760625656026
1	0	0	1	0	0	1	24361,15	-0,100000001	1,36449516	-0,0002777341919636561	-0,099984310317445581	0,000136428105	-0,0063865102545292582	0,00023828928435084826	0,0063865102545292582
1	0	0	1	0	0	1	24371,15	-0,100000001	1,35687637	-0,00027773411089761392	-0,099984281133670042	0,000135666312	-0,0066642443654268723	0,00024865191744592182	0,0066642443654268723
1	0	0	1	0	0	1	24381,15	-0,100000001	1,3492384	-0,00027773484272965126	-0,099984544593206682	0,000134902992	-0,0069419792081565248	0,00025901457784663264	0,0069419792081565248
1	0	0	1	0	0	1	24391,15	-0,100000001	1,3417722	-0,00027773461767327453	-0,09998446357291008	0,000134156377	-0,0072197138258297984	0,00026937722985018749	0,0072197138258297984
1	0	0	1	0	0	1	24401,15	-0,100000001	1,33438253	-0,00027773423988744618	-0,099984327570010214	0,000133417343	-0,0074974480657172442	0,00027973986775804509	0,0074974480657172442
1	0	0	1	0	0	1	24411,15	-0,100000001	1,32718372	-0,00027773381606903344	-0,099984174995379789	0,000132697372	-0,0077751818817862771	0,0002901024898526679	0,0077751818817862771
1	0	0	1	0	0	1	24421,15	-0,100000001	1,32124519	-0,00027773408273773066	-0,099984270996111949	0,000132103742	-0,0080529159645240077	0,00030046512189705837	0,0080529159645240077
1	0	0	1	0	0	1	24431,15	-0,100000001	1,31765544	-0,00027773418260696864	-0,099984306949038054	0,000131744862	-0,0083306501471309773	0,00031082775766770438	0,0083306501471309773
1	0	0	1	0	0	1	24441,15	-0,100000001	1,31544042	-0,00027773405978828666	-0,099984262734312	0,000131523338	-0,0086083842069192653	0,00032119038885582022	0,0086083842069192653
1	0	0	1	0	0	1	24451,15	-0,100000001	1,31333995	-0,00027773467792239456	-0,099984485262593536	0,000131313616	-0,0088861188848416602	0,00033155304310735078	0,0088861188848416602
1	0	0	1	0	0	1	24461,15	-0,100000001	1,31097221	-0,00027773463181033731	-0,099984468662252736	0,000131076857	-0,0091638535166519974	0,00034191569563837837	0,0091638535166519974
1	0	0	1	0	0	1	24471,15	-0,100000001	1,30826068	-0,00027773466582886048	-0,099984480908921229	0,000130805769	-0,0094415881824808576	0,00035227834943868288	0,0094415881824808576
1	0	0	1	0	0	1	24481,15	-0,100000001	1,30484271	-0,00027773429309825104	-0,099984346725900198	0,000130463843	-0,0097193224755791078	0,00036264098933190714	0,0097193224755791078
1	0	0	1	0	0	1	24491,15	-0,100000001	1,30083275	-0,00027773405157071024	-0,099984259775984461	0,000130062806	-0,0099970565271498176	0,00037300362021341414	0,0099970565271498176
1	0	0	1	0	0	1	24501,15	-0,100000001	1,29626906	-0,0002777337855204112	-0,099984163997875648	0,000129606371	-0,010274790312670229	0,00038336624116822675	0,010274790312670229
1	0	0	1	0	0	1	24511,15	-0,100000001	1,29117072	-0,00027773386776405901	-0,099984193605589222	0,000129096661	-0,010552524180434288	0,00039372886519166054	0,010552524180434288
1	0	0	1	0	0	1	24521,15	-0,100000001	1,28551865	-0,00027773400434479114	-0,099984242774653389	0,00012853161	-0,01083025818477908	0,00040409149431110502	0,01083025818477908
1	0	0	1	0	0	1	24531,15	-0,100000001	1,27963746	-0,00027773399901886781	-0,099984240857320947	0,000127943582	-0,011107992183797949	0,00041445412323183213	0,011107992183797949
1	0	0	1	0	0	1	24541,15	-0,100000001	1,27343154	-0,0002777336805148257	-0,09998412619586441	0,000127322943	-0,011385725864312773	0,00042481674026874522	0,011385725864312773
1	0	0	1	0	0	1	24551,15	-0,100000001	1,26703477	-0,00027773372696919574	-0,099984142919437824	0,000126683386	-0,011663459591281968	0,00043517935903893331	0,011663459591281968
1	0	0	1	0	0	1	24561,15	-0,100000001	1,26059985	-0,00027773331565989389	-0,099983994848087373	0,000126039813	-0,011941192906941862	0,0004455419624626183	0,011941192906941862
1	0	0	1	0	0	1	24571,15	-0,100000001	1,25416481	-0,00027773378101115424	-0,099984162374543117	0,000125396618	-0,012218926687953016	0,00045590458324918458	0,012218926687953016
1	0	0	1	0	0	1	24581,15	-0,100000001	1,24763441	-0,0002777338419184089	-0,099984184301155072	0,000124743703	-0,012496660529871427	0,0004662672063082823	0,012496660529871427
1	0	0	1	0	0	1	24591,15	-0,100000001	1,24104667	-0,00027773335920398432	-0,099984010523960115	0,000124084821	-0,01277439388907541	0,00047662981135665587	0,01277439388907541
1	0	0	1	0	0	1	24601,15	-0,100000001	1,23438251	-0,00027773354031518106	-0,099984075723991731	0,000123418591	-0,013052127429390592	0,00048699242316253171	0,013052127429390592
1	0	0	1	0	0	1	24611,15	-0,100000001	1,22779477	-0,00027773342732878195	-0,099984035048887565	0,00012275987	-0,013329860856719373	0,00049735503075273306	0,013329860856719373
1	0	0	1	0	0	1	24621,15	-0,100000001	1,22099698	-0,0002777332744664616	-0,099983980018451571	0,000122080135	-0,013607594131185835	0,00050771763263943571	0,013607594131185835
1	0	0	1	0	0	1	24631,15	-0,100000001	1,21412277	-0,00027773374263693888	-0,099984148559825421	0,00012139303	-0,013885327873822774	0,00051808025199420832	0,013885327873822774
1	0	0	1	0	0	1	24641,15	-0,100000001	1,20726776	-0,00027773358957676426	-0,099984093458161894	0,000120707569	-0,014163061463399539	0,0005284428656381001	0,014163061463399539
1	0	0	1	0	0	1	24651,15	-0,100000001	1,2004317	-0,00027773395161786016	-0,09998422379295799	0,000120024233	-0,014440795415017398	0,00053880549279023187	0,014440795415017398
1	0	0	1	0	0	1	24661,15	-0,100000001	1,19342399	-0,00027773392384954624	-0,099984213796364864	0,000119323558	-0,014718529338866944	0,00054916811890629056	0,014718529338866944
1	0	0	1	0	0	1	24671,15	-0,100000001	1,1862824	-0,00027773382964688867	-0,099984179883407744	0,000118609474	-0,014996263168513834	0,00055953074150752141	0,014996263168513834
1	0	0	1	0	0	1	24681,15	-0,100000001	1,17912185	-0,00027773364757415322	-0,099984114337222182	0,000117893454	-0,015273996816087984	0,0005698933573153737	0,015273996816087984
1	0	0	1	0	0	1	24691,15	-0,100000001	1,17171299	-0,00027773350096783706	-0,099984061558947712	0,000117152624	-0,015551730317055824	0,00058025596765314714	0,015551730317055824
1	0	0	1	0	0	1	24701,15	-0,100000001	1,16443789	-0,0002777333350868689	-0,099984001841798464	0,000116425159	-0,015829463652142691	0,00059061857180167885	0,015829463652142691
1	0	0	1	0	0	1	24711,15	-0,100000001	1,15679991	-0,00027773347078139581	-0,099984050691828736	0,00011566154	-0,016107197122924086	0,00060098118101315558	0,016107197122924086
1	0	0	1	0	0	1	24721,15	-0,100000001	1,1491046	-0,00027773363240145978	-0,099984108875052467	0,000114892202	-0,016384930755325549	0,00061134379625489434	0,016384930755325549
1	0	0	1	0	0	1	24731,15	-0,100000001	1,14118028	-0,00027773353106114602	-0,099984072392539072	0,00011409985	-0,016662664286386691	0,00062170640771548954	0,016662664286386691
1	0	0	1	0	0	1	24741,15	-0,100000001	1,13312221	-0,00027773344577890301	-0,099984041690931213	0,00011329414	-0,016940397732165594	0,00063206901599408986	0,016940397732165594
