EC-Lab ASCII FILE
Nb header lines : 3                           
mode	error	time/s	Ewe/V
3	0	45402,14	4,18850565
3	0	45462,14	3,82081413
3	0	45522,14	3,66351032
3	0	45582,14	3,55274081
3	0	45642,14	3,46715736
3	0	45702,14	3,39778566
3	0	45762,14	3,33939338
3	0	45822,14	3,28936458
3	0	45882,14	3,24519825
3	0	45942,14	3,20551896
3	0	46002,14	3,16950583
3	0	46062,14	3,13677716
3	0	46122,14	3,10668373
3	0	46182,14	3,07924438
3	0	46242,14	3,05373359
3	0	46302,14	3,03020859
3	0	46362,14	3,00845957
3	0	46422,14	2,98816156
3	0	46482,14	2,96939135
3	0	46542,14	2,95191956
3	0	46602,14	2,93528771
3	0	46662,14	2,91972542
3	0	46722,14	2,90517521
3	0	46782,14	2,89144588
3	0	46842,14	2,87830853
3	0	46902,14	2,86576319
3	0	46962,14	2,85405803
3	0	47022,14	2,84281111
3	0	47082,14	2,83207989
3	0	47142,14	2,8218832
3	0	47202,14	2,8121829
3	0	47262,14	2,80267358
3	0	47322,14	2,79375648
3	0	47382,14	2,78514457
3	0	47442,14	2,7770102
3	0	47502,14	2,76910496
3	0	47562,14	2,76139045
3	0	47622,14	2,75409627
3	0	47682,14	2,74701214
3	0	47742,14	2,74013782
3	0	47802,14	2,73372197
3	0	47862,14	2,72724891
3	0	47922,14	2,72106218
3	0	47982,14	2,71512365
3	0	48042,14	2,70941424
3	0	48102,14	2,70381927
3	0	48162,14	2,69833922
3	0	48222,14	2,69308805
3	0	48282,14	2,68800879
3	0	48342,14	2,68296766
3	0	48402,14	2,67819405
3	0	48462,14	2,67349672
3	0	48522,14	2,66887569
3	0	48582,14	2,66454124
3	0	48642,14	2,66018748
3	0	48702,14	2,65608215
3	0	48762,14	2,65188122
3	0	48822,14	2,64783311
3	0	48882,14	2,64405227
3	0	48942,14	2,6402142
3	0	49002,14	2,63641429
3	0	49062,14	2,6327672
3	0	49122,14	2,62923455
3	0	49182,14	2,62562561
3	0	49242,14	2,62232232
3	0	49302,14	2,61896157
3	0	49362,14	2,61575365
3	0	49422,14	2,61237383
3	0	49482,14	2,60931873
3	0	49542,14	2,60630178
3	0	49602,14	2,60326552
3	0	49662,14	2,60028672
3	0	49722,14	2,59734607
3	0	49782,14	2,59440565
3	0	49842,14	2,59157944
3	0	49902,14	2,58890629
3	0	49962,14	2,58615661
3	0	50022,14	2,58350229
3	0	50082,14	2,58084822
3	0	50142,14	2,57828951
3	0	50202,14	2,57571173
3	0	50262,14	2,57332468
3	0	50322,14	2,57088065
3	0	50382,14	2,56843638
3	0	50442,14	2,56616426
3	0	50502,14	2,56381559
3	0	50562,14	2,56140947
3	0	50622,14	2,55921364
3	0	50682,14	2,55697942
3	0	50742,14	2,55480266
3	0	50802,14	2,55275965
3	0	50862,14	2,55056357
3	0	50922,14	2,54853964
3	0	50982,14	2,546592
3	0	51042,14	2,54431963
3	0	51102,14	2,54248643
3	0	51162,14	2,54050064
3	0	51222,14	2,53859115
3	0	51282,14	2,53675795
3	0	51342,14	2,53473401
3	0	51402,14	2,53291988
3	0	51462,14	2,53108692
3	0	51522,14	2,52927279
3	0	51582,14	2,52755427
3	0	51642,14	2,52579761
3	0	51702,14	2,52402163
3	0	51762,14	2,52228403
3	0	51822,14	2,52060366
3	0	51882,14	2,51899981
3	0	51942,14	2,51733851
3	0	52002,14	2,51573443
3	0	52062,14	2,51414967
3	0	52122,14	2,51248837
3	0	52182,14	2,51092267
3	0	52242,14	2,50929952
3	0	52302,14	2,5079248
3	0	52362,14	2,50628257
3	0	52422,14	2,50477409
3	0	52482,14	2,50338006
3	0	52542,14	2,50175714
3	0	52602,14	2,50038218
3	0	52662,14	2,49887371
3	0	52722,14	2,49759436
3	0	52782,14	2,49616218
3	0	52842,14	2,49484468
3	0	52902,14	2,49331713
3	0	52962,14	2,49196148
3	0	53022,14	2,49054837
3	0	53082,14	2,48924994
3	0	53142,14	2,48793244
3	0	53202,14	2,48655748
3	0	53262,14	2,48527813
3	0	53322,14	2,48407507
3	0	53382,14	2,48273849
3	0	53442,14	2,48157382
3	0	53502,14	2,48033261
3	0	53562,14	2,47907233
3	0	53622,14	2,4778502
3	0	53682,14	2,4767046
3	0	53742,14	2,47542524
3	0	53802,14	2,47420311
3	0	53862,14	2,47311473
3	0	53922,14	2,47193074
3	0	53982,14	2,47070885
3	0	54042,14	2,46956301
3	0	54102,14	2,46855092
3	0	54162,14	2,46740532
3	0	54222,14	2,46627879
3	0	54282,14	2,46522856
3	0	54342,14	2,4641211
3	0	54402,14	2,46299434
3	0	54462,14	2,4619441
3	0	54522,14	2,46083665
3	0	54582,14	2,45982456
3	0	54642,14	2,45885086
3	0	54702,14	2,45770502
3	0	54762,14	2,45671225
3	0	54822,14	2,45562387
3	0	54882,14	2,45474529
3	0	54942,14	2,45380974
3	0	55002,14	2,45285511
3	0	55062,14	2,45176649
3	0	55122,14	2,45081186
3	0	55182,14	2,44989538
3	0	55242,14	2,4488833
3	0	55302,14	2,44787121
3	0	55362,14	2,44705009
3	0	55422,14	2,44619083
3	0	55482,14	2,44523621
3	0	55542,14	2,44428134
3	0	55602,14	2,44334579
3	0	55662,14	2,4424293
3	0	55722,14	2,44155073
3	0	55782,14	2,44069147
3	0	55842,14	2,43975592
3	0	55902,14	2,43904948
3	0	55962,14	2,4380374
3	0	56022,14	2,43731165
3	0	56082,14	2,43639517
3	0	56142,14	2,43547869
3	0	56202,14	2,4346385
