EC-Lab ASCII FILE
Nb header lines : 3                           
mode	ox/red	error	control changes	Ns changes	counter inc.	Ns	time/s	control/V/mA	Ewe/V	dq/mA.h	<I>/mA	P/W	(Q-Qo)/mA.h	x	Capacity/mA.h
1	0	0	1	1	0	1	74296,44	-0,300000012	4,18318367	0	0	0	0	0	0
1	0	0	1	0	0	1	74306,44	-0,300000012	4,11904716	-0,00082878937590713357	-0,29835827818340653	0,00122895185	-0,00082878937590713357	3,09232459342624E-005	0,00082878937590713357
1	0	0	1	0	0	1	74316,44	-0,300000012	4,1125803	-0,00083291403041945562	-0,29984312488175731	0,00123312895	-0,0016617034063265891	6,2000388274036506E-005	0,0016617034063265891
1	0	0	1	0	0	1	74326,44	-0,300000012	4,10721922	-0,00083291168987419878	-0,29984228300022842	0,00123151799	-0,0024946150962007882	9,3077443284920192E-005	0,0024946150962007882
1	0	0	1	0	0	1	74336,44	-0,300000012	4,10126734	-0,0008329144666973088	-0,2998432826367936	0,00122973742	-0,0033275295628980973	0,00012415460190280758	0,0033275295628980973
1	0	0	1	0	0	1	74346,44	-0,300000012	4,09844398	-0,00083291272995869325	-0,29984265658551309	0,00122888829	-0,0041604422928567904	0,00015523169572064214	0,0041604422928567904
1	0	0	1	0	0	1	74356,44	-0,300000012	4,0934267	-0,00083291053781078925	-0,29984186714862086	0,00122738071	-0,0049933528306675795	0,00018630870774649107	0,0049933528306675795
1	0	0	1	0	0	1	74366,44	-0,300000012	4,0902791	-0,00083290425616833907	-0,2998396058997696	0,00122642773	-0,0058262570868359181	0,00021738548539581437	0,0058262570868359181
1	0	0	1	0	0	1	74376,44	-0,300000012	4,08596754	-0,00083290297146472666	-0,29983914443484147	0,00122513296	-0,0066591600583006451	0,00024846221511111862	0,0066591600583006451
1	0	0	1	0	0	1	74386,44	-0,300000012	4,08400297	-0,00083290971161425114	-0,29984157084072064	0,00122455391	-0,0074920697699148966	0,00027953919631046384	0,0074920697699148966
1	0	0	1	0	0	1	74396,44	-0,300000012	4,08302975	-0,0008329078630556663	-0,29984090485618112	0,00122425938	-0,0083249776329705626	0,00031061610853760288	0,0083249776329705626
1	0	0	1	0	0	1	74406,44	-0,300000012	4,07980585	-0,00083291761509743002	-0,29984441492145402	0,00122330699	-0,0091578952480679923	0,00034169338462653184	0,0091578952480679923
1	0	0	1	0	0	1	74416,44	-0,300000012	4,07703972	-0,00083292145215471578	-0,29984579623477485	0,00122248323	-0,0099908167002227072	0,00037277080388122714	0,0099908167002227072
1	0	0	1	0	0	1	74426,44	-0,300000012	4,07442617	-0,00083292456384499866	-0,29984691732869414	0,00122170418	-0,010823741264067707	0,00040384833923727059	0,010823741264067707
1	0	0	1	0	0	1	74436,44	-0,300000012	4,07158375	-0,00083291287480956979	-0,29984270956853229	0,00122083467	-0,011656654138877277	0,00043492543845968614	0,011656654138877277
1	0	0	1	0	0	1	74446,44	-0,300000012	4,06925631	-0,00083291670375565683	-0,29984408776641222	0,00122014247	-0,012489570842632934	0,00046600268054522829	0,012489570842632934
1	0	0	1	0	0	1	74456,44	-0,300000012	4,06706238	-0,00083290962387621402	-0,29984153813867674	0,00121947424	-0,013322480466509149	0,00049707965847094944	0,013322480466509149
1	0	0	1	0	0	1	74466,44	-0,300000012	4,06528807	-0,00083291474395990374	-0,29984338133237376	0,00121894968	-0,014155395210469051	0,00052815682743387693	0,014155395210469051
1	0	0	1	0	0	1	74476,44	-0,300000012	4,0630374	-0,00083290608606570291	-0,29984026513847482	0,00121826224	-0,014988301296534752	0,00055923367335913126	0,014988301296534752
