EC-Lab ASCII FILE
Nb header lines : 46                          

Open Circuit Voltage

Run on channel : 2 (SN 6986)
Grouped channel(s) : 2
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Ewe ctrl range : min = -10,00 V, max = 10,00 V
Acquisition started on : 02.12.2015 14:59:29
Saved on :
	File : LiCoO2_LATP_Li_01_OCV_C02.mpr
	Directory : C:\Hupfer\Studenten Batterietests\LiCoO2_LATP_Li\PEIS_GCPL\
	Host : 192.168.0.2
Device : VMP3 (SN 0324)
Address : 192.168.0.1
EC-Lab for windows v10.33 (software)
Internet server v10.33 (firmware)
Command interpretor v10.32 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Mass of active material : 0,001 mg
 at x = 0,000
Molecular weight of active material (at x = 0) : 0,001 g/mol
Atomic weight of intercalated ion : 0,001 g/mol
Acquisition started at : xo = 0,000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26,801 mA.h
Battery capacity : 0,000 A.h
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
tR (h:m:s)          0:10:0,0000         
dER/dt (mV/h)       0,0                 
dER (mV)            0,00                
dtR (s)             5,0000              
E range min (V)     -10,000             
E range max (V)     10,000              

Number of loops : 1
Loop 0 from point number 0 to 120

mode	error	time/s	Ewe/V
3	0	0,0000	0,969070256
3	0	5,0000	0,974658728
3	0	10,0000	0,980247259
3	0	15,0000	0,985988319
3	0	20,0000	0,991214454
3	0	25,0000	0,996688485
3	0	30,0000	1,00218165
3	0	35,0000	1,00792277
3	0	40,0000	1,01368296
3	0	45,0000	1,01919508
3	0	50,0000	1,02482176
3	0	55,0000	1,030334
3	0	60,0000	1,0359987
3	0	65,0000	1,04141557
3	0	70,0000	1,04645097
3	0	75,0000	1,05152452
3	0	80,0000	1,05631185
3	0	85,0000	1,06165242
3	0	90,0000	1,06743169
3	0	95,0000	1,07372594
3	0	100,0000	1,07961953
3	0	105,0000	1,08566582
3	0	110,0000	1,09123528
3	0	115,0000	1,09688091
3	0	120,0000	1,10229778
3	0	125,0000	1,10781002
3	0	130,0000	1,1130743
3	0	135,0000	1,11851013
3	0	140,0000	1,12369812
3	0	145,0000	1,12894332
3	0	150,0000	1,13422668
3	0	155,0000	1,1396625
3	0	160,0000	1,14485049
3	0	165,0000	1,15000033
3	0	170,0000	1,15532184
3	0	175,0000	1,16028082
3	0	180,0000	1,16573584
3	0	185,0000	1,17052329
3	0	190,0000	1,17559683
3	0	195,0000	1,18034601
3	0	200,0000	1,1849618
3	0	205,0000	1,18961573
3	0	210,0000	1,19472742
3	0	215,0000	1,19959104
3	0	220,0000	1,20455015
3	0	225,0000	1,20943296
3	0	230,0000	1,21416318
3	0	235,0000	1,21855009
3	0	240,0000	1,22331834
3	0	245,0000	1,2275908
3	0	250,0000	1,23188233
3	0	255,0000	1,23613572
3	0	260,0000	1,24063694
3	0	265,0000	1,24519551
3	0	270,0000	1,24986851
3	0	275,0000	1,2544843
3	0	280,0000	1,25883305
3	0	285,0000	1,26316261
3	0	290,0000	1,26735878
3	0	295,0000	1,27140236
3	0	300,0000	1,27519798
3	0	305,0000	1,27912712
3	0	310,0000	1,28315151
3	0	315,0000	1,28713787
3	0	320,0000	1,29102886
3	0	325,0000	1,29421413
3	0	330,0000	1,29759014
3	0	335,0000	1,30102324
3	0	340,0000	1,30460906
3	0	345,0000	1,30794692
3	0	350,0000	1,31166625
3	0	355,0000	1,31542373
3	0	360,0000	1,31944823
3	0	365,0000	1,32358706
3	0	370,0000	1,32740176
3	0	375,0000	1,33136904
3	0	380,0000	1,33480227
3	0	385,0000	1,33833086
3	0	390,0000	1,34185934
3	0	395,0000	1,34523535
3	0	400,0000	1,34887838
3	0	405,0000	1,35219717
3	0	410,0000	1,35530615
3	0	415,0000	1,35852957
3	0	420,0000	1,36194372
3	0	425,0000	1,36509073
3	0	430,0000	1,36829507
3	0	435,0000	1,37148035
3	0	440,0000	1,37470376
3	0	445,0000	1,37790811
3	0	450,0000	1,38084543
3	0	455,0000	1,38391614
3	0	460,0000	1,38610959
3	0	465,0000	1,38843656
3	0	470,0000	1,39101148
3	0	475,0000	1,39375806
3	0	480,0000	1,39635205
3	0	485,0000	1,39923215
3	0	490,0000	1,40215039
3	0	495,0000	1,40499222
3	0	500,0000	1,4078151
3	0	505,0000	1,41073334
3	0	510,0000	1,41384232
3	0	515,0000	1,4175235
3	0	520,0000	1,42091858
3	0	525,0000	1,42406559
3	0	530,0000	1,42696476
3	0	535,0000	1,42990208
3	0	540,0000	1,43301105
3	0	545,0000	1,43570042
3	0	550,0000	1,43838978
3	0	555,0000	1,44069767
3	0	560,0000	1,4424715
3	0	565,0000	1,44399738
3	0	570,0000	1,4457711
3	0	575,0000	1,44834602
3	0	580,0000	1,4517411
3	0	585,0000	1,45542228
3	0	590,0000	1,45841682
3	0	595,0000	1,4614495
3	0	600,0000	1,46379554
