EC-Lab ASCII FILE
Nb header lines : 55                          

Cyclic Voltammetry

Run on channel : 1 (SN 6985)
Grouped channel(s) : 1
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Ewe ctrl range : min = -5,00 V, max = 5,00 V
Acquisition started on : 02.10.2015 14:36:53
Saved on :
	File : LiNiMnO-LATP-LTO_Spinell_C01.mpr
	Directory : C:\Hupfer\Studenten Batterietests\LiNiMnO_LATP_LTO-Spinell\CV\
	Host : 192.168.0.2
Device : VMP3 (SN 0324)
Address : 192.168.0.1
EC-Lab for windows v10.33 (software)
Internet server v10.33 (firmware)
Command interpretor v10.32 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Mass of active material : 0,001 mg
 at x = 0,000
Molecular weight of active material (at x = 0) : 0,001 g/mol
Atomic weight of intercalated ion : 0,001 g/mol
Acquisition started at : xo = 0,000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26,801 mA.h
Battery capacity : 0,000 A.h
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
Ei (V)              0,000               
vs.                 Eoc                 
dE/dt               20,000              
dE/dt unit          mV/s                
E1 (V)              1,000               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -5,000              
E range max (V)     5,000               
I Range             Auto                
Bandwidth           5                   
E2 (V)              -1,000              
vs.                 Ref                 
nc cycles           0                   
Reverse Scan        1                   
Ef (V)              0,000               
vs.                 Eoc                 

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	P/W
2	1	0	1	0	0,0000	0,493685216	0,494432837	2,0373672668938525E-005	1	0	1,00734132E-008
2	1	0	1	0	0,0550	0,49478507	0,495390564	8,5122944707128576E-006	1	4,86255036E-010	4,21691038E-009
2	1	0	0	0	0,1552	0,496785194	0,497457862	1,1703060847812744E-005	1	1,52044799E-009	5,8217795E-009
2	1	0	0	0	0,2552	0,498785287	0,499338001	1,4629378057637197E-005	1	2,85840618E-009	7,3050046E-009
2	1	0	0	0	0,3552	0,50078547	0,501271605	1,7657369806695651E-005	1	4,49596138E-009	8,85113849E-009
2	1	0	0	0	0,4552	0,502785563	0,503227532	2,067564332930015E-005	1	6,43482378E-009	1,04045528E-008
2	1	0	0	0	0,5552	0,504785717	0,505290329	2,3620005587569382E-005	1	8,67075212E-009	1,19349606E-008
2	1	0	0	0	0,6552	0,50678581	0,507277429	2,6495463670370486E-005	1	1,12002976E-008	1,34405509E-008
2	1	0	0	0	0,7552	0,508785963	0,509237766	2,9481492912576896E-005	1	1,40226541E-008	1,50130894E-008
2	1	0	0	0	0,8552	0,510786057	0,511198103	3,2413930141585946E-005	1	1,71412289E-008	1,65699401E-008
2	1	0	0	0	0,9552	0,512786269	0,513260901	3,5263475103453869E-005	1	2,05510258E-008	1,80993638E-008
2	1	0	0	0	1,0552	0,514786363	0,515234649	3,8242287911527091E-005	1	2,42494202E-008	1,97037515E-008
2	1	0	0	0	1,1552	0,516786456	0,517324209	4,1026611197762918E-005	1	2,8234826E-008	2,1224059E-008
2	1	0	0	0	1,2552	0,518786609	0,51932019	4,3850685983670861E-005	1	3,25013048E-008	2,27725465E-008
2	1	0	0	0	1,3552	0,520786703	0,521405339	4,672275695240919E-005	1	3,70501461E-008	2,43614942E-008
2	1	0	0	0	1,4552	0,522786856	0,523472607	4,9503249312221043E-005	1	4,18830979E-008	2,59135948E-008
2	1	0	0	0	1,5552	0,524787009	0,525415123	5,2185978330709901E-005	1	4,69907455E-008	2,74193024E-008
2	1	0	0	0	1,6552	0,526787102	0,527348757	5,5052160102301952E-005	1	5,2376091E-008	2,90316891E-008
2	1	0	0	0	1,7552	0,528787255	0,529202163	5,7871668509000794E-005	1	5,80459698E-008	3,0625813E-008
2	1	0	0	0	1,8552	0,530787349	0,53135854	6,0695890641471744E-005	1	6,39988187E-008	3,2251279E-008
2	1	0	0	0	1,9552	0,532787442	0,53344363	6,351510205604416E-005	1	7,02350889E-008	3,38817259E-008
