EC-Lab ASCII FILE
Nb header lines : 61                          

Cyclic Voltammetry

Run on channel : 1 (SN 6985)
Grouped channel(s) : 1
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Ewe ctrl range : min = -5,00 V, max = 5,00 V
Acquisition started on : 02.10.2015 14:44:20
Saved on :
	File : LiNiMnO-LATP-LTO_Spinell_01_CV_C01.mpr
	Directory : C:\Hupfer\Studenten Batterietests\LiNiMnO_LATP_LTO-Spinell\CV2\
	Host : 192.168.0.2
Device : VMP3 (SN 0324)
Address : 192.168.0.1
EC-Lab for windows v10.33 (software)
Internet server v10.33 (firmware)
Command interpretor v10.32 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Mass of active material : 0,001 mg
 at x = 0,000
Molecular weight of active material (at x = 0) : 0,001 g/mol
Atomic weight of intercalated ion : 0,001 g/mol
Acquisition started at : xo = 0,000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26,801 mA.h
Battery capacity : 0,000 A.h
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
Ei (V)              0,000               
vs.                 Eoc                 
dE/dt               20,000              
dE/dt unit          mV/s                
E1 (V)              1,000               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -5,000              
E range max (V)     5,000               
I Range             Auto                
Bandwidth           5                   
E2 (V)              -1,000              
vs.                 Ref                 
nc cycles           0                   
Reverse Scan        1                   
Ef (V)              0,000               
vs.                 Eoc                 

Number of loops : 4
Loop 0 from point number 0 to 2003
Loop 1 from point number 2004 to 4007
Loop 2 from point number 4008 to 6013
Loop 3 from point number 6014 to 6488

mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	P/W
2	1	0	1	0	0,0000	0,353876591	0,354697287	-2,0969322577002458E-005	1	0	7,43776196E-009
2	1	0	1	0	0,0550	0,354976535	0,355641723	-6,9888237376726554E-006	1	-4,04374811E-010	2,48551735E-009
2	1	0	0	0	0,1552	0,356976658	0,357655525	-3,0977179085272499E-006	1	-8,79970652E-010	1,10791587E-009
2	1	0	0	0	0,2552	0,358976811	0,359584689	3,9284422480043616E-007	1	-9,87274484E-010	1,41260767E-010
2	1	0	0	0	0,3552	0,360976905	0,361536115	3,602226215619977E-006	1	-7,64527552E-010	1,30233491E-009
2	1	0	0	0	0,4552	0,362977028	0,363500923	6,8011544201872128E-006	1	-2,24088428E-010	2,47222598E-009
2	1	0	0	0	0,5552	0,364977151	0,36556825	9,845635130322953E-006	1	6,27358165E-010	3,59925156E-009
2	1	0	0	0	0,6552	0,366977274	0,367461741	1,289556382675112E-005	1	1,7848828E-009	4,73862638E-009
2	1	0	0	0	0,7552	0,368977368	0,369609177	1,5818283315040931E-005	1	3,24368354E-009	5,84658277E-009
2	1	0	0	0	0,8552	0,370977521	0,371547282	1,870890686935439E-005	1	4,99189756E-009	6,95124358E-009
2	1	0	0	0	0,9552	0,372977644	0,373436391	2,1542402746659066E-005	1	7,02718506E-009	8,04471689E-009
2	1	0	0	0	1,0552	0,374977797	0,375436783	2,4521217066345968E-005	1	9,35429689E-009	9,2061665E-009
2	1	0	0	0	1,1552	0,376977891	0,377406061	2,7508278138712861E-005	1	1,1978404E-008	1,03817905E-008
2	1	0	0	0	1,2552	0,378978014	0,379482239	3,0481646667289549E-005	1	1,49009685E-008	1,15672432E-008
2	1	0	0	0	1,3552	0,380978107	0,381455988	3,3435433069657562E-005	1	1,81198114E-008	1,27541462E-008
2	1	0	0	0	1,4552	0,382978261	0,383460909	3,6294841766835738E-005	1	2,16262972E-008	1,39176528E-008
2	1	0	0	0	1,5552	0,384978414	0,385621727	3,9048537229501901E-005	1	2,54143373E-008	1,50579638E-008
2	1	0	0	0	1,6552	0,386978537	0,387519717	4,2070491800856288E-005	1	2,9493E-008	1,63031455E-008
2	1	0	0	0	1,7552	0,38897863	0,389480054	4,4962586419690541E-005	1	3,38648967E-008	1,75120309E-008
2	1	0	0	0	1,8552	0,390978783	0,391516149	4,78839836356808E-005	1	3,85295031E-008	1,87473521E-008
2	1	0	0	0	1,9552	0,392978847	0,393489838	5,0740447999554842E-005	1	4,34836132E-008	1,99658512E-008
2	1	0	0	0	2,0552	0,394979	0,395534843	5,3580567939409165E-005	1	4,87222884E-008	2,11929816E-008
2	1	0	0	0	2,1552	0,396979094	0,397325903	5,6347808712989363E-005	1	5,4241081E-008	2,23884449E-008
2	1	0	0	0	2,2552	0,398979217	0,399571419	5,9131247300885965E-005	1	6,00367471E-008	2,36271571E-008
2	1	0	0	0	2,3552	0,40097931	0,40157631	6,1658791402671181E-005	1	6,6095545E-008	2,47607108E-008
2	1	0	0	0	2,4552	0,402979463	0,403523296	6,4452832265049843E-005	1	7,24220399E-008	2,60082196E-008
2	1	0	0	0	2,5552	0,404979587	0,405505925	6,7356114708740685E-005	1	7,90344856E-008	2,73133036E-008
2	1	0	0	0	2,6552	0,40697968	0,407546461	7,0212728655018611E-005	1	8,59345874E-008	2,86149486E-008
2	1	0	0	0	2,7552	0,408979833	0,409609288	7,3046076648905549E-005	1	9,3118004E-008	2,99203506E-008
2	1	0	0	0	2,8552	0,410979956	0,411703318	7,5832021366295526E-005	1	1,00582866E-007	3,12202957E-008
2	1	0	0	0	2,9552	0,412980109	0,413668126	7,8659628511727846E-005	1	1,08329068E-007	3,25389813E-008
2	1	0	0	0	3,0552	0,414980203	0,415561646	8,1430401737465946E-005	1	1,16353348E-007	3,38393527E-008
2	1	0	0	0	3,1552	0,416980326	0,417744786	8,4150675682529306E-005	1	1,24654107E-007	3,5153505E-008
2	1	0	0	0	3,2552	0,418980479	0,419642746	8,6910705569472141E-005	1	1,33231723E-007	3,64714481E-008
2	1	0	0	0	3,3553	0,420980543	0,421692491	8,9671212793305267E-005	1	1,4208959E-007	3,78136775E-008
2	1	0	1	0	3,4554	0,422980726	0,423590183	9,235139931560192E-005	1	1,51218657E-007	3,9119147E-008
2	1	0	1	0	3,5554	0,424980819	0,425719857	9,5081980555699571E-005	1	1,60610114E-007	4,04782874E-008
2	1	0	1	0	3,6554	0,426980972	0,427608907	9,7787824870465126E-005	1	1,70277801E-007	4,18149462E-008
2	1	0	1	0	3,7554	0,428981096	0,429484576	0,0001005493292756945	1	1,80218024E-007	4,31843858E-008
2	1	0	1	0	3,8554	0,430981189	0,431730151	0,00010333658807818802	1	1,90432928E-007	4,46135218E-008
2	1	0	1	0	3,9554	0,432981342	0,433552325	0,0001059857526241909	1	2,00920397E-007	4,59503688E-008
2	1	0	1	0	4,0554	0,434981465	0,435655236	0,00010880747339359454	1	2,11682519E-007	4,74025441E-008
2	1	0	1	0	4,1554	0,436981559	0,437677979	0,00011149534879627453	1	2,22719748E-007	4,8799059E-008
2	1	0	1	0	4,2554	0,438981712	0,439633876	0,000114250377767652	1	2,34029656E-007	5,0228337E-008
2	1	0	1	0	4,3554	0,440981835	0,441598684	0,00011698448797351022	1	2,45610977E-007	5,16601943E-008
2	1	0	1	0	4,4554	0,442981929	0,443501115	0,00011966515376116194	1	2,57464166E-007	5,30716306E-008
2	1	0	1	0	4,5554	0,444982082	0,445715427	0,00012238188645386384	1	2,69588924E-007	5,45474954E-008
2	1	0	1	0	4,6554	0,446982145	0,44762674	0,00012502074186057958	1	2,81981073E-007	5,59626265E-008
2	1	0	1	0	4,7554	0,448982269	0,449662834	0,00012773100996599706	1	2,94638795E-007	5,74358872E-008
2	1	0	1	0	4,8554	0,450982422	0,451436073	0,0001304822033287357	1	3,07569081E-007	5,89043729E-008
2	1	0	1	0	4,9554	0,452982515	0,453570217	0,00013317081897589058	1	3,20770738E-007	6,04023143E-008
2	1	0	1	0	5,0554	0,454982638	0,455499411	0,00013579730739365914	1	3,34241406E-007	6,18555944E-008
2	1	0	1	0	5,1554	0,456982762	0,457508743	0,00013852832090479813	1	3,47979096E-007	6,3377918E-008
2	1	0	1	0	5,2554	0,458982885	0,459357679	0,00014120915346683038	1	3,61985315E-007	6,48655103E-008
