EC-Lab ASCII FILE
Nb header lines : 46                          

Open Circuit Voltage

Run on channel : 1 (SN 6985)
Grouped channel(s) : 1
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Ewe ctrl range : min = -5,00 V, max = 5,00 V
Acquisition started on : 02.09.2015 13:33:11
Saved on :
	File : LiNiMnO-LATP-LTO_Spinell_01_OCV_C01.mpr
	Directory : C:\Hupfer\Studenten Batterietests\LiNiMnO_LATP_LTO-Spinell\
	Host : 192.168.0.2
Device : VMP3 (SN 0324)
Address : 192.168.0.1
EC-Lab for windows v10.33 (software)
Internet server v10.33 (firmware)
Command interpretor v10.32 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Mass of active material : 0,001 mg
 at x = 0,000
Molecular weight of active material (at x = 0) : 0,001 g/mol
Atomic weight of intercalated ion : 0,001 g/mol
Acquisition started at : xo = 0,000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26,801 mA.h
Battery capacity : 0,000 A.h
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
tR (h:m:s)          0:10:0,0000         
dER/dt (mV/h)       0,0                 
dER (mV)            0,00                
dtR (s)             5,0000              
E range min (V)     -5,000              
E range max (V)     5,000               

Number of loops : 1
Loop 0 from point number 0 to 120

mode	error	time/s	Ewe/V
3	0	0,0000	0,464883864
3	0	5,0000	0,474832326
3	0	10,0000	0,480140686
3	0	15,0000	0,481057256
3	0	20,0000	0,476245344
3	0	25,0000	0,468397319
3	0	30,0000	0,461542249
3	0	35,0000	0,465857714
3	0	40,0000	0,478212118
3	0	45,0000	0,480197996
3	0	50,0000	0,472540915
3	0	55,0000	0,46429193
3	0	60,0000	0,460549325
3	0	65,0000	0,462382436
3	0	70,0000	0,46394822
3	0	75,0000	0,472961009
3	0	80,0000	0,477257371
3	0	85,0000	0,48130548
3	0	90,0000	0,479739696
3	0	95,0000	0,478135735
3	0	100,0000	0,479319632
3	0	105,0000	0,47588253
3	0	110,0000	0,468893796
3	0	115,0000	0,468511909
3	0	120,0000	0,467805386
3	0	125,0000	0,466640592
3	0	130,0000	0,462076932
3	0	135,0000	0,458678037
3	0	140,0000	0,460644811
3	0	145,0000	0,461847782
3	0	150,0000	0,470707804
3	0	155,0000	0,472693682
3	0	160,0000	0,476321727
3	0	165,0000	0,478059351
3	0	170,0000	0,480178893
3	0	175,0000	0,479300529
3	0	180,0000	0,478536725
3	0	185,0000	0,478823155
3	0	190,0000	0,477792025
3	0	195,0000	0,476493567
3	0	200,0000	0,473285615
3	0	205,0000	0,465284854
3	0	210,0000	0,460835755
3	0	215,0000	0,458849877
3	0	220,0000	0,462210596
3	0	225,0000	0,464444697
3	0	230,0000	0,471662551
3	0	235,0000	0,475386083
3	0	240,0000	0,477028221
3	0	245,0000	0,478574932
3	0	250,0000	0,477486521
3	0	255,0000	0,475405157
3	0	260,0000	0,466125041
3	0	265,0000	0,464158267
3	0	270,0000	0,459651858
3	0	275,0000	0,458143353
3	0	280,0000	0,45818156
3	0	285,0000	0,459308147
3	0	290,0000	0,460167438
3	0	295,0000	0,459766448
3	0	300,0000	0,459480017
3	0	305,0000	0,459480017
3	0	310,0000	0,460148335
3	0	315,0000	0,459269971
3	0	320,0000	0,459480017
3	0	325,0000	0,459613681
3	0	330,0000	0,461007595
3	0	335,0000	0,461981446
3	0	340,0000	0,46366179
3	0	345,0000	0,468320966
3	0	350,0000	0,468397319
3	0	355,0000	0,468645573
3	0	360,0000	0,468702853
3	0	365,0000	0,468855619
3	0	370,0000	0,468015432
3	0	375,0000	0,467614442
3	0	380,0000	0,467366219
3	0	385,0000	0,467786282
3	0	390,0000	0,468072712
3	0	395,0000	0,468263656
3	0	400,0000	0,469065666
3	0	405,0000	0,470841467
3	0	410,0000	0,472598225
3	0	415,0000	0,474202186
3	0	420,0000	0,475672483
3	0	425,0000	0,473381102
3	0	430,0000	0,46371907
3	0	435,0000	0,461045802
3	0	440,0000	0,456940383
3	0	445,0000	0,455431879
3	0	450,0000	0,456673056
3	0	455,0000	0,457513243
3	0	460,0000	0,461026698
3	0	465,0000	0,465074807
3	0	470,0000	0,467213452
3	0	475,0000	0,467690825
3	0	480,0000	0,469103843
3	0	485,0000	0,473056495
3	0	490,0000	0,474087626
3	0	495,0000	0,474202186
3	0	500,0000	0,472961009
3	0	505,0000	0,471471608
3	0	510,0000	0,472197205
3	0	515,0000	0,468435526
3	0	520,0000	0,461427689
3	0	525,0000	0,456863999
3	0	530,0000	0,453006834
3	0	535,0000	0,454973608
3	0	540,0000	0,455718309
3	0	545,0000	0,457704186
3	0	550,0000	0,459136307
3	0	555,0000	0,458945364
3	0	560,0000	0,459747344
3	0	565,0000	0,459518194
3	0	570,0000	0,459250867
3	0	575,0000	0,45766601
3	0	580,0000	0,457093149
3	0	585,0000	0,455985636
3	0	590,0000	0,455355525
3	0	595,0000	0,456405729
3	0	600,0000	0,457589626
