EC-Lab ASCII FILE
Nb header lines : 48                          

Open Circuit Voltage

Run on channel : 6 (SN 5437)
Grouped channel(s) : 6
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Ewe ctrl range : min = 0,00 V, max = 5,00 V
Acquisition started on : 01.23.2015 15:08:00
Saved on :
	File : S vs Li GCPL 300µm_04_OCV_C06.mpr
	Directory : C:\Hupfer\Studenten Batterietests\S vs Li GCPL 300µm\
	Host : 192.168.0.2
Device : VMP3 (SN 0324)
Address : 192.168.0.1
EC-Lab for windows v10.33 (software)
Internet server v10.33 (firmware)
Command interpretor v10.32 (firmware)
Electrode material : S vs Li
Initial state : charged
Electrolyte : LP30
Comments : 300µm
Mass of active material : 0,001 mg
 at x = 0,000
Molecular weight of active material (at x = 0) : 0,001 g/mol
Atomic weight of intercalated ion : 0,001 g/mol
Acquisition started at : xo = 0,000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26,801 mA.h
Battery capacity : 0,000 A.h
Reference electrode : Li+/Li (-3,020 V)
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
Create one data file per loop
tR (h:m:s)          3:00:0,0000         
dER/dt (mV/h)       0,0                 
dER (mV)            0,00                
dtR (s)             60,0000             
E range min (V)     0,000               
E range max (V)     5,000               

Number of loops : 1
Loop 0 from point number 0 to 180

mode	error	time/s	Ewe/V
3	0	764356,6604	2,36203313
3	0	764416,6605	2,3472898
3	0	764476,6606	2,3437469
3	0	764536,6607	2,34109902
3	0	764596,6609	2,33923244
3	0	764656,6610	2,33753705
3	0	764716,6611	2,33633709
3	0	764776,6613	2,33496547
3	0	764836,6614	2,33378458
3	0	764896,6615	2,33275604
3	0	764956,6616	2,33180356
3	0	765016,6618	2,33098459
3	0	765076,6619	2,33003211
3	0	765136,6620	2,32913685
3	0	765196,6621	2,32826066
3	0	765256,6623	2,3277843
3	0	765316,6624	2,32730818
3	0	765376,6625	2,32666063
3	0	765436,6626	2,32587957
3	0	765496,6628	2,3253653
3	0	765556,6629	2,32483196
3	0	765616,6630	2,32391763
3	0	765676,6632	2,32370806
3	0	765736,6633	2,32311749
3	0	765796,6634	2,32256508
3	0	765856,6635	2,32218409
3	0	765916,6637	2,32161283
3	0	765976,6638	2,32107949
3	0	766036,6639	2,32039356
3	0	766096,6640	2,32022214
3	0	766156,6642	2,31957459
3	0	766216,6643	2,3191936
3	0	766276,6644	2,31873655
3	0	766336,6645	2,31837463
3	0	766396,6647	2,31789827
3	0	766456,6648	2,31782222
3	0	766516,6649	2,31734586
3	0	766576,6651	2,31717443
3	0	766636,6652	2,31685066
3	0	766696,6653	2,31627917
3	0	766756,6654	2,31580305
3	0	766816,6656	2,3156507
3	0	766876,6657	2,31519341
3	0	766936,6658	2,31481242
3	0	766996,6659	2,31456494
3	0	767056,6661	2,3143363
3	0	767116,6662	2,3138411
3	0	767176,6663	2,31351733
3	0	767236,6664	2,31342196
3	0	767296,6666	2,31296492
3	0	767356,6667	2,31275535
3	0	767416,6668	2,3124125
3	0	767476,6670	2,31218386
3	0	767536,6671	2,3119173
3	0	767596,6672	2,31161237
3	0	767656,6673	2,3112886
3	0	767716,6675	2,3110981
3	0	767776,6676	2,31088853
3	0	767836,6677	2,3104887
3	0	767896,6678	2,31026006
3	0	767956,6680	2,31012678
3	0	768016,6681	2,3097837
3	0	768076,6682	2,30949807
3	0	768136,6683	2,30921245
3	0	768196,6685	2,3089838
3	0	768256,6686	2,30883145
3	0	768316,6687	2,30860281
3	0	768376,6689	2,30827904
3	0	768436,6690	2,30791712
3	0	768496,6691	2,30787897
3	0	768556,6692	2,30759335
3	0	768616,6694	2,30749798
3	0	768676,6695	2,30721235
3	0	768736,6696	2,30704093
3	0	768796,6697	2,30675507
3	0	768856,6699	2,30664086
3	0	768916,6700	2,30650759
3	0	768976,6701	2,30629802
3	0	769036,6702	2,3059361
3	0	769096,6704	2,30582166
3	0	769156,6705	2,30566931
3	0	769216,6706	2,30540276
3	0	769276,6708	2,30509782
3	0	769336,6709	2,30490756
3	0	769396,6710	2,30483127
3	0	769456,6711	2,30475497
3	0	769516,6713	2,30458355
3	0	769576,6714	2,30439305
3	0	769636,6715	2,30408835
3	0	769696,6716	2,3038218
3	0	769756,6718	2,30385971
3	0	769816,6719	2,30359316
3	0	769876,6720	2,30336452
3	0	769936,6721	2,30330729
3	0	769996,6723	2,30304074
3	0	770056,6724	2,30298352
3	0	770116,6725	2,30279303
3	0	770176,6727	2,30258346
3	0	770236,6728	2,30243111
3	0	770296,6729	2,30216455
3	0	770356,6730	2,30210733
3	0	770416,6732	2,30201221
3	0	770476,6733	2,30184078
3	0	770536,6734	2,30157399
3	0	770596,6735	2,3013835
3	0	770656,6737	2,30128837
3	0	770716,6738	2,30132627
3	0	770776,6739	2,30111694
3	0	770836,6740	2,30094552
3	0	770896,6742	2,30065966
3	0	770956,6743	2,30067873
3	0	771016,6744	2,30060244
3	0	771076,6746	2,30033588
3	0	771136,6747	2,30035496
3	0	771196,6748	2,29999304
3	0	771256,6749	2,30008817
3	0	771316,6751	2,29968834
3	0	771376,6752	2,29961205
3	0	771436,6753	2,29963112
3	0	771496,6754	2,29947877
3	0	771556,6756	2,29947877
3	0	771616,6757	2,29930735
3	0	771676,6758	2,29894543
3	0	771736,6759	2,29890728
3	0	771796,6761	2,29867864
3	0	771856,6762	2,29867864
3	0	771916,6763	2,29854536
3	0	771976,6765	2,29846907
3	0	772036,6766	2,29831672
3	0	772096,6767	2,29822159
3	0	772156,6768	2,29822159
3	0	772216,6770	2,29808807
3	0	772276,6771	2,29806924
3	0	772336,6772	2,29801202
3	0	772396,6773	2,2977643
3	0	772456,6775	2,29766917
3	0	772516,6776	2,2975738
3	0	772576,6777	2,2975359
3	0	772636,6778	2,29755473
3	0	772696,6780	2,29738331
3	0	772756,6781	2,2971549
3	0	772816,6782	2,29717398
3	0	772876,6784	2,29692626
3	0	772936,6785	2,29679298
3	0	772996,6786	2,29660249
3	0	773056,6787	2,29656434
3	0	773116,6789	2,29652619
3	0	773176,6790	2,29629755
3	0	773236,6791	2,29641199
3	0	773296,6792	2,2963357
3	0	773356,6794	2,29608822
3	0	773416,6795	2,29612613
3	0	773476,6796	2,29578328
3	0	773536,6797	2,2959168
3	0	773596,6799	2,2957263
3	0	773656,6800	2,29566908
3	0	773716,6801	2,29559278
3	0	773776,6803	2,29555488
3	0	773836,6804	2,29534531
3	0	773896,6805	2,29521179
3	0	773956,6806	2,29511666
3	0	774016,6808	2,29509759
3	0	774076,6809	2,29504037
3	0	774136,6810	2,29486895
3	0	774196,6811	2,29458332
3	0	774256,6813	2,29458332
3	0	774316,6814	2,29445004
3	0	774376,6815	2,29456425
3	0	774436,6816	2,29445004
3	0	774496,6818	2,29437375
3	0	774556,6819	2,29424047
3	0	774616,6820	2,29399276
3	0	774676,6822	2,2940309
3	0	774736,6823	2,29404998
3	0	774796,6824	2,29395461
3	0	774856,6825	2,29380226
3	0	774916,6827	2,29376435
3	0	774976,6828	2,29376435
3	0	775036,6829	2,29361176
3	0	775096,6830	2,29336429
3	0	775156,6472	2,29338336
