EC-Lab ASCII FILE
Nb header lines : 3                           
mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	P/W
2	0	0	1	0	8480,84	3,10466647	3,10504365	-0,80122458934783936	8	0	0,00248783734
2	0	0	1	0	8480,87	3,10436583	3,10455203	-0,78209514031186611	8	-2,36020314E-005	0,00242805504
2	0	0	1	0	8480,92	3,10386586	3,10408068	-0,75793869933113459	8	-6,20502469E-005	0,0023527029
2	0	0	1	0	8480,97	3,1033659	3,10352945	-0,74248193266491392	8	-9,95414957E-005	0,00230431464
2	0	0	1	0	8481,02	3,10286593	3,10323882	-0,73121070427199091	8	-0,000136376766	0,00226912135
2	0	0	1	0	8481,07	3,10236597	3,10249686	-0,72263307884956518	8	-0,000172723972	0,00224196678
2	0	0	1	0	8481,12	3,10186601	3,10219622	-0,71636394380281306	8	-0,000208708414	0,00222230144
2	0	0	1	0	8481,17	3,1013658	3,10143447	-0,71104836293185638	8	-0,000244403898	0,00220526988
2	0	0	1	0	8481,22	3,10086656	3,1010952	-0,70673129998228749	8	-0,000279861386	0,00219164114
2	0	0	0	0	8481,27	3,10036516	3,1006515	-0,70343232168993766	8	-0,000315271958	0,00218109856
2	0	0	0	0	8481,32	3,09986448	3,0999701	-0,7004142478236695	8	-0,000350386952	0,00217126333
2	0	0	0	0	8481,37	3,09936571	3,09963012	-0,69783229536066752	8	-0,000385360734	0,00216302206
2	0	0	0	0	8481,42	3,09886527	3,09899831	-0,69581144706656589	8	-0,000420220633	0,0021563184
2	0	0	0	0	8481,47	3,09836531	3,09848738	-0,69396435081337856	8	-0,000454987283	0,00215023989
2	0	0	0	0	8481,52	3,09786534	3,09804606	-0,69236093355963878	8	-0,000489666243	0,00214496604
2	0	0	0	0	8481,57	3,09736538	3,09778547	-0,69104875422393165	8	-0,000524272677	0,00214072084
2	0	0	0	0	8481,62	3,09686542	3,09716392	-0,68994355186199168	8	-0,000558822067	0,00213686819
2	0	0	0	0	8481,67	3,09636521	3,09657264	-0,68871987440313024	8	-0,00059331127	0,00213267119
