EC-Lab ASCII FILE
Nb header lines : 3                           
mode	ox/red	error	control changes	Ns changes	counter inc.	Ns	time/s	control/V/mA	Ewe/V	dq/mA.h	<I>/mA	P/W	(Q-Qo)/mA.h	x	Capacity/mA.h
1	0	0	0	1	0	1	14641,14	-0,100000001	3,53030181	0	0	0	0	0	0
1	0	0	0	0	0	1	14651,14	-0,100000001	3,45063782	-0,00027634504925634243	-0,099484218936757965	0,000343284017	-0,00027634504925634243	1,031080533762448E-005	0,00027634504925634243
1	0	0	0	0	0	1	14661,14	-0,100000001	3,41873026	-0,00027771744810707037	-0,099978282529001728	0,00034179879	-0,00055406249736341274	2,0672816721579494E-005	0,00055406249736341274
1	0	0	0	0	0	1	14671,14	-0,100000001	3,39612174	-0,00027771735289734272	-0,099978248253499366	0,000339538296	-0,00083177985026075546	3,1034824553131558E-005	0,00083177985026075546
1	0	0	0	0	0	1	14681,14	-0,100000001	3,37714148	-0,00027771720451489088	-0,099978194835816077	0,000337640522	-0,0011094970547756464	4,1396826848334854E-005	0,0011094970547756464
1	0	0	0	0	0	1	14691,14	-0,100000001	3,35986066	-0,00027771742943425971	-0,099978275806789824	0,000335913064	-0,0013872144842099059	5,1758837535582195E-005	0,0013872144842099059
1	0	0	0	0	0	1	14701,14	-0,100000001	3,34389734	-0,0002777171758843793	-0,09997818452883177	0,000334316777	-0,0016649316600942854	6,2120838762542605E-005	0,0016649316600942854
1	0	0	0	0	0	1	14711,14	-0,100000001	3,32823944	-0,00027771699093571968	-0,099978117947313498	0,000332751108	-0,0019426486510300051	7,2482833088819853E-005	0,0019426486510300051
1	0	0	0	0	0	1	14721,14	-0,100000001	3,31323075	-0,00027771708282579978	-0,099978151027742746	0,000331250689	-0,0022203657338558048	8,2844830843639539E-005	0,0022203657338558048
1	0	0	0	0	0	1	14731,14	-0,100000001	3,29841328	-0,00027771688893602957	-0,099978081227424614	0,000329769042	-0,0024980826227918346	9,3206821364171213E-005	0,0024980826227918346
1	0	0	0	0	0	1	14741,14	-0,100000001	3,28384376	-0,0002777167703298231	-0,099978038529189773	0,00032831225	-0,0027757993931216579	0,00010356880745934587	0,0027757993931216579
1	0	0	0	0	0	1	14751,14	-0,100000001	3,26912165	-0,00027771708359569312	-0,099978151304904333	0,000326840731	-0,003053516476717351	0,0001139308052428913	0,003053516476717351
1	0	0	0	0	0	1	14761,14	-0,100000001	3,25462866	-0,00027771663715897331	-0,099977990587683264	0,000325391244	-0,0033312331138763245	0,00012429278636928251	0,0033312331138763245
1	0	0	0	0	0	1	14771,14	-0,100000001	3,23998284	-0,00027771702668898634	-0,099978130818489651	0,000323927437	-0,0036089501405653107	0,00013465478202956221	0,0036089501405653107
1	0	0	0	0	0	1	14781,14	-0,100000001	3,22537518	-0,00027771774426185421	-0,099978389144725222	0,000322467822	-0,0038866678848271648	0,0001450168044634504	0,0038866678848271648
1	0	0	0	0	0	1	14791,14	-0,100000001	3,21055746	-0,00027771791977518134	-0,09997845232952375	0,000320986554	-0,0041643858046023462	0,00015537883344597677	0,0041643858046023462
1	0	0	0	0	0	1	14801,14	-0,100000001	3,19575906	-0,000277717659122828	-0,099978358494675418	0,00031950674	-0,0044421034637251738	0,00016574085270321344	0,0044421034637251738
1	0	0	0	0	0	1	14811,14	-0,100000001	3,18080759	-0,00027771757294858493	-0,099978327471947533	0,000318011822	-0,0047198210366737587	0,00017610286874517318	0,0047198210366737587
1	0	0	0	0	0	1	14821,14	-0,100000001	3,16572261	-0,00027771728235358992	-0,099978222857748045	0,000316503312	-0,0049975383190273478	0,00018646487394464298	0,0049975383190273478
1	0	0	0	0	0	1	14831,14	-0,100000001	3,15058041	-0,00027771751676541232	-0,099978307246005146	0,000314989709	-0,0052752558357927603	0,00019682688789033302	0,0052752558357927603
1	0	0	0	0	0	1	14841,14	-0,100000001	3,13520908	-0,00027771825215179059	-0,099978571985104525	0,000313453726	-0,0055529740879445504	0,0002071889292742776	0,0055529740879445504
1	0	0	0	0	0	1	14851,14	-0,100000001	3,1197803	-0,00027771828047765629	-0,099978582182416282	0,000311911223	-0,0058306923684222067	0,00021755097171509834	0,0058306923684222067
1	0	0	0	0	0	1	14861,14	-0,100000001	3,10431337	-0,00027771786347404122	-0,09997843206111305	0,000310364383	-0,0061084102318962483	0,0002279129985969535	0,0061084102318962483
1	0	0	0	0	0	1	14871,14	-0,100000001	3,08863664	-0,00027771795873633693	-0,09997846635553993	0,000308797142	-0,0063861281906325862	0,00023827502903317299	0,0063861281906325862
1	0	0	0	0	0	1	14881,14	-0,100000001	3,07278776	-0,00027771759086557562	-0,099978333922064243	0,000307212205	-0,0066638457814981606	0,00024863704574363978	0,0066638457814981606
1	0	0	0	0	0	1	14891,14	-0,100000001	3,05703449	-0,00027771753168313037	-0,099978312616383706	0,000305637164	-0,0069415633131812915	0,00025899906024592998	0,0069415633131812915
1	0	0	0	0	0	1	14901,14	-0,100000001	3,04099488	-0,00027771682849319446	-0,099978059468003712	0,000304032757	-0,0072192801416744858	0,00026936104851125818	0,0072192801416744858
1	0	0	0	0	0	1	14911,14	-0,100000001	3,02495503	-0,00027771664984275898	-0,09997799515384617	0,000302428933	-0,0074969967915172442	0,0002797230301108985	0,0074969967915172442
1	0	0	0	0	0	1	14921,14	-0,100000001	3,00883889	-0,00027771664721146221	-0,099977994206579315	0,000300817686	-0,0077747134387287066	0,00029008501161236154	0,0077747134387287066
1	0	0	0	0	0	1	14931,14	-0,100000001	2,99255109	-0,00027771671203192739	-0,099978017541947072	0,000299189327	-0,0080524301507606336	0,00030044699553236333	0,0080524301507606336
1	0	0	0	0	0	1	14941,14	-0,100000001	2,97647309	-0,00027771727851861053	-0,099978221477155456	0,000297582475	-0,0083301474292792448	0,0003108090005887449	0,0083301474292792448
1	0	0	0	0	0	1	14951,14	-0,100000001	2,96024251	-0,00027771744811866019	-0,099978282533174093	0,000295959966	-0,0086078648773979059	0,00032117101197313235	0,0086078648773979059
1	0	0	0	0	0	1	14961,14	-0,100000001	2,94389725	-0,00027771737157967357	-0,09997825497913856	0,000294325699	-0,0088855822489775795	0,00033153302050174733	0,0088855822489775795
1	0	0	0	0	0	1	14971,14	-0,100000001	2,92770481	-0,00027771794519407878	-0,099978461480326938	0,000292707409	-0,0091633001941716582	0,00034189505043268698	0,0091633001941716582
1	0	0	0	0	0	1	14981,14	-0,100000001	2,91126394	-0,00027771711953398256	-0,099978164242688691	0,000291062839	-0,009441017313705641	0,0003522570495571383	0,009441017313705641
1	0	0	0	0	0	1	14991,14	-0,100000001	2,89499521	-0,00027771714456544979	-0,099978173254017024	0,000289436342	-0,0097187344582710912	0,00036261904961554733	0,0097187344582710912
1	0	0	0	0	0	1	15001,14	-0,100000001	2,87870717	-0,00027771683992031549	-0,099978063581767334	0,000287807576	-0,0099964512981914061	0,0003729810383072368	0,0099964512981914061
1	0	0	0	0	0	1	15011,14	-0,100000001	2,86230469	-0,00027771691342939936	-0,099978090045037837	0,000286167749	-0,010274168211620803	0,00038334302974164902	0,010274168211620803
1	0	0	0	0	0	1	15021,14	-0,100000001	2,84620762	-0,00027771715665236115	-0,099978177605305139	0,000284558657	-0,010551885368273166	0,00039370503025103699	0,010551885368273166
1	0	0	0	0	0	1	15031,14	-0,100000001	2,82993889	-0,00027771690824876227	-0,099978088180008486	0,000282931869	-0,010829602276521928	0,00040406702149215264	0,010829602276521928
1	0	0	0	0	0	1	15041,14	-0,100000001	2,81365085	-0,00027771697457383078	-0,099978112057033434	0,00028130351	-0,011107319251095758	0,00041442901520794579	0,011107319251095758
