EC-Lab ASCII FILE
Nb header lines : 3                           
mode	error	time/s	Ewe/V
3	0	332818,57	4,1961031
3	0	332878,57	4,06039572
3	0	332938,57	4,03721428
3	0	332998,57	4,02778149
3	0	333058,57	4,02232027
3	0	333118,58	4,01815748
3	0	333178,58	4,01510239
3	0	333238,58	4,01261997
3	0	333298,58	4,01050043
3	0	333358,58	4,00849581
3	0	333418,58	4,00681543
3	0	333478,58	4,00526857
3	0	333538,58	4,00395107
3	0	333598,58	4,00259542
3	0	333658,58	4,00131607
3	0	333718,58	4,00013208
3	0	333778,58	3,99890995
3	0	333838,58	3,99806976
3	0	333898,58	3,99690485
3	0	333958,58	3,99591208
3	0	334018,58	3,99512911
3	0	334078,58	3,99428892
3	0	334138,58	3,99350595
3	0	334198,58	3,99264669
3	0	334258,58	3,99192119
3	0	334318,58	3,99106193
3	0	334378,58	3,99037457
3	0	334438,58	3,98966789
3	0	334498,58	3,98913336
3	0	334558,58	3,98835039
3	0	334618,58	3,9877584
3	0	334678,58	3,98707104
3	0	334738,58	3,98653626
3	0	334798,58	3,98592544
3	0	334858,58	3,98539066
3	0	334918,58	3,9847796
3	0	334978,58	3,98420668
3	0	335038,58	3,98369122
3	0	335098,58	3,9832902
3	0	335158,58	3,98260283
3	0	335218,58	3,98220181
3	0	335278,58	3,98162889
3	0	335338,58	3,98109436
3	0	335398,58	3,98071241
3	0	335458,58	3,98019695
3	0	335518,58	3,9797194
3	0	335578,58	3,97929931
3	0	335638,58	3,97882199
3	0	335698,58	3,97832561
3	0	335758,58	3,97786736
3	0	335818,58	3,97756171
3	0	335878,58	3,97719908
3	0	335938,58	3,97672153
3	0	335998,58	3,97626328
3	0	336058,58	3,97582412
3	0	336118,58	3,97557592
3	0	336178,58	3,97509861
3	0	336238,58	3,97462106
3	0	336298,58	3,97435379
3	0	336358,58	3,97395277
3	0	336418,58	3,97345638
3	0	336478,58	3,97315073
3	0	336538,58	3,97296
3	0	336598,58	3,97248244
3	0	336658,58	3,97225332
3	0	336718,58	3,97183323
3	0	336778,58	3,97145128
3	0	336838,58	3,97106957
3	0	336898,58	3,97076392
3	0	336958,59	3,97049665
3	0	337018,59	3,97011471
3	0	337078,59	3,96977115
3	0	337138,59	3,96950364
3	0	337198,59	3,96908355
3	0	337258,59	3,96883535
3	0	337318,59	3,96843433
3	0	337378,59	3,96828175
3	0	337438,59	3,96793795
3	0	337498,59	3,96774697
3	0	337558,59	3,96730781
3	0	337618,59	3,96702147
3	0	337678,59	3,96681142
3	0	337738,59	3,96648669
3	0	337798,59	3,96608567
3	0	337858,59	3,96585655
3	0	337918,59	3,96553206
3	0	337978,59	3,96524549
3	0	338038,59	3,96507359
3	0	338098,59	3,96482539
3	0	338158,59	3,96446276
3	0	338218,59	3,964329
3	0	338278,59	3,96402359
3	0	338338,59	3,96375608
3	0	338398,59	3,96350789
3	0	338458,59	3,96324062
3	0	338518,59	3,96289682
3	0	338578,59	3,9626677
3	0	338638,59	3,96243858
3	0	338698,59	3,9621141
3	0	338758,59	3,96190405
3	0	338818,59	3,96175122
3	0	338878,59	3,96148396
3	0	338938,59	3,9611783
3	0	338998,59	3,96098733
3	0	339058,59	3,96079636
3	0	339118,59	3,96054816
3	0	339178,59	3,96033812
3	0	339238,59	3,9600327
3	0	339298,59	3,95980358
3	0	339358,59	3,95961261
3	0	339418,59	3,95928788
3	0	339478,59	3,95911598
3	0	339538,59	3,95886779
3	0	339598,59	3,95877242
3	0	339658,59	3,95844769
3	0	339718,59	3,95823765
3	0	339778,59	3,95812321
3	0	339838,59	3,95785594
3	0	339898,59	3,95758843
3	0	339958,59	3,95737839
3	0	340018,59	3,95713019
3	0	340078,59	3,95693922
3	0	340138,59	3,95686293
3	0	340198,59	3,95657635
3	0	340258,59	3,95638561
3	0	340318,59	3,95615649
3	0	340378,59	3,95590806
3	0	340438,59	3,95569801
3	0	340498,59	3,95562172
3	0	340558,59	3,95527792
3	0	340618,59	3,95506787
3	0	340678,59	3,9548769
3	0	340738,59	3,95474339
3	0	340798,60	3,95457149
3	0	340858,60	3,95447612
3	0	340918,60	3,95415139
3	0	340978,60	3,95397949
3	0	341038,60	3,95371222
3	0	341098,60	3,953655
3	0	341158,60	3,9533112
3	0	341218,60	3,95310116
3	0	341278,60	3,95294833
3	0	341338,60	3,9527576
3	0	341398,60	3,95260477
3	0	341458,60	3,95243287
3	0	341518,60	3,95220375
3	0	341578,60	3,95208907
3	0	341638,60	3,95185995
3	0	341698,60	3,95166898
3	0	341758,60	3,95155454
3	0	341818,60	3,95143986
3	0	341878,60	3,95117259
3	0	341938,60	3,95094347
3	0	341998,60	3,95088625
3	0	342058,60	3,95056152
3	0	342118,60	3,95044708
3	0	342178,60	3,95027518
3	0	342238,60	3,95012236
3	0	342298,60	3,95000792
3	0	342358,60	3,94987416
3	0	342418,60	3,94956875
3	0	342478,60	3,94949222
3	0	342538,60	3,94928217
3	0	342598,60	3,94903398
3	0	342658,60	3,94903398
3	0	342718,60	3,94886208
3	0	342778,60	3,94874763
3	0	342838,60	3,94848013
3	0	342898,60	3,94836569
3	0	342958,60	3,94825101
3	0	343018,60	3,94806004
3	0	343078,60	3,94790745
3	0	343138,60	3,94783092
3	0	343198,60	3,94762087
3	0	343258,60	3,94739175
3	0	343318,60	3,94721985
3	0	343378,60	3,94708633
3	0	343438,60	3,94697165
3	0	343498,60	3,94689536
3	0	343558,60	3,94664717
3	0	343618,57	3,94653249
