EC-Lab ASCII FILE
Nb header lines : 3                           
mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	P/W
2	0	0	1	0	8040,75	2,39355302	2,39390588	-0,02476387843489647	7	0	5,92823926E-005
2	0	0	1	0	8040,78	2,39325237	2,39385533	-0,025957507207446384	7	-7,78079993E-007	6,21385188E-005
2	0	0	1	0	8040,83	2,39275241	2,39322448	-0,028076859928357069	7	-2,14450938E-006	6,71942253E-005
2	0	0	0	0	8040,88	2,39225149	2,39279413	-0,030334761182818816	7	-3,62331366E-006	7,25848367E-005
2	0	0	1	0	8040,93	2,391752	2,39242339	-0,032637745726278752	7	-5,21323591E-006	7,8083307E-005
2	0	0	1	0	8040,98	2,39125228	2,39159322	-0,0347993548610368	7	-6,91527657E-006	8,32259029E-005
2	0	0	0	0	8041,03	2,39075208	2,3912921	-0,03703328181290999	7	-8,73068348E-006	8,85573972E-005
2	0	0	0	0	8041,08	2,39025211	2,39062095	-0,039319735980825498	7	-1,06551615E-005	9,39985839E-005
2	0	0	0	0	8041,13	2,38975191	2,39021063	-0,041554232321990182	7	-1,26932382E-005	9,93233698E-005
2	0	0	0	0	8041,18	2,38925195	2,38954949	-0,043758566326384198	7	-1,48414802E-005	0,00010456326
2	0	0	0	0	8041,23	2,38875175	2,38936949	-0,046031792163072851	7	-1,71021948E-005	0,000109986962
2	0	0	0	0	8041,28	2,38825178	2,3886683	-0,048343117416758784	7	-1,94779168E-005	0,000115475676
2	0	0	0	0	8041,33	2,38775182	2,38831782	-0,050609311981437254	7	-2,19679296E-005	0,000120871118
2	0	0	0	0	8041,38	2,38725138	2,38773704	-0,052897266519721485	7	-2,45715855E-005	0,00012630476
2	0	0	0	0	8041,43	2,38675141	2,38732648	-0,05521376648296905	7	-2,72909147E-005	0,000131813285
2	0	0	0	0	8041,48	2,38625145	2,38665557	-0,057509134038506547	7	-3,01252385E-005	0,000137254494
2	0	0	0	0	8041,53	2,38575149	2,38606477	-0,059778739465400627	7	-3,30731818E-005	0,000142635938
2	0	0	0	0	8041,58	2,38525128	2,38570428	-0,06211317681785056	7	-3,6137506E-005	0,000148183666
2	0	0	0	0	8041,63	2,38475132	2,38542366	-0,064400502461163802	7	-3,93160044E-005	0,000153622488
2	0	0	0	0	8041,68	2,38425112	2,38475275	-0,066672429170769882	7	-4,26088882E-005	0,000158997253
2	0	0	0	0	8041,73	2,38375115	2,38441229	-0,068996796345648704	7	-4,60165757E-005	0,000164516809
2	0	0	0	0	8041,78	2,38325095	2,3838017	-0,071286179959618893	7	-4,95402055E-005	0,000169932115
2	0	0	0	0	8041,83	2,38275099	2,38332081	-0,073518709531829926	7	-5,31762598E-005	0,000175218665
2	0	0	0	0	8041,88	2,38225102	2,38299036	-0,075868851505220045	7	-5,6926845E-005	0,000180794741
2	0	0	0	0	8041,93	2,38175106	2,38211918	-0,078270769678056576	7	-6,07968868E-005	0,000186450299
2	0	0	0	0	8041,98	2,38125062	2,38159871	-0,080443658012275981	7	-6,47816923E-005	0,000191584506
2	0	0	0	0	8042,03	2,38075066	2,38131809	-0,082751547549075213	7	-6,88775399E-005	0,000197057758
2	0	0	0	0	8042,08	2,38025069	2,38077736	-0,085025191927949606	7	-7,30879183E-005	0,000202426047
2	0	0	0	0	8042,13	2,37975049	2,38029695	-0,087389061557284544	7	-7,74146101E-005	0,000208011916
2	0	0	0	0	8042,18	2,37925053	2,37988615	-0,089789018617011494	7	-8,18604822E-005	0,000213687643
2	0	0	0	0	8042,23	2,37875032	2,37939572	-0,092215320832716992	7	-8,64272806E-005	0,000219416746
2	0	0	0	0	8042,28	2,37825012	2,37875485	-0,094534808478784154	7	-9,11120587E-005	0,000224875141
2	0	0	0	0	8042,33	2,37775087	2,37813473	-0,096847595297292915	7	-9,59122117E-005	0,000230316626
2	0	0	1	0	8042,40	2,37704992	2,37750673	-0,10018881284105475	7	-0,000102866026	0,000238199573
2	0	0	1	0	8042,47	2,37635016	2,37700224	-0,10340929337932403	7	-0,000109972891	0,000245804113
2	0	0	1	0	8042,52	2,3758502	2,37633157	-0,10587997501716018	7	-0,000115222785	0,000251605932
2	0	0	1	0	8042,57	2,37534976	2,37591076	-0,10825670347548976	7	-0,000120593279	0,000257208274
2	0	0	1	0	8042,62	2,3748498	2,3752799	-0,11061672548142587	7	-0,00012608261	0,000262745685
2	0	0	1	0	8042,67	2,37434983	2,37481928	-0,11307318826826941	7	-0,000131692548	0,000268528383
2	0	0	1	0	8042,72	2,37384963	2,37435865	-0,115584688144736	7	-0,000137427414	0,000274439517
2	0	0	1	0	8042,77	2,37334967	2,37381792	-0,11794564120161045	7	-0,000143281519	0,000279981468
2	0	0	1	0	8042,82	2,3728497	2,37353754	-0,12027823490401123	7	-0,000149254978	0,000285484915
2	0	0	1	0	8042,87	2,3723495	2,3727262	-0,1227268853690473	7	-0,000155347778	0,000291197299
2	0	0	1	0	8042,92	2,3718493	2,37246585	-0,12514532947291923	7	-0,000161561809	0,000296903017
2	0	0	1	0	8042,97	2,37134933	2,37190533	-0,12755868098853806	7	-0,000167897102	0,000302557106
2	0	0	1	0	8043,02	2,37084961	2,37135434	-0,12995728497238134	7	-0,00017435172	0,000308174785
2	0	0	1	0	8043,07	2,37034941	2,37076354	-0,13240139426973952	7	-0,000180927222	0,000313892408
2	0	0	1	0	8043,12	2,36984897	2,37030292	-0,1347954746646185	7	-0,00018762394	0,0003195061
2	0	0	1	0	8043,17	2,36934924	2,36965227	-0,13726945295153808	7	-0,0001944424	0,000325280882
2	0	0	1	0	8043,22	2,36884904	2,36930156	-0,13965775154065368	7	-0,000201384202	0,000330891315
2	0	0	1	0	8043,27	2,36834908	2,36891103	-0,14208363543730274	7	-0,000208445461	0,0003365835
2	0	0	1	0	8043,32	2,36784887	2,36842036	-0,14450167433824413	7	-0,000215627369	0,000342240703
2	0	0	1	0	8043,37	2,36734891	2,36771941	-0,14683831013583904	7	-0,000222926552	0,000347671914
2	0	0	1	0	8043,42	2,36684871	2,36720872	-0,14930733669704454	7	-0,000230347941	0,000353441632
