EC-Lab ASCII FILE
Nb header lines : 3                           
mode	ox/red	error	control changes	Ns changes	counter inc.	Ns	time/s	control/V/mA	Ewe/V	dq/mA.h	<I>/mA	P/W	(Q-Qo)/mA.h	x	Capacity/mA.h
1	0	0	1	1	0	1	469384,62	-0,100000001	2,51067162	0	0	0	0	0	0
1	0	0	1	0	0	1	469394,62	-0,100000001	2,24276686	-0,00027633943359186784	-0,099480280608266803	0,00022311107	-0,00027633943359186784	1,0310595809632592E-005	0,00027633943359186784
1	0	0	1	0	0	1	469404,62	-0,100000001	2,23012137	-0,00027771240314758486	-0,099974540129069888	0,000222955365	-0,00055405183673945274	2,0672418959366186E-005	0,00055405183673945274
1	0	0	1	0	0	1	469414,62	-0,100000001	2,22228217	-0,0002777131857118673	-0,099974821851442445	0,000222172268	-0,00083176502245132006	3,1034271307625325E-005	0,00083176502245132006
1	0	0	1	0	0	1	469424,62	-0,100000001	2,21572089	-0,00027771328568168813	-0,099974857835229632	0,000221516384	-0,0011094783081330082	4,139612738589289E-005	0,0011094783081330082
1	0	0	1	0	0	1	469434,62	-0,100000001	2,21129584	-0,00027771301900222896	-0,099974761832472858	0,000221073773	-0,0013871913271352371	5,1757973513991283E-005	0,0013871913271352371
1	0	0	1	0	0	1	469444,62	-0,100000001	2,20738578	-0,00027771361793619062	-0,099974977444547469	0,000220683345	-0,0016649049450714278	6,2119841989121062E-005	0,0016649049450714278
1	0	0	1	0	0	1	469454,62	-0,100000001	2,20524955	-0,0002777136340894633	-0,09997498325961367	0,000220469781	-0,0019426185791608912	7,2481711066951155E-005	0,0019426185791608912
1	0	0	1	0	0	1	469464,62	-0,100000001	2,2030561	-0,0002777135231246551	-0,099974943313051891	0,000220250411	-0,0022203321022855466	8,2843576004535078E-005	0,0022203321022855466
1	0	0	1	0	0	1	469474,62	-0,100000001	2,20158744	-0,00027771316738964784	-0,099974815250915098	0,000220103291	-0,0024980452696751946	9,3205427669167578E-005	0,0024980452696751946
1	0	0	1	0	0	1	469484,62	-0,100000001	2,20071006	-0,00027771303200721741	-0,099974766514178573	0,00022001547	-0,0027757583016824118	0,00010356727428249955	0,0027757583016824118
1	0	0	1	0	0	1	469494,63	-0,100000001	2,19956589	-0,00027771249285298915	-0,099974572422393613	0,000219900656	-0,003053470794535401	0,0001139291007792624	0,003053470794535401
1	0	0	1	0	0	1	469504,63	-0,100000001	2,19899368	-0,00027771250376146701	-0,099974576349370048	0,000219843467	-0,0033311832982968678	0,00012429092768303523	0,0033311832982968678
1	0	0	1	0	0	1	469514,63	-0,100000001	2,19832611	-0,00027771317799596326	-0,099974819069697062	0,000219777256	-0,0036088964762928307	0,0001346527797434036	0,0036088964762928307
1	0	0	1	0	0	1	469524,63	-0,100000001	2,19781113	-0,00027771328467544582	-0,099974857472989402	0,000219725858	-0,0038866097609682765	0,00014501463578412691	0,0038866097609682765
1	0	0	1	0	0	1	469534,63	-0,100000001	2,19729614	-0,00027771348079087008	-0,09997492807318272	0,000219674519	-0,0041643232417591469	0,00015537649914218038	0,0041643232417591469
1	0	0	1	0	0	1	469544,63	-0,100000001	2,19710541	-0,00027771318691058294	-0,099974822276570675	0,000219655223	-0,0044420364286697299	0,00016573835153516522	0,0044420364286697299
1	0	0	1	0	0	1	469554,63	-0,100000001	2,19681931	-0,00027771339000182019	-0,099974895389754074	0,000219626774	-0,0047197498186715501	0,00017610021150575718	0,0047197498186715501
1	0	0	1	0	0	1	469564,63	-0,100000001	2,19580841	-0,00027771359073577654	-0,099974967652586957	0,000219525871	-0,0049974634094073274	0,00018646207896600294	0,0049974634094073274
1	0	0	1	0	0	1	469574,63	-0,100000001	2,19525528	-0,00027771374861440723	-0,099975024487799642	0,000219470705	-0,0052751771580217344	0,0001968239523169127	0,0052751771580217344
1	0	0	1	0	0	1	469584,63	-0,100000001	2,19462585	-0,00027771330139206512	-0,099974863490856461	0,000219407419	-0,0055528904594137997	0,00020718580898135555	0,0055528904594137997
1	0	0	1	0	0	1	469594,63	-0,100000001	2,19378662	-0,00027771261578260198	-0,099974616676202138	0,000219322974	-0,0058306030751964019	0,00021754764006478752	0,0058306030751964019
1	0	0	1	0	0	1	469604,63	-0,100000001	2,19323349	-0,00027771384943814739	-0,099975060787138752	0,000219268652	-0,0061083169246345498	0,00022790951717756659	0,0061083169246345498
1	0	0	1	0	0	1	469614,63	-0,100000001	2,19330978	-0,00027771382838073706	-0,099975053204289318	0,000219276262	-0,006386030753015287	0,00023827139350466531	0,006386030753015287
1	0	0	1	0	0	1	469624,63	-0,100000001	2,1927948	-0,00027771410020482208	-0,099975151059075725	0,000219224996	-0,0066637448532201088	0,00024863327997388614	0,0066637448532201088
1	0	0	1	0	0	1	469634,63	-0,100000001	2,19258499	-0,00027771439576728477	-0,099975257459513562	0,000219204245	-0,0069414592489873933	0,00025899517747093984	0,0069414592489873933
1	0	0	1	0	0	1	469644,63	-0,100000001	2,19189835	-0,00027771448913713296	-0,099975291072011699	0,000219135676	-0,0072191737381245261	0,0002693570784517481	0,0072191737381245261
1	0	0	1	0	0	1	469654,63	-0,100000001	2,19220352	-0,00027771430662895242	-0,099975225370331776	0,000219166046	-0,0074968880447534784	0,00027971897262293078	0,0074968880447534784
1	0	0	1	0	0	1	469664,63	-0,100000001	2,19060135	-0,00027771413055103686	-0,099975161983502694	0,000219005728	-0,0077746021753045146	0,00029008086022440966	0,0077746021753045146
1	0	0	1	0	0	1	469674,63	-0,100000001	2,19042969	-0,0002777140831566519	-0,099975144921852621	0,000218988527	-0,0080523162584611674	0,00030044274605754042	0,0080523162584611674
1	0	0	1	0	0	1	469684,63	-0,100000001	2,18985748	-0,00027771390602572099	-0,099975081160600666	0,000218931178	-0,0083300301644868877	0,00031080462528167789	0,0083300301644868877
1	0	0	1	0	0	1	469694,63	-0,100000001	2,18907547	-0,00027771403753302163	-0,09997512849533431	0,000218853107	-0,0086077442020199104	0,0003211665094125296	0,0086077442020199104
1	0	0	1	0	0	1	469704,63	-0,100000001	2,18936157	-0,00027771387526558506	-0,099975070080181914	0,000218881571	-0,008885458077285495	0,00033152838748896499	0,008885458077285495
1	0	0	1	0	0	1	469714,63	-0,100000001	2,18899918	-0,00027771394991502166	-0,099975096953461645	0,000218845409	-0,0091631720272005171	0,00034189026835067136	0,0091631720272005171
1	0	0	1	0	0	1	469724,63	-0,100000001	2,18976212	-0,0002777138444338408	-0,099975058980967706	0,000218921603	-0,0094408858716343578	0,00035225214527673299	0,0094408858716343578
1	0	0	1	0	0	1	469734,63	-0,100000001	2,18878937	-0,00027771379311879478	-0,099975040507906816	0,000218824309	-0,0097185996647531533	0,00036261402028816128	0,0097185996647531533
1	0	0	1	0	0	1	469744,63	-0,100000001	2,18693924	-0,00027771371017686195	-0,09997501064938592	0,000218639267	-0,009996313374930016	0,00037297589220491456	0,009996313374930016
1	0	0	1	0	0	1	469754,63	-0,100000001	2,18737793	-0,00027771349880264867	-0,099974934556134336	0,000218682966	-0,010274026873732664	0,00038333775623501171	0,010274026873732664
1	0	0	1	0	0	1	469764,63	-0,100000001	2,18627167	-0,0002777136212930911	-0,099974978651844544	0,000218572459	-0,010551740495025755	0,00039369962483539194	0,010551740495025755
1	0	0	1	0	0	1	469774,63	-0,100000001	2,18709183	-0,00027771393999043437	-0,099975093380679014	0,000218654706	-0,01082945443501619	0,00040406150532679859	0,01082945443501619
1	0	0	1	0	0	1	469784,63	-0,100000001	2,18735886	-0,00027771449682364861	-0,099975293836776358	0,000218681846	-0,011107168931839838	0,00041442340659440109	0,011107168931839838
1	0	0	1	0	0	1	469794,63	-0,100000001	2,18613815	-0,00027771440825238826	-0,099975261951736589	0,00021855974	-0,011384883340092227	0,00042478530455729082	0,011384883340092227
1	0	0	1	0	0	1	469804,63	-0,100000001	2,18562317	-0,00027771506407691376	-0,099975498044019827	0,000218508765	-0,011662598404169142	0,00043514722698987526	0,011662598404169142
1	0	0	1	0	0	1	469814,63	-0,100000001	2,18529892	-0,0002777143470098575	-0,099975239904850022	0,00021847579	-0,011940312751178998	0,00044550912266772378	0,011940312751178998
1	0	0	1	0	0	1	469824,63	-0,100000001	2,18543243	-0,00027771433675992819	-0,099975236214946522	0,00021848912	-0,012218027087938926	0,0004558710179631337	0,012218027087938926
1	0	0	1	0	0	1	469834,63	-0,100000001	2,18480301	-0,00027771429384623965	-0,099975220766316109	0,000218426168	-0,012495741381785165	0,00046623291165737619	0,012495741381785165
1	0	0	1	0	0	1	469844,63	-0,100000001	2,1845932	-0,00027771453422514928	-0,099975307301057357	0,000218405374	-0,012773455916010314	0,00047659481432047891	0,012773455916010314
1	0	0	1	0	0	1	469854,63	-0,100000001	2,18371582	-0,0002777142608459625	-0,099975208886445082	0,000218317451	-0,013051170176856277	0,00048695670678343674	0,013051170176856277
1	0	0	1	0	0	1	469864,63	-0,100000001	2,18333435	-0,00027771409151165024	-0,099975147927266432	0,00021827918	-0,013328884268367928	0,00049731859292830362	0,013328884268367928
1	0	0	1	0	0	1	469874,63	-0,100000001	2,18278122	-0,00027771414981492688	-0,099975168916041882	0,000218223926	-0,013606598418182853	0,00050768048124854413	0,013606598418182853
