SIMFIT RESULTS
==============

Dataset : /opt/topspin/data/nmrsu/nmr/cg_7Li_Diff30_5mm/1/pdata/1/ct1t2.txt

AREA fit : Diffusion : Variable Gradient :

I=I[0]*exp(-D*SQR(2*PI*gamma*Gi*LD)*(BD-LD/3)*1e4)

32 points for Integral 1,  Integral Region from 11.684 to 8.883 ppm

Converged after 56 iterations!

Results     Comp. 1    

I[0]           =   9.973e-01  
Diff Con.      =   2.593e-10 m2/s
Gamma          =   1.655e+03 Hz/G
Little Delta   =      2.000m
Big Delta      =     40.000m

RSS   =    2.337e-03
SD    =    8.545e-03

Point     Gradient       Expt          Calc       Difference

    1    1.000e-01     9.715e-01     9.973e-01     2.585e-02
    2    1.620e+01     1.000e+00     9.859e-01    -1.414e-02
    3    3.240e+01     9.562e-01     9.522e-01    -3.931e-03
    4    4.850e+01     9.072e-01     8.991e-01    -8.127e-03
    5    6.460e+01     8.345e-01     8.297e-01    -4.827e-03
    6    8.070e+01     7.619e-01     7.484e-01    -1.351e-02
    7    9.680e+01     6.381e-01     6.598e-01     2.168e-02
    8    1.130e+02     5.673e-01     5.680e-01     6.482e-04
    9    1.291e+02     4.785e-01     4.783e-01    -2.510e-04
   10    1.452e+02     4.024e-01     3.937e-01    -8.706e-03
   11    1.613e+02     3.114e-01     3.167e-01     5.275e-03
   12    1.774e+02     2.429e-01     2.490e-01     6.125e-03
   13    1.936e+02     1.923e-01     1.910e-01    -1.303e-03
   14    2.097e+02     1.546e-01     1.435e-01    -1.115e-02
   15    2.258e+02     9.273e-02     1.053e-01     1.259e-02
   16    2.419e+02     7.443e-02     7.557e-02     1.133e-03
   17    2.580e+02     5.353e-02     5.299e-02    -5.436e-04
   18    2.742e+02     4.512e-02     3.623e-02    -8.885e-03
   19    2.903e+02     2.987e-02     2.427e-02    -5.598e-03
   20    3.064e+02     1.584e-02     1.589e-02     5.343e-05
   21    3.225e+02     7.841e-03     1.017e-02     2.327e-03
   22    3.386e+02     9.117e-03     6.359e-03    -2.757e-03
   23    3.548e+02     1.206e-02     3.875e-03    -8.182e-03
   24    3.709e+02    -1.849e-03     2.315e-03     4.164e-03
   25    3.870e+02     3.746e-03     1.352e-03    -2.394e-03
   26    4.031e+02     2.176e-03     7.715e-04    -1.405e-03
   27    4.192e+02     1.772e-03     4.303e-04    -1.342e-03
   28    4.354e+02     4.977e-03     2.337e-04    -4.743e-03
   29    4.515e+02     3.732e-03     1.245e-04    -3.607e-03
   30    4.676e+02    -1.997e-04     6.485e-05     2.645e-04
   31    4.837e+02    -3.059e-03     3.301e-05     3.092e-03
   32    4.998e+02     4.633e-03     1.642e-05    -4.617e-03

============================================================

