SIMFIT RESULTS
==============

Dataset : /opt/topspin/data/nmrsu/nmr/shim_7Li_Diff30_5mm/3/pdata/1/ct1t2.txt

AREA fit : Diffusion : Variable Gradient :

I=I[0]*exp(-D*SQR(2*PI*gamma*Gi*LD)*(BD-LD/3)*1e4)

31 points for Integral 1,  Integral Region from 1.852 to 1.428 ppm

Converged after 57 iterations!

Results     Comp. 1    

I[0]           =   1.010e+00  
Diff Con.      =   2.869e-10 m2/s
Gamma          =   1.655e+03 Hz/G
Little Delta   =      2.000m
Big Delta      =     40.000m

RSS   =    3.028e-05
SD    =    9.882e-04

Point     Gradient       Expt          Calc       Difference

    1    1.620e+01     1.000e+00     9.969e-01    -3.089e-03
    2    3.240e+01     9.571e-01     9.593e-01     2.211e-03
    3    4.850e+01     8.978e-01     9.003e-01     2.489e-03
    4    6.460e+01     8.239e-01     8.237e-01    -1.645e-04
    5    8.070e+01     7.365e-01     7.349e-01    -1.598e-03
    6    9.680e+01     6.391e-01     6.392e-01     5.676e-05
    7    1.130e+02     5.428e-01     5.415e-01    -1.267e-03
    8    1.291e+02     4.467e-01     4.477e-01     1.040e-03
    9    1.452e+02     3.605e-01     3.609e-01     4.230e-04
   10    1.613e+02     2.832e-01     2.837e-01     4.843e-04
   11    1.774e+02     2.171e-01     2.174e-01     3.355e-04
   12    1.936e+02     1.629e-01     1.621e-01    -7.120e-04
   13    2.097e+02     1.184e-01     1.181e-01    -2.742e-04
   14    2.258e+02     8.398e-02     8.389e-02    -9.216e-05
   15    2.419e+02     5.802e-02     5.809e-02     7.101e-05
   16    2.580e+02     4.032e-02     3.922e-02    -1.098e-03
   17    2.742e+02     2.506e-02     2.575e-02     6.985e-04
   18    2.903e+02     1.636e-02     1.653e-02     1.655e-04
   19    3.064e+02     1.071e-02     1.034e-02    -3.661e-04
   20    3.225e+02     5.870e-03     6.310e-03     4.405e-04
   21    3.386e+02     3.361e-03     3.754e-03     3.932e-04
   22    3.548e+02     2.738e-03     2.170e-03    -5.686e-04
   23    3.709e+02     1.006e-03     1.227e-03     2.213e-04
   24    3.870e+02    -4.844e-05     6.764e-04     7.249e-04
   25    4.031e+02     4.902e-04     3.636e-04    -1.266e-04
   26    4.192e+02     3.235e-04     1.906e-04    -1.329e-04
   27    4.354e+02     1.377e-04     9.698e-05    -4.077e-05
   28    4.515e+02     8.083e-05     4.831e-05    -3.252e-05
   29    4.676e+02    -2.524e-04     2.347e-05     2.759e-04
   30    4.837e+02     2.043e-04     1.111e-05    -1.932e-04
   31    4.998e+02     6.210e-05     5.132e-06    -5.697e-05

============================================================

