2th            	  I      	 h   	k   	l    	Comments                                                                             	
15.082	327	0	1	2		
21.307	961	1	0	4		
21.477	723	1	1	0		
25.159	999	1	1	3	  Strongest line. 	
26.067	27	0	0	6		
26.348	11	2	0	2		
30.434	562	0	2	4		
33.368	149	2	1	1		
34.020	336	1	1	6		
37.248	20	0	1	8		
37.555	240	2	1	4		
37.656	352	3	0	0		
39.884	2	1	2	5		
43.399	49	2	0	8		
43.759	7	2	2	0		
45.437	44	1	1	9		
45.610	30	2	1	7		
45.827	31	2	2	3		
45.827	31	1	3	1	  Line with multiple indexes.	
46.028	24	1	0	10		
46.372	14	0	3	6		
46.543	21	3	1	2		
48.917	203	1	2	8		
49.164	119	1	3	4		
51.063	22	3	1	5		
51.327	35	0	2	10		
51.645	121	2	2	6		
51.803	103	0	4	2		
53.621	11	0	0	12		
54.235	5	4	0	4		
55.898	36	1	3	7		
56.260	110	2	1	10		
58.420	31	1	1	12		
58.783	93	3	1	8		
59.001	145	3	2	4		
59.073	171	4	1	0		
60.258	1	1	2	11		
60.437	6	2	2	9		
60.757	29	4	1	3		
63.331	40	0	4	8		
64.973	28	0	1	14		
65.382	64	1	3	10		
65.655	62	4	1	6		
65.791	31	5	0	2		
67.367	2	3	0	12		
67.704	28	2	3	8		
67.904	59	0	5	4		
67.904	59	3	3	0	  Line with multiple indexes.	
68.871	3	2	1	13		
69.070	13	3	1	11		
69.291	44	2	0	14		
69.535	24	3	3	3		
69.689	33	4	0	10		
71.616	27	2	2	12		
72.138	33	2	4	4		
72.853	22	1	1	15		
73.490	42	1	4	9		
73.490	42	1	2	14	  Line with multiple indexes.	
73.760	30	4	2	5		
73.760	30	5	1	1	  Line with multiple indexes.	
73.878	25	3	2	10		
74.136	14	3	3	6		
75.314	1	1	0			
76.274	61	5	1	4		
77.197	2	1	3	13		
77.388	4	2	3	11		
77.769	9	1	5	5		
79.392	1	0	2			
80.148	14	4	2	8		
80.401	52	6	0	0		
81.645	26	3	1	14		
81.645	26	5	1	7	  Line with multiple indexes.	
81.906	14	4	3	1		
82.397	6	3	4	2		
83.416	1	2	1			
83.854	8	4	1	12		
84.166	5	1	5	8		
84.415	23	4	3	4		
84.415	23	5	2	0	  Line with multiple indexes.	
85.150	21	0	0			
85.648	3	0	4	14		
85.877	5	2	5	3		
86.022	12	2	4	10		
86.271	7	0	6	6		
88.773	2	1	2			
89.135	12	1	1			
89.425	7	4	2	11		
89.631	28	2	3	14		
89.631	28	4	3	7	  Line with multiple indexes.	
89.890	15	1	6	1		
