2th            	  I      	 h   	k   	l    	Comments                                                                             	
14.685	13	0	1	2		
20.844	50	1	0	4		
24.492	100	1	1	3	  Strongest line. 	
25.600	8	2	0	2		
29.642	28	0	2	4		
32.395	20	2	1	1		
33.224	26	1	1	6		
36.544	25	3	0	0		
38.818	1	1	2	5		
42.422	3	2	2	0		
44.482	12	2	2	3		
45.152	2	3	1	2		
47.720	17	1	3	4		
49.613	5	3	1	5		
50.234	16	0	4	2		
52.562	2	0	0	12		
54.365	6	1	3	7		
54.915	7	2	1	10		
57.220	22	4	1	0		
58.873	7	4	1	3		
61.562	3	0	4	8		
63.155	2	3	2	7		
63.676	8	4	1	6		
65.766	5	3	3	0		
67.309	3	2	4	1		
67.801	4	4	2	2		
69.812	4	2	4	4		
71.326	6	5	1	1		
71.746	2	1	2	14		
73.760	5	5	1	4		
75.233	3	1	5	5		
77.658	5	6	0	0		
79.029	1	3	3	9		
79.562	1	3	4	2		
81.470	1	5	2	0		
82.770	1	2	2	15		
82.881	1	5	2	3	  Less than given I.	
83.289	1	0	4	14	  Less than given I.	
86.655	1	1	6	1		
87.146	1	6	1	2	  Less than given I.	
89.015	1	1	6	4		
90.336	2	1	5	11		
